//최초작성자 : 송영덕					0 : 사용안함																					0 : 사용안함																					0 : 사용안함																					
//최종수정자 : 송영덕					"1 : 일반텍스트, 강조이미지X"																					"1 : 일반텍스트, 강조이미지X"																					"1 : 일반텍스트, 강조이미지X"																					
//최종수정일					"2 : 붉은텍스트, 강조이미지X"																					"2 : 붉은텍스트, 강조이미지X"																					"2 : 붉은텍스트, 강조이미지X"																					
//			0 : 달력형		"3 : 일반텍스트, 강조이미지O"																					"3 : 일반텍스트, 강조이미지O"																					"3 : 일반텍스트, 강조이미지O"																					
//			1 : 누적형		"1 : 붉은텍스트, 강조이미지O"																					"1 : 붉은텍스트, 강조이미지O"																					"4 : 붉은텍스트, 강조이미지O"																					
//	진행연도	진행월	체크타입	제목	설명	강조여부1	보상코드1	강조여부2	보상코드2	강조여부3	보상코드3	강조여부4	보상코드4	강조여부5	보상코드5	강조여부6	보상코드6	강조여부7	보상코드7	강조여부8	보상코드8	강조여부9	보상코드9	강조여부10	보상코드10	강조여부11	보상코드11	강조여부12	보상코드12	강조여부13	보상코드13	강조여부14	보상코드14	강조여부15	보상코드15	강조여부16	보상코드16	강조여부17	보상코드17	강조여부18	보상코드18	강조여부19	보상코드19	강조여부20	보상코드20	강조여부21	보상코드21	강조여부22	보상코드22	강조여부23	보상코드23	강조여부24	보상코드24	강조여부25	보상코드25	강조여부26	보상코드26	강조여부27	보상코드27	강조여부28	보상코드28	강조여부29	보상코드29	강조여부30	보상코드30	강조여부31	보상코드31	
	Index1	Index2	Type	TitleString	ExplanationString	Emphasis1	RewardCode1	Emphasis2	RewardCode2	Emphasis3	RewardCode3	Emphasis4	RewardCode4	Emphasis5	RewardCode5	Emphasis6	RewardCode6	Emphasis7	RewardCode7	Emphasis8	RewardCode8	Emphasis9	RewardCode9	Emphasis10	RewardCode10	Emphasis11	RewardCode11	Emphasis12	RewardCode12	Emphasis13	RewardCode13	Emphasis14	RewardCode14	Emphasis15	RewardCode15	Emphasis16	RewardCode16	Emphasis17	RewardCode17	Emphasis18	RewardCode18	Emphasis19	RewardCode19	Emphasis20	RewardCode20	Emphasis21	RewardCode21	Emphasis22	RewardCode22	Emphasis23	RewardCode23	Emphasis24	RewardCode24	Emphasis25	RewardCode25	Emphasis26	RewardCode26	Emphasis27	RewardCode27	Emphasis28	RewardCode28	Emphasis29	RewardCode29	Emphasis30	RewardCode30	Emphasis31	RewardCode31	FieldEnd
//라이브서버																																																																				
	2016	1	1	1940	2398	2	65241	2	65242	2	65243	1	65244	1	65245	1	65246	1	65247	1	65248	2	65249	2	65250	1	65251	1	65252	1	65253	1	65254	1	65255	2	65256	2	65257	1	65258	1	65259	1	65260	1	65261	1	65262	2	65263	2	65264	1	65265	1	65266	1	65267	3	65268	3	65269	4	65270	4	65271	
	2016	2	1	2400	2398	1	65272	1	65273	1	65274	1	65275	1	65276	2	65277	2	65278	2	65279	2	65280	2	65281	1	65282	1	65283	2	65284	2	65285	1	65286	1	65287	1	65288	1	65289	1	65290	2	65291	2	65292	1	65293	1	65294	1	65295	1	65296	3	65297	4	65298	4	65299	3	65300	0	0	0	0	
	2026	8	1	2806	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2026	9	1	2947	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2026	10	1	2992	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2026	11	1	2993	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2026	12	1	2994	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2027	1	1	1940	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2027	2	1	2400	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
