//		Autocombobox.txt 참조		해당 기능을 사용할 아이템 코드 입력										
//				0 미사용										
//														
//기능코드	기능명	콤보인덱스1	콤보인덱스2	아이템코드1	아이템코드2	아이템코드3	아이템코드4	아이템코드5	아이템코드6	아이템코드7	아이템코드8	아이템코드9	아이템코드10	
Code	Name	ComboIndex1	ComboIndex2	UseItemCode1	UseItemCode2	UseItemCode3	UseItemCode4	UseItemCode5	UseItemCode6	UseItemCode7	UseItemCode8	UseItemCode9	UseItemCode10	FieldEnd
1	사냥설정_맵전체	0	0	60090	60290	0	0	0	0	0	0	0	0	
2	사냥설정_파티원주변	0	0	60090	60290	0	0	0	0	0	0	0	0	
3	사냥설정_특정범위	1	0	60090	60290	0	0	0	0	0	0	0	0	
4	사냥설정_보스경고	0	0	60090	60290	0	0	0	0	0	0	0	0	
5	줍기설정_모든아이템	0	0	60090	60290	0	0	0	0	0	0	0	0	
6	줍기설정_일반아이템	0	0	60090	60290	0	0	0	0	0	0	0	0	
7	줍기설정_퀘스트아이템	0	0	60090	60290	0	0	0	0	0	0	0	0	
8	줍기설정_스톤아이템	0	0	60090	60290	0	0	0	0	0	0	0	0	
9	줍기설정_무기아이템	0	0	60090	60290	0	0	0	0	0	0	0	0	
10	줍기설정_방어구아이템	0	0	60090	60290	0	0	0	0	0	0	0	0	
11	줍기설정_AC아이템	0	0	60090	60290	0	0	0	0	0	0	0	0	
12	줍기설정_하임	0	0	60090	60290	0	0	0	0	0	0	0	0	
13	줍기설정_특정아이템	0	0	60090	60290	0	0	0	0	0	0	0	0	
14	회복설정_HP	2	0	60090	60290	0	0	0	0	0	0	0	0	
15	회복설정_MPSP	3	0	60090	60290	0	0	0	0	0	0	0	0	
16	회복설정_즉시회복	4	0	60090	60290	0	0	0	0	0	0	0	0	
17	회복설정_사료	5	0	60090	60290	0	0	0	0	0	0	0	0	
18	회복설정_휴식_HP	6	0	60090	60290	0	0	0	0	0	0	0	0	
19	회복설정_휴식_MP	7	0	60090	60290	0	0	0	0	0	0	0	0	
20	자동부활_제자리부활	0	0	60090	0	0	0	0	0	0	0	0	0	
21	자동부활_마을부활	0	0	60090	0	0	0	0	0	0	0	0	0	
22	자동부활_부활대기	0	0	60090	0	0	0	0	0	0	0	0	0	
23	마을이동_인벤토리	8	0	60090	0	0	0	0	0	0	0	0	0	
24	마을이동_회복물약	9	0	60090	0	0	0	0	0	0	0	0	0	
25	마을이동_사료	10	0	60090	0	0	0	0	0	0	0	0	0	
26	마을이동_내구도	11	0	60090	0	0	0	0	0	0	0	0	0	
27	자동판매_모든아이템	0	0	60090	0	0	0	0	0	0	0	0	0	
28	자동판매_일반아이템	0	0	60090	0	0	0	0	0	0	0	0	0	
29	자동판매_퀘스트아이템	0	0	60090	0	0	0	0	0	0	0	0	0	
30	자동판매_스톤아이템	0	0	60090	0	0	0	0	0	0	0	0	0	
31	자동판매_무기아이템	0	0	60090	0	0	0	0	0	0	0	0	0	
32	자동판매_방어구아이템	0	0	60090	0	0	0	0	0	0	0	0	0	
33	자동판매_AC아이템	0	0	60090	0	0	0	0	0	0	0	0	0	
34	자동구매_귀환스크롤	12	0	60090	0	0	0	0	0	0	0	0	0	
35	자동구매_일반사료	13	0	60090	0	0	0	0	0	0	0	0	0	
36	자동구매_내구도전체수리	0	0	60090	0	0	0	0	0	0	0	0	0	
37	자동구매_회복물약Lv	14	0	60090	0	0	0	0	0	0	0	0	0	
38	자동구매_회복물약수량	15	0	60090	0	0	0	0	0	0	0	0	0	
39	커뮤니티_파티수락	0	0	60090	0	0	0	0	0	0	0	0	0	
40	커뮤니티_파티거부	0	0	60090	0	0	0	0	0	0	0	0	0	
41	커뮤니티_채팅내용저장	0	0	60090	0	0	0	0	0	0	0	0	0	
42	커뮤니티_외치기	16	17	60090	0	0	0	0	0	0	0	0	0	
43	커뮤니티_채널참가	18	19	60090	0	0	0	0	0	0	0	0	0	
45	QuestTurnIn_HandIn	0	0	60090	0	0	0	0	0	0	0	0	0	
