//			투사의엘리트1차 10000	무기 : 1										현재 각성 허용 한 레벨에 대한 메시지출력																
//			투사의엘리트2차 11000	갑옷 : 101																										
//			유니크1차  20000	프로텍터 : 201																										
//			유니크1.5차  21000	헬멧 : 301																										
//			유니크2차  22000	바지 : 401																										
//			엘리트1차 30000	부츠 : 501																										
//			엘리트1.5차 31000	장갑 : 601																										
//			엘리트2차 33000	벨트 : 701																							0 : 진화불가			
//				셔츠 : 801																							아이템코드 입력시 해당 아이템코드로 진화 가능			
//																		각성1레벨	각성2레벨	각성3레벨	각성4레벨	각성5레벨	각성6레벨	각성7레벨	각성8레벨	각성9레벨				
//	아이템코드	아이템명	각성구분	만능재료코드_1	만능재료코드_1수량	만능재료코드_2	만능재료코드_2수량	만능재료코드_3	만능재료코드_3수량	만능재료코드_4	만능재료코드_4수량	만능재료코드_5	만능재료코드_5수량	각성허용레벨	각성첨가제아이템코드	각성첨가제수량	성공확률	옵션수치	옵션수치	옵션수치	옵션수치	옵션수치	옵션수치	옵션수치	옵션수치	옵션수치	진화 아이템코드	진화첨가제아이템코드	진화첨가제 수량	진화성공확률
	ItemCode	ItemName	AwakeSeparation	AllroundMaterialCode1	AllroundMaterialCount1	AllroundMaterialCode2	AllroundMaterialCount2	AllroundMaterialCode3	AllroundMaterialCount3	AllroundMaterialCode4	AllroundMaterialCount4	AllroundMaterialCode5	AllroundMaterialCount5	AwakeLimitLevel	AdditiveItemCode	AdditiveCount	ProbabilitySuccess	OptionParam1	OptionParam2	OptionParam3	OptionParam4	OptionParam5	OptionParam6	OptionParam7	OptionParam8	OptionParam9	EvolutionItemCode	EvolutionAdditiveItemCode	EvolutionAdditiveItemCount	EvolutionProbabilitySuccess
//	무기																													
//	투사의엘리트1차																													
	50222	투사의엘리트_각성된발로그_양손도끼	1	6060	22	4428	1	0	0	0	0	0	0	9	4403	1	100	91	109	131	158	189	227	272	327	392	50258	4416	1	100
	50223	투사의엘리트_각성된발로그_양손검	2	6060	22	4428	1	0	0	0	0	0	0	9	4403	1	100	91	109	131	158	189	227	272	327	392	50259	4416	1	100
	50224	투사의엘리트_라합의어금니_한손검	3	6060	22	4428	1	0	0	0	0	0	0	9	4403	1	100	91	109	131	158	189	227	272	327	392	50260	4416	1	100
	50225	투사의엘리트_라합의어금니_창	4	6060	22	4428	1	0	0	0	0	0	0	9	4403	1	100	91	109	131	158	189	227	272	327	392	50261	4416	1	100
	50226	투사의엘리트_불화의안드라스_대거	5	6060	22	4428	1	0	0	0	0	0	0	9	4403	1	100	91	109	131	158	189	227	272	327	392	50262	4416	1	100
	50227	투사의엘리트_불화의안드라스_채찍검	6	6060	22	4428	1	0	0	0	0	0	0	9	4403	1	100	91	109	131	158	189	227	272	327	392	50263	4416	1	100
	50228	투사의엘리트_타락한노르니르_석궁	7	6060	22	4428	1	0	0	0	0	0	0	9	4403	1	100	91	109	131	158	189	227	272	327	392	50264	4416	1	100
	50229	투사의엘리트_타락한노르니르_에테르웨폰	8	6060	22	4428	1	0	0	0	0	0	0	9	4403	1	100	91	109	131	158	189	227	272	327	392	50265	4416	1	100
	50230	투사의엘리트_원죄의마라_지팡이	9	6060	22	4428	1	0	0	0	0	0	0	9	4403	1	100	91	109	131	158	189	227	272	327	392	50266	4416	1	100
	50231	투사의엘리트_원죄의마라_오브	10	6060	22	4428	1	0	0	0	0	0	0	9	4403	1	100	91	109	131	158	189	227	272	327	392	50267	4416	1	100
	50252	아리만_건틀렛	11	6060	22	4428	1	0	0	0	0	0	0	9	4403	1	100	91	109	131	158	189	227	272	327	392	50268	4416	1	100
	50253	아리만_에테르사이드	12	6060	22	4428	1	0	0	0	0	0	0	9	4403	1	100	91	109	131	158	189	227	272	327	392	50269	4416	1	100
	50137	추락한아바돈_에테르블래스터	13	6060	22	4428	1	0	0	0	0	0	0	9	4403	1	100	91	109	131	158	189	227	272	327	392	50139	4416	1	100
	50329	추락한두르가의_아크블레이드_23등급아이템	14	6060	22	4428	1	0	0	0	0	0	0	9	4403	1	100	91	109	131	158	189	227	272	327	392	50586	4416	1	100
//	투사의엘리트2차																													
	50258	피로물든_발로그_양손도끼	15	6067	22	4429	1	0	0	0	0	0	0	9	4403	2	100	138	166	199	238	286	343	412	494	593	0	4417	1	100
	50259	피로물든_발로그_양손검	16	6067	22	4429	1	0	0	0	0	0	0	9	4403	2	100	138	166	199	238	286	343	412	494	593	0	4417	1	100
	50260	피로물든_라합_한손검	17	6067	22	4429	1	0	0	0	0	0	0	9	4403	2	100	138	166	199	238	286	343	412	494	593	0	4417	1	100
	50261	피로물든_라합_창	18	6067	22	4429	1	0	0	0	0	0	0	9	4403	2	100	138	166	199	238	286	343	412	494	593	0	4417	1	100
	50262	피로물든_안드라스_대거	19	6067	22	4429	1	0	0	0	0	0	0	9	4403	2	100	138	166	199	238	286	343	412	494	593	0	4417	1	100
	50263	피로물든_안드라스_채찍검	20	6067	22	4429	1	0	0	0	0	0	0	9	4403	2	100	138	166	199	238	286	343	412	494	593	0	4417	1	100
	50264	피로물든_노르니르_석궁	21	6067	22	4429	1	0	0	0	0	0	0	9	4403	2	100	138	166	199	238	286	343	412	494	593	0	4417	1	100
	50265	피로물든_노르니르_에테르웨폰	22	6067	22	4429	1	0	0	0	0	0	0	9	4403	2	100	138	166	199	238	286	343	412	494	593	0	4417	1	100
	50266	피로물든_마라_지팡이	23	6067	22	4429	1	0	0	0	0	0	0	9	4403	2	100	138	166	199	238	286	343	412	494	593	0	4417	1	100
	50267	피로물든_마라_오브	24	6067	22	4429	1	0	0	0	0	0	0	9	4403	2	100	138	166	199	238	286	343	412	494	593	0	4417	1	100
	50268	피로물든_아리만_건틀렛	25	6067	22	4429	1	0	0	0	0	0	0	9	4403	2	100	138	166	199	238	286	343	412	494	593	0	4417	1	100
	50269	피로물든_아리만_에테르사이드	26	6067	22	4429	1	0	0	0	0	0	0	9	4403	2	100	138	166	199	238	286	343	412	494	593	0	4417	1	100
	50139	피로물든_아바돈_에테르블래스터	27	6067	22	4429	1	0	0	0	0	0	0	9	4403	2	100	138	166	199	238	286	343	412	494	593	0	4417	1	100
	50586	피로물든두르가의_아크블레이드_25등급아이템	28	6067	22	4429	1	0	0	0	0	0	0	9	4403	2	100	138	166	199	238	286	343	412	494	593	0	4417	1	100
//	유니크1차																													
	50100	탈그룬트의_양손도끼	29	6060	44	4430	1	0	0	0	0	0	0	9	4403	2	100	146	176	211	253	304	364	437	525	629	0	4418	1	100
	50102	슈트라의_양손검	30	6060	44	4430	1	0	0	0	0	0	0	9	4403	2	100	146	176	211	253	304	364	437	525	629	0	4418	1	100
	50104	베르텍스의_한손검	31	6060	44	4430	1	0	0	0	0	0	0	9	4403	2	100	146	176	211	253	304	364	437	525	629	0	4418	1	100
	50106	팔랑크스의_창	32	6060	44	4430	1	0	0	0	0	0	0	9	4403	2	100	146	176	211	253	304	364	437	525	629	0	4418	1	100
	50108	오리야의_한손석궁	33	6060	44	4430	1	0	0	0	0	0	0	9	4403	2	100	146	176	211	253	304	364	437	525	629	0	4418	1	100
	50110	알베우스의_에테르웨폰	34	6060	44	4430	1	0	0	0	0	0	0	9	4403	2	100	146	176	211	253	304	364	437	525	629	0	4418	1	100
	50112	콘발리페의_지팡이	35	6060	44	4430	1	0	0	0	0	0	0	9	4403	2	100	146	176	211	253	304	364	437	525	629	0	4418	1	100
	50114	브로테의_오브	36	6060	44	4430	1	0	0	0	0	0	0	9	4403	2	100	146	176	211	253	304	364	437	525	629	0	4418	1	100
	50116	바쿠의_대거	37	6060	44	4430	1	0	0	0	0	0	0	9	4403	2	100	146	176	211	253	304	364	437	525	629	0	4418	1	100
	50118	바쿠의_채찍검	38	6060	44	4430	1	0	0	0	0	0	0	9	4403	2	100	146	176	211	253	304	364	437	525	629	0	4418	1	100
	50120	라플라시아_건틀렛	39	6060	44	4430	1	0	0	0	0	0	0	9	4403	2	100	146	176	211	253	304	364	437	525	629	0	4418	1	100
	50122	유클레시아_에테르사이드	40	6060	44	4430	1	0	0	0	0	0	0	9	4403	2	100	146	176	211	253	304	364	437	525	629	0	4418	1	100
	50135	니드호그의_에테르블래스터	41	6060	44	4430	1	0	0	0	0	0	0	9	4403	2	100	146	176	211	253	304	364	437	525	629	0	4418	1	100
	50327	타라의_아크블레이드_33등급아이템	42	6060	44	4430	1	0	0	0	0	0	0	9	4403	2	100	146	176	211	253	304	364	437	525	629	0	4418	1	100
//	유니크1.5차																													
