//인터페이스 위치 설정 문서		b_X_ref_Type	1: 좌측정렬			2: 우측정렬	3: 가운데 정렬															
// 작성자 : 이영민		b_Y_ref_Type	1: 상단정렬			2: 하단정렬	3: 가운데정렬															
// 작성일자 : 오후 4:44 2008-08-13		w_offset_X	x축 기준점으로부터 떨어진값(1024*768기준)																			
//		w_Offset_Y	y축 기준점으로부터 떨어진값(1024*768기준)																			
//		Wide_w_offset_X	x축 기준점으로부터 떨어진값(1280*768기준)																			
//		Wide_w_offset_Y	y축 기준점으로부터 떨어진값(1280*768기준)																			
//Version																						
//1.0																						
																						
																						
//다이얼로그ID	인터페이스 파일명	X축정렬방식	x축offset값	와이드x축offset값	16:10와이드x축offset값	Y축정렬방식	y축offset값	와이드y축offset값	16:10와이드y축offset값	움직임여부				16:10								
w_Dlg_ID	s_Idlg_Name	b_X_ref_Type	w_offset_X	Wide_w_offset_X	Half_Wide_w_offset_X	b_Y_ref_Type	w_Offset_Y	Wide_w_offset_Y	Half_Wide_w_offset_Y	Ani	Until_Millisecond	Start_X	Wide_Start_X	Half_Wide_Start_X	Start_Y	Wide_Start_Y	Half_Wide_Start_Y	Ani_Start_Alpha	Ani_Speed_Ratio	FieldEnd		
438	43_8_Mont_Tutorial.iwz	1	6	6	6	1	126	126	126	0	0	0	0	0	0	0	0	1	0		//	튜토리얼 작은 창
//7327	73_27_Guild_Authority.iwz	1	491	493	493	1	-101	-101	-101	0	0	0	0	0	0	0	0	1	0		//	길드원권한
//7326	73_26_Guild_Relation3.iwz	1	551	595	595	2	586	586	586	0	0	0	0	0	0	0	0	1	0		//	길드일방적적대관계
//7323	73_23_Guild_DutyVest.iwz	1	551	595	595	2	544	544	544	0	0	0	0	0	0	0	0	1	0		//	길드직책부여
//0903	90_3_Lank_List.iwz	3	-335	-335	-335	3	-261	-261	-261	0	0	0	0	0	0	0	0	1	0		//	
//0902	90_2_Lank_gamble.iwz	3	-173	-173	-173	3	-252	-252	-252	0	0	0	0	0	0	0	0	1	0		//	
//0766	76_6_Item_ChangeUP.iwz	2	-588	-588	-588	1	-438	-438	-438	0	0	0	0	0	0	0	0	1	0		//	아이템선택
//0400	40_Status_Window.iwz	3	-265	-265	-265	1	26	26	26	0	0	0	0	0	0	0	0	1	0		//	캐릭터 정보창
//0301	30_1_summon_slot.iwz	3	-56	-56	-56	2	-82	-82	-82	0	0	0	0	0	0	0	0	1	0		//	소환수 스킬슬롯 (사용안함)
//0204	20_4_chat_menu	1	400	400	400	2	-214	-214	-214	0	0	0	0	0	0	0	0	1	0		//	채팅 메뉴
