start
e004	"bladeeffect_32.dds"
e005	"bladeeffect_32_red.dds"
e103	"smoke03.dds"
p001	"point01.dds"
p002	"point02.dds"
p003	"point03.dds"
p006	"point06.dds"
s001	"spark01.dds"
s030	"stone.dds"
b005	"blood04.dds"
s012	"stern2.dds"
h004	"hit03.dds"
s002	"snow02.dds"
a001	"spark02.dds"
a002	"hit04.dds"
a003	"lightning.dds"
a004	"ball.dds"
a005	"point07.dds"
a006	"blood07.dds"
a007	"circle.dds"
a008	"tama.dds"
a009	"icestone.dds"
a010	"groundshock.dds"
a011	"water.dds"
a012	"water1.dds"
a013	"magic_square001.dds"
a014	"lightning001.dds"
a015	"ring001.dds"
a016	"heim001.dds"
a017	"coatofarms001.dds"
a018	"gi.dds"
a019	"gi1.dds"
a020	"gi2.dds"
a021	"water2.dds"
a022	"lightning003_z.dds"
a023	"fireball.dds"
a024	"point04.dds"
a025	"point05.dds"
a026	"fire4_z.dds"
a027	"dol1.dds"
a028	"fire5_z.dds"
a029	"fire6_z.dds"
a030	"b_magiczone.dds"
a031	"water6.dds"
a032	"smoke01.dds"
a033	"hit02.dds"
a034	"weakbody.dds"
a035	"zizin.dds"
a036	"mask.dds"
a037	"ring003.dds"
a038	"gu_s.dds"
a039	"magicshild2_z.dds"
a040	"flower1.dds"
a041	"wind1_z.dds"
a042	"gu4.dds"
a043	"circle1.dds"
a044	"circle2.dds"
a045	"kgi1.dds"
a046	"kgi2.dds"
a047	"mark1.dds"
a048	"down1.dds"
a050	"icestone1.dds"
a051	"gi3.dds"
a052	"potal1.dds"
a053	"magiczone_CM.dds"
a055	"gi4.dds"
a056	"gi5.dds"
a057	"gi6.dds"
a058	"fly.dds"
a059	"magiczone1.dds"
a060	"glow1_z.dds"
a061	"cain4.dds"
a062	"magiczone3.dds"
a063	"P_U_attack.dds"
a064	"M_S up.dds"
a065	"D_up.dds"
a066	"S_A_up.dds"
a067	"revenge1.dds"
a068	"feather.dds"
a069	"line1.dds"
g001	"stern3.dds"
g002	"g002.dds"
g003	"g003.dds"
goo4	"ptest02.dds"
g005	"g005.dds"
g006	"g006.dds"
g007	"g007.dds"
g008	"g008.dds"
g009	"g009.dds"
g010	"g010.dds"
g011	"g011.dds"
g012	"g012.dds"
g013	"g013.dds"
g014	"g014.dds"
g015	"g015.dds"
g016	"g016.dds"
g017	"g017.dds"
g018	"g018.dds"
g019	"g019.dds"
g020	"g020.dds"
g021	"g021.dds"
g022	"g022.dds"
g023	"g023.dds"
g024	"g024.dds"
g025	"g025.dds"
g026	"g026.dds"
g027	"g027.dds"
g028	"g028.dds"
g029	"g029.dds"
g030	"g030.dds"
g031	"g031.dds"
g034	"g034.dds"
g035	"g035.dds"
nfi1	"fi01.dds"
nfb1	"fb01.dds"
