start
A660	"A_MainPotal_effect1.ewz"		
A665	"A_SubPotal_effect1.ewz"		
Pt01    "portal1.ewz"				
Pt02	"portal1_block.ewz"			
A545	"Portal_2.ewz"										
A643	"A_Monster_target_feet.ewz"		
I700	"I_Collection_mark_effect1.ewz"		
A046	"quest2.ewz"				
A015	"levelup.ewz"				
O022	"O_CursedTemple_CenterStair_effect3.ewz"	
O027	"O_CursedTemple_Object_effect3.ewz"		
I680	"I_Attribute_Variation_effect1.ewz"	
I681	"I_Attribute_Variation_effect2.ewz"	
I682	"I_Attribute_Variation_effect3.ewz"	
T007	"map01_trigger_et-column.ewz"		
T019	"map03_04_portal.ewz"
T024	"map03_04_portal_2nd.ewz"
T020	"map03_F03_block.ewz"
mlfS    "Effect_lampfire_S.ewz"
mlfM    "Effect_lampfire_M.ewz"
mlfL    "Effect_lampfire_L.ewz"
mlff    "Effect_lampfire_L3.ewz"
mlbl    "Effect_lampfireB_L.ewz"
mlbm    "Effect_lampfireB_M.ewz"
mlbs    "Effect_lampfireB_S.ewz"
mlgg    "Effect_lampfireG_L5.ewz"
mlgl    "Effect_lampfireG_L.ewz"
mlgm    "Effect_lampfireG_M.ewz"
mlgs    "Effect_lampfireG_S.ewz"
O045	"Effect_lampfireGr_L.ewz"
O046	"Effect_lampfireR_L.ewz"
O047	"Effect_lampfireBb_L.ewz"
//A637	"Memory_Coin3.ewz"
A652	"Memory_Coin4.ewz"
//A706	"A_CrownBadge_effect1.ewz"
A711	"A_WorldCup_effect1.ewz"
A712	"A_WorldCup_effect2.ewz"
A761	"A_Arrow_effect1.ewz"
A831	"A_Quest_guild_effect1.ewz"
A836	"A_Quest_daily_effect1.ewz"
A841	"A_Quest_repeat_effect1.ewz"
A901	"EP2\A_MissionTrigger_Discern_effect1.ewz"
I820	"EP2\I_Chamber_of_Secrets_Block_effect1.ewz"
I821	"EP2\I_Chamber_of_Secrets_Block_effect2.ewz"
I822	"EP2\I_Chamber_of_Secrets_Block_effect3.ewz"
I823	"EP2\I_Chamber_of_Secrets_Block_effect4.ewz"
I824	"EP2\I_Chamber_of_Secrets_Block_effect5.ewz"
I825	"EP2\I_Chamber_of_Secrets_Fire_effect1.ewz"
I826	"EP2\I_Chamber_of_Secrets_Fire_effect2.ewz"
I835	"EP2\I_Chamber_of_Secrets_Machine_effect1.ewz"
I836	"EP2\I_Chamber_of_Secrets_Machine_effect2.ewz"
I837	"EP2\I_Chamber_of_Secrets_Machine_effect3.ewz"
I838	"EP2\I_Chamber_of_Secrets_Machine_effect4.ewz"
I839	"EP2\I_Chamber_of_Secrets_Machine_effect5.ewz"
I840	"EP2\I_Chamber_of_Secrets_Trap1_effect1.ewz"
I845	"EP2\I_Chamber_of_Secrets_Trap2_effect1.ewz"
A987	"A_Quest_beta_effect1.ewz"
End



