start
A675	"A_ExpUP_effect1.ewz"									
A650	"A_Shadow_Attack01.ewz"								
A007	"Attack01.ewz"				
A008	"Attack02.ewz"				
A004	"Blood_1.ewz"				
A005	"Blood_2.ewz"				
B001	"B_Stun_Duration_Target.ewz"		
A023	"Corpse_Ghost.ewz"			
A575	"Crystal_Pole.ewz"			
A590 	"Crystal_Pole_Receive.ewz"				
A000	"Dust_1.ewz"				
A001	"Dust_2.ewz"				
A002	"Dust_3.ewz"				
A003	"Dust_4.ewz"				
A045	"quest1.ewz"				
arrw	"laser.ewz"				
A016	"HPup.ewz"				
A017	"MPup.ewz"				
A018	"item1.ewz"
A019	"gold.ewz"				
A020	"item.ewz"				
R000	"R_hungry_effect1.ewz"	        	
R002	"R_intimacy_max_effect1.ewz"		
Q025	"N_life_tree_effect1.ewz"		
Q030	"N_sprit_tree_effect1.ewz"		
k470	"K_Elemental_Teleport_effect1.ewz"		
K788	"K_Shadow_Curse_SoulControl_effect4.ewz"	
O021	"O_CursedTemple_CenterStair_effect2.ewz"	
O025	"O_CursedTemple_Object_effect1.ewz"		
O026	"O_CursedTemple_Object_effect2.ewz"		
A585	"Newcomer.ewz"					
I650	"I_Darkpillar_effect1.ewz"		
I655	"I_MagicSquare1_effect1.ewz"		
I656	"I_MagicSquare1_effect2.ewz"		
I660	"I_MagicSquare2_effect1.ewz"		
I665	"I_Green_poisonGas_effect1.ewz"		
I666	"I_Green_poisonGas_effect2.ewz"		
I667	"I_Green_poisonGas_effect3.ewz"		
I670	"I_DarknessForce_effect1.ewz"		
I671	"I_DarknessForce_effect2.ewz"		
T009	"map01_trigger_poison-fog.ewz"		
T014	"map03_trigger_PoisonFog_8s.ewz"
T015	"map03_trigger_PoisonFog_ns.ewz"
T008	"map01_trigger_et-tree.ewz"
owj2	"map01_trigger_et-tree01.ewz"
owj3	"map01_trigger_et-tree02.ewz"
E056	"E_DusE_Natural.ewz"
E010	"E_Arrow_Fire.ewz"					
E011	"E_Arrow_Ice.ewz"				
E012	"E_Arrow_Poison.ewz"				
E013	"E_Arrow_Electric.ewz"				
A511	"Valkytie_weapon_fire2_1.ewz"	
A670	"A_Shield_Fracture_effect1.ewz"	
A671	"A_Shield_Fracture_effect2.ewz"	
L741	"L_Death_Shaman_skil1_effect6.ewz"
A701	"A_Shield_empty01.ewz"
J760	"J_Candy_stick_effect1.ewz"
I705	"I_Occ_GuildMaster_effect1.ewz"
I710	"I_Occ_CastleIcon_effect1.ewz"
O145	"O_HelonTrigger1_effect1.ewz"
O155	"O_HelonTrigger3_effect1.ewz"
O160	"O_HelonTrigger4_effect1.ewz"
O161	"O_HelonTrigger4_effect2.ewz"
O195	"map04_trigger_A001.ewz"
O196	"map05_statue01_A001.ewz"
O182	"O_HelonTrigger7_effect3.ewz"
A716	"A_Customizing_effect1.ewz"
//I706	"CH_GuildMaster_VIP_effect1.ewz"
//I707	"CH_GuildMaster_VIP_effect2.ewz"
I708	"I_Occ_GuildMembers_effect1.ewz"
O235	"EP2\O_Ep2_sub3_effect1.ewz"
A736	"LimitedEdition_effect1.ewz"
Q035	"N_perk_tree_effect1.ewz"
Q040	"N_perk_tree_effect2.ewz"
A741	"A_SkillLevelUp_effect1.ewz"
O250	"EP2\O_Ep2_mission2_triger3_effect1.ewz"
O251	"EP2\O_Ep2_mission2_triger3_effect2.ewz"
B018	"eCHAR_STATE_FROZEN.ewz"
B216	"eCHAR_STATE_CURE.ewz"
I461	"I_Berserk_taunt_effect_2.ewz"	
B008	"B_Fear_Spirits.ewz"
B000	"B_Fire_Duration_Target.ewz"		
B002	"B_Poison_Duration_Target.ewz"		
B006	"B_Wound_Duration_Target.ewz"		
B009	"B_Ice_Duration_Target_Break.ewz"
B231	"B_Divine_emblem.ewz"
B105	"B_Armour_brake.ewz"	
A766	"A_Transgender_effect1.ewz"
A776	"A_CH_Reserve_Badge_effect1.ewz"
A781	"A_VIP_Badge1_ch.ewz"
A782	"A_VIP_Badge2_ch.ewz"
A783	"A_VIP_Badge3_ch.ewz"
