start
NFLA    "flarewhite.ewz"
SMA1    "smokeA01.ewz"
SMB1    "smokeB01.ewz"
SMB2    "smokeB02.ewz"
SMB3    "smokeB03.ewz"
SMC1    "smokeC01.ewz"
SMC2    "smokeC02.ewz"
NLA1    "actionlava01_S.ewz"
NLA2    "actionlava01_M.ewz"
NLA3    "actionlava01_L.ewz"
n4es    "Effect_weather_snow.ewz"
n3ea    "Effect_weather_ash.ewz"
n1el    "Effect_weather_leaf.ewz"
nRIS    "Effect_rising.ewz"
nzLG    "Effect_lampGlow.ewz"
N002    "effect_map03_snow.ewz"
N005    "effect_etherain_smoke01.ewz"
N006    "effect_etherain_smoke02.ewz"
N007    "effect_smoke_small.ewz"
N008    "effect_tringel_water01.ewz"
N009    "effect_tringel_water02.ewz"
NE01    "effect_etherain_fountain001.ewz"
Ncpf    "effect_campfire.ewz"
Npsw    "passage_waterfall001.ewz"
Nps2    "passage_waterfall002.ewz"
T001    "map01_trigger_attack-tree_Bind.ewz"
T002    "map01_trigger_attack-tree_untie.ewz"
T003	"map01_trigger_wolf-figure.ewz"
T004	"map01_trigger_lock-column_looping.ewz"
T005	"map01_trigger_lock-column_break.ewz"
T010	"map02_trigger_trap_gate_01.ewz"
T011	"map03_trigger_Twister.ewz"
T012	"map03_trigger_ColdGas_8s.ewz"
T013	"map03_trigger_ColdGas_ns.ewz"
T016	"map03_z01_icestick_trigger.ewz"
T017	"map03_z01_iceTree.ewz"
T018	"map03_04_crystal.ewz"
T021	"BG_ice_down.ewz"
T022	"BG_lightcircle_dark.ewz"
T023	"BG_lightcircle_star.ewz"
T025	"map03_z02_statuebridge_broken.ewz"
T026	"map03_z03_etherplant_broken.ewz"
T027	"Map03F02_statue1_broken.ewz"
T028	"DragonZombie_Statue_broken.ewz"
T029	"map03_z03_etherplant_loop.ewz"
T030	"BG_light_twinkling_up.ewz"
T031	"StoneFallDust.ewz"
T032	"trigger_WickedFog.ewz"
T033	"map02_trigger_egg01.ewz"
T034	"map02_trigger_egg02.ewz"
T035	"map02_trigger_light.ewz"
T036	"map02_trigger_dropstone01.ewz"
T037	"map02_trigger_dragontomb01.ewz"
T038	"map02_trigger_pole01_fire.ewz"
T039	"map02_trigger_pole01_Beam.ewz"
T040	"map02_trigger_pole01_chain1.ewz"
T041	"map02_trigger_light_red.ewz"
T042	"map02_trigger_light_green.ewz"
T043	"map04_trigger_DragonBreathing.ewz"
T044	"map04_trigger_Explore.ewz"
End
