start
T045	"map04_trigger_light.ewz"
T046	"map02_trigger_pole01_Beam_blue.ewz"
T047	"map02_trigger_pole01_Beam_red.ewz"
efmt    "Effect_moth.ewz"
Me01	"BG_flower_leaf.ewz"
Me02	"BG_cave_shine.ewz"
Me03	"BG_Water_Course.ewz"
Me04	"BG_Water_Course_thin.ewz"
Me05	"BG_Water_Course_short.ewz"
Me06	"BG_Water_Wave.ewz"
Me07	"BG_Smoke_Green.ewz"
Me08	"BG_Wind_Sand.ewz"
Me09	"BG_Wind_Snow.ewz"
Me10	"BG_Water_Wave2.ewz"
Me11	"BG_light_flash.ewz"
Me12	"BG_fly.ewz"
Me13	"BG_ice_down2.ewz"
Me14	"BG_ice_down3.ewz"
Me15	"effect_campfire_blue.ewz"
Me16	"effect_campfire_yellow.ewz"
Me17	"XmasTree01.ewz"
owj1	"map01_trigger_magiczone01.ewz"
Q000	"N_wrist_effect1.ewz" 			
Q005	"N_head_attack_effect1.ewz"	
E023	"E_Ether_Electric.ewz"				
E033	"E_Mass_Electric.ewz"				
L020	"Master_of_Castle_normal_attack1.ewz"		
L049	"Master_of_Castle_attack_receive.ewz"		
E090	"E_Monster_Staff_Dark_Shot_effect_1.ewz"	
E091	"E_Monster_Staff_Dark_Shot_effect_1_attack.ewz" 
E140	"E_Monster_Dark_Arrow_effect_1.ewz" 			
L497	"L_Fire_drake_Fire_effect1.ewz"	 		
L507	"L_Fire_drake_Fire_breath_effect1.ewz"		
L522	"L_Fire_wizard_Fire_energy_effect1.ewz"		
L594	"L_Binded_Archer_effect3.ewz"			
L595	"L_Binded_Archer_effect4.ewz"			
L664	"L_Arpendue_Blow_of_Ruin_effect3.ewz"		
L665	"L_Arpendue_Blow_of_Ruin_effect4.ewz"		
T006	"map01_trigger_magiczone.ewz"
K675	"K_Character_Skillmaster_effect.ewz" 		
I460	"I_Berserk_taunt_effect_1.ewz"			
I390	"I_Berserk_wild_spirits_effect_1.ewz"		
I430	"I_Berserk_slash_effect_1.ewz"			
I431	"I_Berserk_slash_effect_3.ewz"			
I470	"I_Berserk_damage_recovey_effect_1.ewz"		
I350	"I_Berserk_spectual_guard_effect_1.ewz"		
I450	"I_Berserk_ground_shock_effect_1.ewz"		
I520	"I_Berserk_weapon_break_effect_1.ewz"		
I521	"I_Berserk_weapon_break_effect_2.ewz"	
E053	"E_DusE_Electric.ewz"				
I480	"I_Berserk_vital_amplyfy_effect_1.ewz"		
I530	"I_Berserk_revenge_effect_1.ewz"		
I440	"I_Berserk_thorns_skin_effect_1.ewz"		
I441	"I_Berserk_thorns_skin_effect_2.ewz"		
I452	"I_Berserk_jump_crush.ewz"			
K695	"K_Berserker_ChangeUp_DefenderMode_effect1.ewz"	
I535	"I_Berserk_sp_recharge_effect_1.ewz"		
J012	"J_Fire_on.ewz"					
J007	"J_Normal_Gain2.ewz"				
I500	"I_Berserk_Berserk_mode_effect_1.ewz"		
End
