start
I615	"I_Berserk_Sonic_explosion_effect_1.ewz" 	
I540	"I_Berserk_spirit_recharge_effect_1.ewz"	
I620	"I_Berserk_Spinning_blow_effect_1.ewz"		
I510	"I_Berserk_Berserk_force_effect_1.ewz"		
I511	"I_Berserk_Berserk_force_effect_2.ewz"		
I630	"I_Berserk_Fury_strike_effect_1.ewz" 		
E053	"E_DusE_Electric.ewz"				
I625	"I_Berserk_Spinning_crush_effect_1.ewz"		
K685	"K_Berserker_ChangeUp_WarCry_effect1.ewz"	
K690	"K_Berserker_ChangeUp_Shout_effect1.ewz"	
H600	"H_Dragon_diffuseblow.ewz"			
D001	"D_Hand_Fire_Casting.ewz"			
A030	"Reley_Dust.ewz"				
H520	"H_Dragon_viper_blade_effect_1.ewz" 		
H510	"H_Dragon_death_divide_effect_1.ewz"		
H340	"H_Dragon_arcane_blade_effect_1.ewz"		
K705	"K_Dragon_ChangeUp_ChargeAttack_effect1.ewz"	
K706	"K_Dragon_ChangeUp_ChargeAttack_effect2.ewz"	
K710	"K_Dragon_ChangeUp_SpiritSlug_effect1.ewz"	
F040	"F_Electric1_InAttack.ewz"			
H530	"H_Dragon_assault_effect_1.ewz"			
A037	"Inside_Light_Gain_3.ewz"			
D003	"D_Hand_Electric_Casting.ewz"			
H610	"H_Dragon_stunningblow.ewz"			
H570	"H_Dragon_fear_effect_1.ewz"			
H571	"H_Dragon_fear_effect_2.ewz"
D000	"D_Hand_ice_Casting.ewz"			
J016	"J_Darken_on.ewz"
H540	"H_Dragon_devine_force_effect_1.ewz"		
H541	"H_Dragon_devine_force_effect_2.ewz"		
H550	"H_Dragon_mark_of_chance_effect_1.ewz"		
H551	"H_Dragon_mark_of_chance_effect_2.ewz"						
H560	"H_Dragon_rapid_attack_effect_1.ewz"		
H580	"H_Dragon_mark_of_recovery_effect_1.ewz"	
H620	"H_Dragon_arm_dragon_1.ewz"			
H622	"H_Dragon_arm_dragon_2.ewz"			
H623	"H_Dragon_arm_dragon_3.ewz"			
H525	"H_Dragon_explosion_attack.ewz"			
H526	"H_Dragon_explosion_attack2.ewz" //팔,다리에 붙는 보조			
H527	"H_Dragon_explosion_attack3.ewz" //바닥먼지	
H528	"H_Dragon_explosion_attack4.ewz" //공격타이밍 광원
H430	"H_Dragon_Mark_Of_Spirits_Power_effect_1.ewz"	
H522	"H_Dragon_evon_blade_effect_1.ewz"    		
K720	"K_Dragon_ChangeUp_DragonGale_effect1.ewz"		
K721	"K_Dragon_ChangeUp_DragonGale_effect2.ewz"	
H630	"H_Dragon_arctic_blast_1.ewz"		
H631	"H_Dragon_arctic_blast_1_hand1.ewz"		
H632	"H_Dragon_arctic_blast_1_hand2.ewz"	
H635	"H_Dragon_fire_blast_1.ewz"			
H636	"H_Dragon_fire_blast_1_hand.ewz"
H637	"H_Dragon_fire_blast_2_hand.ewz"
H640	"H_Dragon_dragon_claw_1.ewz"			
H641	"H_Dragon_Slaughter_1.ewz"	
H646	"H_Dragon_fist_of_fire_2.ewz"			
K715	"K_Dragon_ChangeUp_DragonRay_effect1.ewz"	
A044	"Elemental_orb_attackt.ewz"
A048	"Ele_socket_gro.ewz"				
A049	"Ele_socket_water.ewz"				
A050	"Ele_socket_wind.ewz"				
A051	"Ele_socket_fire.ewz"				
End
