start
A052	"Ele_socket_dark.ewz"				
F020	"F_fire1_InAttack.ewz"				
E020	"E_Ether_Fire.ewz"				
C000	"C_Hand_ice_Casting.ewz"			
F030	"F_Ice1_InAttack.ewz"				
E021	"E_Ether_Ice.ewz"				
F021	"F_fire2_InAttack.ewz"				
E030	"E_Mass_Fire.ewz"				
F031	"F_Ice2_InAttack.ewz"				
k400	"K_Elemental_iceblast_effect1.ewz"		
k401	"K_Elemental_iceblast_effect1_1.ewz"		
k480	"K_Elemental_mighty_spirit_effect1.ewz"		
k481	"K_Elemental_mighty_spirit_effect2.ewz"		
A500	"fire1.ewz"					
A035	"Inside_Light_Gain_1.ewz"			
E057	"E_Spear.ewz"					
J011	"J_Ice_on.ewz"					
A010	"Backshock_2.ewz"				
k440	"K_Elemental_ice_bolt_effect_1.ewz"			
I012	"I_fire_Bottom.ewz"				
I013	"I_Fire_Bottom_ON.ewz"				
A033	"Inside_Light_Gain.ewz"				
A013	"Dust_style_3.ewz"				
K450	"K_Elemental_wind_bolt_effect_1.ewz"		
k490	"K_Elemental_might_power_effect1.ewz"		
k491	"K_Elemental_might_power_effect2.ewz"		
B003	"B_Electric_Duration_Target.ewz"		
F041	"F_Electric2_InAttack.ewz"			
I031	"I_Electric_Falldown.ewz"			
C002	"C_Hand_Poison_Casting.ewz"			
k460	"K_Elemental_poison_thorn_effect_1.ewz"		
k380	"K_Elemental_electric_field_effect1.ewz"   	
I030	"I_Electric_On.ewz"
I060	"I_Fire_Bottom_Duration.ewz"						
C003	"C_Hand_EleCric_Casting.ewz"			
C004	"C_Hand_Earth_Casting.ewz"			
F010	"F_Earth1_InAttack.ewz"				
E044	"E_Shockwave_Earth.ewz"				
H001	"H_Type1_Fire_InUse.ewz"			
K340	"K_Elemental_Star_Fall_1.ewz"			
K341	"K_Elemental_Star_Fall_2.ewz"			
J015	"J_Earth_on.ewz"				
F011	"F_Earth2_InAttack.ewz"				
K350	"K_Elemental_Earth_Quake_1.ewz"			
K747	"K_Elemental_ChangeUp_CircleSpirits_effect3.ewz"	
K748	"K_Elemental_ChangeUp_CircleSpirits_effect4.ewz"	
K749	"K_Elemental_ChangeUp_CircleSpirits_effect5.ewz"	
K750	"K_Elemental_ChangeUp_InAbility_effect1.ewz"		
K751	"K_Elemental_ChangeUp_InAbility_effect2.ewz"		
K752	"K_Elemental_ChangeUp_InAbility_effect3.ewz"		
K759	"K_Elemental_ChangeUp_InAbility_effect6.ewz"		
H050	"H_Elemental_Quicken_in_Use.ewz"		
k500	"K_Elemental_mana_recharge_effect1.ewz"		
k420	"K_Elemental_heal_magic_array1.ewz"		
k600	"K_Elemental_sacredfire_effect1.ewz"		
k601	"K_Elemental_sacredfire_effect2.ewz"		
k602	"K_Elemental_sacredfire_effect3.ewz"		
A022	"Revive.ewz"						
k510	"K_Elemental_essense_effect1.ewz"		
k511	"K_Elemental_essense_effect2.ewz"		
End
