start
k421	"K_Elemental_heal_magic_array2.ewz"		
k610	"K_Elemental_inquiry_effect1.ewz"		
k520	"K_Elemental_blaze_force_effect1.ewz"		
k370	"K_Elemental_windshild_effect1.ewz"     			
k530	"K_Elemental_focus_effect1.ewz"			
k531	"K_Elemental_focus_effect2.ewz"			
k540	"K_Elemental_ice_force_effect1.ewz"			
K390	"K_Elemental_frozon_field_effect1.ewz"		
k550	"K_Elemental_natural_attack1.ewz"			
A040	"Outside_light_Gain_3.ewz"			
K360	"K_Elemental_magic_shild_effect1.ewz"		
k560	"K_Elemental_accrucy_spirit_effect1.ewz"		
k620	"K_Elemental_devishdance_effect1.ewz"		
k570	"K_Elemental_magic_force_effect1.ewz"		
k571	"K_Elemental_magic_force_effect2.ewz"		
k580	"K_Elemental_mana_recovery_effect1.ewz"		
k590	"K_Elemental_increse_speed_effect1.ewz"		
k591	"K_Elemental_increse_speed_effect2.ewz"		
K755	"K_Elemental_ChangeUp_SaintAid_effect1.ewz"	
K756	"K_Elemental_ChangeUp_SaintAid_effect2.ewz"	
K757	"K_Elemental_ChangeUp_SaintAid_effect3.ewz"	
K760	"K_Elemental_ChangeUp_Purge_effect1.ewz"	
K761	"K_Elemental_ChangeUp_Purge_effect2.ewz"	
K762	"K_Elemental_ChangeUp_Purge_effect3.ewz"	
F050	"F_Darken1_inAttack.ewz"		
F051	"F_Darken2_inAttack.ewz"	
F000	"F_Normal1_inAttack.ewz"		
F001	"F_Normal2_inAttack.ewz"
A509	"Valkytie_weapon_fire.ewz"			
A510	"Valkytie_weapon_fire2.ewz"			
A041	"Valkyrie_attack.ewz"				
E077	"E_Valkyrie_fastshot_effect_1.ewz"		
E080	"E_Valkyrie_shockwave_effect_1.ewz"		
E078	"E_Valkyrie_sniping_effect_1.ewz"		
E079	"E_Valkyrie_Frozenarrow_effect_1.ewz"		
E084	"E_Valkyrie_ether_blase_effect_1.ewz"		
E081	"E_Valkyrie_overlimit_effect_1.ewz"		
E082	"E_Valkyrie_manadrain_effect_1.ewz"
E086	"E_Valkyrie_heavyshot_effect_1.ewz"
K725	"K_Valkyrie_ChangeUp_LuckyChance_effect1.ewz"		
K726	"K_Valkyrie_ChangeUp_LuckyChance_effect2.ewz"		
K730	"K_Valkyrie_ChangeUp_ChaseShot_effect1.ewz"		
K731	"K_Valkyrie_ChangeUp_ChaseShot_effect2.ewz"		
K732	"K_Valkyrie_ChangeUp_ChaseShot_effect3.ewz"		
K735	"K_Valkyrie_ChangeUp_Adrenaline_effect1.ewz"		
K736	"K_Valkyrie_ChangeUp_Adrenaline_effect2.ewz"		
J510	"J_Valkyrie_unlimit_force_effect_1.ewz"		
J511	"J_Valkyrie_unlimit_force_effect_2.ewz"	
J520	"J_Valkyrie_mark_of_faction_effect_1.ewz"		
J521	"J_Valkyrie_mark_of_faction_effect_2.ewz"
J530	"J_Valkyrie_mark_of_symphony_effect_1.ewz"		
J531	"J_Valkyrie_mark_of_symphony_effect_2.ewz"	
J390	"J_Valkyrie_Summon_lifeghost_Effect_1.ewz"		
J392	"J_Valkyrie_Summon_lifeghost_Effect_1_start.ewz"	
J394	"J_Valkyrie_death_lifeghost_effect_1.ewz"
J340	"J_Valkyrie_Summon_WarBattle_Effect_1.ewz"		
J341	"J_Valkyrie_Summon_WarBattle_Effect_1_start.ewz"
J460	"J_Valkyrie_Summon_Destroyer_Effect_1.ewz"	
J461	"J_Valkyrie_Summon_Destroyer_Effect_1_start.ewz" 
J490	"J_Valkyrie_destroyer_rockaway_effect_1.ewz"	
End
