start
J540	"J_Valkyrie_patience_effect_1.ewz"			
J541	"J_Valkyrie_patience_effect_2.ewz"	
J560	"J_Valkyrie_ressurection_effect_1.ewz"			
J561	"J_Valkyrie_ressurection_effect_2.ewz"	
J550	"J_Valkyrie_battle_barrior_effect_1.ewz"	
J551	"J_Valkyrie_battle_barrior_effect_2.ewz"	
J500	"J_Valkyrie_destroyer_filloff_effect_1.ewz"	
g022	"J_Valkyrie_Oriya.ewz"
g023	"J_Valkyrie_Aura.ewz"
g024	"J_Valkyrie_Albeus.ewz"	
g027	"J_Valkyrie_Albeus_J10.ewz"	
g025	"J_Valkyrie_Causis1.ewz"	
g026	"J_Valkyrie_Causis2.ewz"
K766	"K_Shadow_Curse_Pain_effect2.ewz"		
K767	"K_Shadow_Curse_Pain_effect3.ewz"		
K771	"K_Shadow_Curse_DarkFire_effect2.ewz"		
K772	"K_Shadow_Curse_DarkFire_effect3.ewz" 		
K791	"K_Shadow_Curse_Impotent_effect2.ewz"		
K792	"K_Shadow_Curse_Impotent_effect3.ewz" 		
K826	"K_Shadow_Curse_Confuse_effect2.ewz"		
K827	"K_Shadow_Curse_Confuse_effect3.ewz"		
K780	"K_Shadow_Curse_ArmorIncrease_effect1.ewz"		
K810	"K_Shadow_Curse_CurseIncrease_effect1.ewz"		
K820	"K_Shadow_Curse_ReinforceMagic_Cancel_effect1.ewz"		
K821	"K_Shadow_Curse_ReinforceMagic_Cancel_effect2.ewz"		
K840	"K_Shadow_Dark_WhipAttack_effect1.ewz"		
K845	"K_Shadow_Dark_PoisonDagger_effect1.ewz"		
K849	"K_Shadow_Dark_PoisonDagger_effect5.ewz"		
K850	"K_Shadow_Dark_DoubleWidth_effect1.ewz"		
K851	"K_Shadow_Dark_DoubleWidth_effect2.ewz"		
K857	"K_Shadow_Dark_DarkStun_effect3.ewz"		
K776	"K_Shadow_Curse_DarkSpark_effect2.ewz"		
K777	"K_Shadow_Curse_DarkSpark_effect3.ewz"		
K778	"K_Shadow_Curse_DarkSpark_effect4.ewz"		
K785	"K_Shadow_Curse_SoulControl_effect1.ewz"		
K795	"K_Shadow_Curse_VitalSuction_effect1.ewz"		
K797	"K_Shadow_Curse_VitalSuction_effect3.ewz"		
K798	"K_Shadow_Curse_VitalSuction_effect4.ewz"		
K860	"K_Shadow_Dark_Hide_effect1.ewz"	
K865	"K_Shadow_Dark_DeathBlow_effect1.ewz"		
K876	"K_Shadow_Dark_Cancellation_effect2.ewz"		
K878	"K_Shadow_Dark_Cancellation_effect4.ewz"		
K893	"K_Shadow_Dark_DarkDust_effect4.ewz"		
K870	"K_Shadow_Dark_ShadowSpear_effect1.ewz"		
K925	"K_Shadow_Dark_EnchantPoison_effect1.ewz"		
K926	"K_Shadow_Dark_EnchantPoison_effect2.ewz"		
K815	"K_Shadow_Curse_DarkPain_effect1.ewz"		
K816	"K_Shadow_Curse_DarkPain_effect2.ewz"		
K819	"K_Shadow_Curse_DarkPain_effect5.ewz"		
K895	"K_Shadow_Dark_FastBlow_effect1.ewz"		
K897	"K_Shadow_Dark_FastBlow_effect3.ewz"		
K900	"K_Shadow_Dark_DownSlash_effect1.ewz"		
K902	"K_Shadow_Dark_DownSlash_effect3.ewz"		
K903	"K_Shadow_Dark_DownSlash_effect4.ewz"		
K904	"K_Shadow_Dark_DownSlash_effect5.ewz"		
K830	"K_Shadow_Curse_Demon_effect1.ewz"		
K831	"K_Shadow_Curse_Demon_effect2.ewz"		
K836	"K_Shadow_Curse_DarkForce_effect2.ewz"		
K837	"K_Shadow_Curse_DarkForce_effect3.ewz"		
K838	"K_Shadow_Curse_DarkForce_effect4.ewz"		
End
