start
K885	"K_Shadow_Dark_SuddenStrike_effect1.ewz"		
K886	"K_Shadow_Dark_SuddenStrike_effect2.ewz"		
K887	"K_Shadow_Dark_SuddenStrike_effect3.ewz"		
K910	"K_Shadow_Dark_WhirlwindBlow_effect1.ewz"		
K920	"K_Shadow_Dark_DarkBreak_effect1.ewz"		
K921	"K_Shadow_Dark_DarkBreak_effect2.ewz"		
K915	"K_Shadow_Dark_DarkSlash_effect1.ewz"		
K916	"K_Shadow_Dark_SoulScream_effect6.ewz"		
K905	"K_Shadow_Dark_SoulScream_effect1.ewz"		
K800	"K_Shadow_Curse_HPSuction_effect1.ewz"		
K801	"K_Shadow_Curse_HPSuction_effect2.ewz"		
K802	"K_Shadow_Curse_HPSuction_effect3.ewz"		
K805	"K_Shadow_Curse_MPSuction_effect1.ewz"		
K806	"K_Shadow_Curse_MPSuction_effect2.ewz"		
K807	"K_Shadow_Curse_MPSuction_effect3.ewz"		
J006	"J_Normal_Gain1.ewz"		
J007	"J_Normal_Gain2.ewz"		
J008	"J_Normal_Gain3.ewz"		
J009	"J_Normal_Gain4.ewz"		
J010	"J_Normal_Gain5.ewz"	
J013	"J_Poison_on.ewz"
J014	"J_Electric_on.ewz"
J017	"J_Natural_on.ewz"
A515	"Berserk_PVP_set.ewz"		
m039	"Berserk_PVP_set_hand.ewz"
A516	"Dragon_PVP_set.ewz"		
m071	"Dragon_PVP_set_2.ewz"	
A517	"Valkytie_PVP_set.ewz"		
m139	"Valkytie_PVP_set_wing.ewz" 		
A518	"Elemental_PVP_set.ewz"		
A655	"A_Shadow_Elite_full_set_effect1.ewz"	
A656 	"A_Shadow_Elite_full_set_effect2.ewz"	
J605	"J_HighestAcc_GigantArm_Fire_effect1.ewz"		
J610	"J_HighestAcc_GigantArm_Water_effect1.ewz"		
J615	"J_HighestAcc_GigantArm_Wind_effect1.ewz"		
J620	"J_HighestAcc_GigantArm_Ground_effect1.ewz"		
J625	"J_HighestAcc_GigantArm_Dark_effect1.ewz"		
J630	"J_HighestAcc_DragonicCrow_Fire_effect1.ewz"		
J635	"J_HighestAcc_DragonicCrow_Water_effect1.ewz"		
J640	"J_HighestAcc_DragonicCrow_Wind_effect1.ewz"		
J645	"J_HighestAcc_DragonicCrow_Ground_effect1.ewz"		
J650	"J_HighestAcc_DragonicCrow_Dark_effect1.ewz"		
J655	"J_HighestAcc_HellonCrasher_Fire_effect1.ewz"		
J660	"J_HighestAcc_HellonCrasher_Water_effect1.ewz"		
J665	"J_HighestAcc_HellonCrasher_Wind_effect1.ewz"		
J670	"J_HighestAcc_HellonCrasher_Ground_effect1.ewz"		
J675	"J_HighestAcc_HellonCrasher_Dark_effect1.ewz"		
J680	"J_HighestAcc_DestroyEmperor_Fire_effect1.ewz"		
J685	"J_HighestAcc_DestroyEmperor_Water_effect1.ewz"		
J690	"J_HighestAcc_DestroyEmperor_Wind_effect1.ewz"		
J695	"J_HighestAcc_DestroyEmperor_Ground_effect1.ewz"	
J700	"J_HighestAcc_DestroyEmperor_Dark_effect1.ewz"		
J725	"J_GigantArm_elite_effect1.ewz"		
J730	"J_DragonicCrow_elite_effect1.ewz"	
J735	"J_HellonCrasher_elite_effect1.ewz"	
J740	"J_DestroyEmperor_elite_effect1.ewz"	
g015   	"I_Berserk_Talground.ewz"		
g013    "I_Berserk_Strommung.ewz"		
g009    "H_Dragon_parlangk.ewz"			
g011    "H_Dragon_Torrens.ewz"			
End
