start
g018	"K_Elemental_Convaliche.ewz"		
g019	"K_Elemental_Convaliche_J10.ewz"
g021	"K_Elemental_Sorgente.ewz"		
g022	"J_Valkyrie_Oriya.ewz"			
g024	"J_Valkyrie_Albeus.ewz"			
J750	"J_Shadow_elite_dagger_effect1.ewz"	
J751	"J_Shadow_elite_dagger_effect1_J10.ewz"
J755	"J_Shadow_elite_whip_effect1.ewz"	
J756	"J_Shadow_elite_whip_effect2.ewz"	
M305	"M_CursedTempleSet_ber_effect1.ewz"		
M306	"M_CursedTempleSet_ber_effect2.ewz"		
M310	"M_CursedTempleSet_dra_effect1.ewz"		
M311	"M_CursedTempleSet_dra_effect2.ewz"		
M315	"M_CursedTempleSet_sha_effect1.ewz"		
M316	"M_CursedTempleSet_sha_effect2.ewz"	
M320	"M_CursedTempleSet_val_effect1.ewz"	
M321	"M_CursedTempleSet_val_effect2.ewz"	
M325	"M_CursedTempleSet_ele_effect1.ewz"	
M326	"M_CursedTempleSet_ele_effect2.ewz"	
A504	"dark_gi_center.ewz"		
I011	"I_Fire_Falldown.ewz"		
A027	"Berserker_WarCry_Dust.ewz"	
A503	"ice_gi_down.ewz"		
C010	"C_Foot_Aura_Ice_Casting.ewz"	
B004	"B_ice_Duration_Target.ewz"
A508	"dark_gi_up_large.ewz"		
A012	"Dust_style_2.ewz"		
H004	"H_Type1_Earth_InUse.ewz"	
A038	"Outside_light_Gain_1.ewz"	
H026	"H_Type3_Natural_InUse.ewz"	
H005	"H_Type1_Draken_InUse.ewz"	
I041 	"I_Earth_Falldown.ewz"		
H040	"H_Type5_Ice_InUse.ewz"		
C001	"C_Hand_Fire_Casting.ewz"	
A011	"Dust_style_1.ewz"		
A512	"ice_range_attack_A.ewz"
A508	"dark_gi_up_large.ewz"		
A505	"dark_gi_down.ewz"		
H043	"H_Type5_Elecric_InUse.ewz"	
L052	"Beast_Master_Wing_L.ewz"	
A021	"Summon.ewz"			
L532	"L_Fire_soldier_Attack_effect1.ewz"			
L533	"L_Fire_soldier_Attack_effect2.ewz"			
L537	"L_Fire_soldier_Axe_flame_effect1.ewz"			
L538	"L_Fire_soldier_Axe_flame_effect2.ewz"			
L539	"L_Fire_soldier_Axe_flame_effect3.ewz"			
L540	"L_Fire_soldier_Axe_flame_effect4.ewz"			
L542	"L_Fire_soldier_Knock_out_effect1.ewz"			
L552	"L_Dragon_of_restrick_Double_heads_attackeffect1.ewz"	
L553	"L_Dragon_of_restrick_Double_heads_attackeffect2.ewz"	
L557	"L_Dragon_of_restrick_Flame_breath_effect1.ewz" 	
L562	"L_Dragon_of_restrick_Summon_vain_effect1.ewz"	 	
L563	"L_Dragon_of_restrick_Summon_vain_effect2.ewz"	 	
A502	"fire3.ewz"					
L089	"Flame_Ruler_Basic.ewz"				
L103	"Flame_Ruler_T_Meteo_Shower1_hand.ewz"	
L096	"Flame_Ruler_T_Ground_Distruction_hand.ewz"
L667	"L_Fallen_Sorcerer_Attack_effect1.ewz"		
L668	"L_Fallen_Sorcerer_Attack_effect2.ewz"		
L669	"L_Fallen_Sorcerer_Attack_effect3.ewz"		
End
