start
M231	"M_Shadow_06B.ewz"	
M235	"M_Shadow_07A.ewz"	
M236	"M_Shadow_07B.ewz"	
L734	"L_Death_Shaman_skil1_effect3.ewz"
L735	"L_Death_Shaman_skil1_effect4.ewz"
L736	"L_Death_Shaman_skil1_effect5.ewz"
L739	"L_Death_Shaman_skil2_effect3.ewz"
L740	"L_Death_Shaman_skil2_effect4.ewz"
L742	"L_Death_Shaman_skil3_effect1.ewz"
L747	"L_Death_Shaman_skil4_effect1.ewz"
L752	"L_Death_Shaman_skil5_effect1.ewz"
L757	"L_Death_Shaman_skil6_effect1.ewz"
L777	"L_DarkForce_Roc1_skill2_effect1.ewz"
L787	"L_DarkEther_Crocodile1_skill2_effect1.ewz"
L792	"L_DogFace_warrior_skill1_effect1.ewz"
L802	"L_Insane_king_skill1_effect1.ewz"
L804	"L_Insane_king_skill1_effect3.ewz"
L808	"L_Insane_king_skill2_effect2.ewz"
L812	"L_Insane_king_skill3_effect1.ewz"
L813	"L_Insane_king_skill3_effect2.ewz"
L814	"L_Insane_king_skill3_effect3.ewz"
L815	"L_Insane_king_skill3_effect4.ewz"
L822	"L_Insane_king_disguise_skill2_effect1.ewz"
L827	"L_Insane_king_disguise_skill3_effect1.ewz"
L828	"L_Insane_king_disguise_skill3_effect2.ewz"
L829	"L_Insane_king_disguise_skill3_effect3.ewz"
L832	"L_Turtle_salamander_attack1_effect1.ewz"
L842	"L_Ice_Sorcerer_attack1_effect1.ewz"
L848	"L_Ice_Sorcerer_attack2_effect2.ewz"
L852	"L_Bitasaurus_attack1_effect1.ewz"
L853	"L_Bitasaurus_attack1_effect2.ewz"
L862	"L_Golroom_attack1_effect1.ewz"
L863	"L_Golroom_attack1_effect2.ewz"
L867	"L_Golroom_attack2_effect1.ewz"
L872	"L_SWRZ_Idle_effect1.ewz"
L873	"L_SWRZ_Idle_effect2.ewz"
L874	"L_SWRZ_Idle_effect3.ewz"
L878	"L_SWRZ_attack1_effect2.ewz"
L882	"L_SWRZ_attack2_effect1.ewz"
L883	"L_SWRZ_attack2_effect2.ewz"
L884	"L_SWRZ_attack2_effect3.ewz"
L885	"L_SWRZ_attack2_effect4.ewz"
L887	"L_SWRZ_attack3_effect1.ewz"
L888	"L_SWRZ_attack3_effect2.ewz"
L889	"L_SWRZ_attack3_effect3.ewz"
L892	"L_SWRZ_attack4_effect1.ewz"
L897	"L_SWRZ_attack5_effect1.ewz"
L898	"L_SWRZ_attack5_effect2.ewz"
L902	"L_Lumanka_skill1_effect1.ewz"
L903	"L_Lumanka_skill1_effect2.ewz"
L904	"L_Lumanka_skill1_effect3.ewz"
L907	"L_Lumanka_skill2_effect1.ewz"
L908	"L_Lumanka_skill2_effect2.ewz"
L912	"L_Lumanka_skill3_effect1.ewz"
L913	"L_Lumanka_skill3_effect2.ewz"
L922	"L_Lumanka_skill5_effect1.ewz"
L923	"L_Lumanka_skill5_effect2.ewz"
L924	"L_Lumanka_skill5_effect3.ewz"
M335	"M_EliteSet2_ber_effect1.ewz"	
M336	"M_EliteSet2_ber_effect2.ewz"	
End
