start
M337	"M_EliteSet2_ber_effect3.ewz"
M340	"M_EliteSet2_dra_effect1.ewz"	
M341	"M_EliteSet2_dra_effect2.ewz"	
M342	"M_EliteSet2_dra_effect3.ewz"
M345	"M_EliteSet2_sha_effect1.ewz"	
M346	"M_EliteSet2_sha_effect2.ewz"	
M347	"M_EliteSet2_sha_effect3.ewz"
M350	"M_EliteSet2_val_effect1.ewz"	
M351	"M_EliteSet2_val_effect2.ewz"	
M352	"M_EliteSet2_val_effect3.ewz"
M355	"M_EliteSet2_ele_effect1.ewz"	
M356	"M_EliteSet2_ele_effect2.ewz"
M275	"A_Elite_sha_chest.ewz"
M300	"A_Elite_sha_arm.ewz"
A685	"A_Elite_sha.ewz"
A644	"A_Elite_ber.ewz"		
A645	"A_Elite_dra.ewz"		
A646	"A_Elite_val.ewz"		
A647	"A_Elite_ele.ewz"		
m255	"A_Elite_ber_chest.ewz"		
m260	"A_Elite_dra_chest.ewz"		
m265	"A_Elite_val_chest.ewz"		
m270	"A_Elite_ele_chest.ewz"		
m280	"A_Elite_ber_arm.ewz"		
m285	"A_Elite_dra_arm.ewz"		
m290	"A_Elite_val_arm.ewz"	
I645	"I_Berserk_Strommung_JP.ewz"	
L567	"L_Polution_plant_Attack_effect1.ewz"
L572	"L_Polution_plant_Spit_effect1.ewz"
L584	"L_Polution_plant_Strong_poison_effect3.ewz"
O105	"O_Renewal_Handle1_effect1.ewz"
O106	"O_Renewal_Handle1_effect2.ewz"
O110	"O_Renewal_Handle2_effect1.ewz"
O111	"O_Renewal_Handle2_effect2.ewz"
O115	"O_Renewal_Handle3_effect1.ewz"
O116	"O_Renewal_Handle3_effect2.ewz"
O120	"O_Renewal_Handle4_effect1.ewz"
O125	"O_Renewal_Handle5_effect1.ewz"
O126	"O_Renewal_Handle5_effect2.ewz"
O130	"O_Renewal_Handle6_effect1.ewz"
O135	"O_Renewal_Handle7_effect1.ewz"
O140	"O_Renewal_Handle8_effect1.ewz"
L937	"L_Gomooth_skill1_effect1.ewz"
L938	"L_Gomooth_skill1_effect2.ewz"
L942	"L_Gomooth_skill2_effect1.ewz"
L943	"L_Gomooth_skill2_effect2.ewz"
L927	"L_Frogbeast_skill1_effect1.ewz"
L928	"L_Frogbeast_skill1_effect2.ewz"
L929	"L_Frogbeast_skill1_effect3.ewz"
L932	"L_Frogbeast_skill2_effect1.ewz"
L933	"L_Frogbeast_skill2_effect2.ewz"
L934	"L_Frogbeast_skill2_effect3.ewz"
L947	"L_Bull_Commander_skill1_effect1.ewz"
L948	"L_Bull_Commander_skill1_effect2.ewz"
L952	"L_Bull_Commander_skill2_effect1.ewz"
L953	"L_Bull_Commander_skill2_effect2.ewz"
L954	"L_Bull_Commander_skill2_effect3.ewz"
L957	"L_Lizardman_skill1_effect1.ewz"
L962	"L_Lizardman_skill2_effect1.ewz"
L963	"L_Lizardman_skill2_effect2.ewz"
End
