start
L964	"L_Lizardman_skill2_effect3.ewz"
L967	"L_Bigplant_skill1_effect1.ewz"
L968	"L_Bigplant_skill1_effect2.ewz"
O165	"O_HelonMissionPotal_effect1.ewz"	
O170	"O_HelonTrigger5_effect1.ewz"	
O175	"O_HelonTrigger6_effect1.ewz"	
O176	"O_HelonTrigger6_effect2.ewz"	
O180	"O_HelonTrigger7_effect1.ewz"	
O181	"O_HelonTrigger7_effect2.ewz"	
O185	"O_HelonTrigger8_effect1.ewz"	
O190	"O_HelonTrigger9_effect1.ewz"	
L972	"L_FullMetalCorps_skill1_effect1.ewz"
L973	"L_FullMetalCorps_skill1_effect2.ewz"
L974	"L_FullMetalCorps_skill2_effect1.ewz"
L975	"L_FullMetalCorps_skill2_effect2.ewz"
L976	"L_FullMetalCorps_skill2_effect3.ewz"
L980	"L_PalaceGuard_Leader_skill1_effect1.ewz"
L985	"L_PalaceGuard_Leader_skill2_effect1.ewz"
L986	"L_PalaceGuard_Leader_skill2_effect2.ewz"
L990	"L_SteelClaw_Drake_skill1_effect1.ewz"
L992	"L_SteelClaw_Drake_skill1_effect3.ewz"
L993	"L_SteelClaw_Drake_skill1_effect4.ewz"
L994	"L_SteelClaw_Drake_skill1_effect5.ewz"
L995	"L_SteelClaw_Drake_skill2_effect1.ewz"
L996	"L_SteelClaw_Drake_skill2_effect2.ewz"
I462	"I_Berserk_stunkick_effect_1.ewz"
I463	"I_Berserk_stunkick_effect_2.ewz"
I456	"I_Berserk_doubleslash_effect_1.ewz"
I457	"I_Berserk_besh_effect_1.ewz"
I458	"I_Berserk_besh_effect_2.ewz"
I432	"I_Berserk_slash_effect_2.ewz"
I433	"I_Berserk_spincrush_effect_1.ewz"
I434	"I_Berserk_spincrush_effect_2.ewz"
K930	"K_Berserker_DeadlyStrike_effect1.ewz"
K931	"K_Berserker_DeadlyStrike_effect2.ewz"
K935	"K_Berserker_UpperBlow_effect1.ewz"
K936	"K_Berserker_UpperBlow_effect2.ewz"
K940	"K_Berserker_DoubleAttack_effect1.ewz"
K941	"K_Berserker_DoubleAttack_effect2.ewz"
K942	"K_Berserker_DoubleAttack_effect3.ewz"
K945	"K_Valkyrie_MoonAssault_effect1.ewz"
K950	"K_Valkyrie_DoubleSpinKick_effect1.ewz"
K951	"K_Valkyrie_DoubleSpinKick_effect2.ewz"
K952	"K_Valkyrie_DoubleSpinKick_effect3.ewz"
LA01	"EP2\L_Gojarany_skill1_effect1.ewz"
LA02	"EP2\L_Gojarany_skill1_effect2.ewz"
LA03	"EP2\L_Gojarany_skill1_effect3.ewz"
LA05	"EP2\L_Gojarany_skill2_effect1.ewz"
LA10	"EP2\L_HermitCrab_skill1_effect1.ewz"
LA15	"EP2\L_HermitCrab_skill2_effect1.ewz"
LA16	"EP2\L_HermitCrab_skill2_effect2.ewz"
LA21	"EP2\L_Centipede_skill1_effect2.ewz"
LA22	"EP2\L_Centipede_skill1_effect3.ewz"
LA23	"EP2\L_Centipede_skill1_effect4.ewz"
LA25	"EP2\L_Centipede_skill2_effect1.ewz"
LA26	"EP2\L_Centipede_skill2_effect2.ewz"
LA27	"EP2\L_Centipede_skill2_effect3.ewz"
LA28	"EP2\L_Centipede_skill2_effect4.ewz"
LA30	"EP2\L_Winged_Insects_skill1_effect1.ewz"
LA31	"EP2\L_Winged_Insects_skill1_effect2.ewz"
End
