start
LB20	"EP2\L_Chafer_skill2_effect1.ewz"
LB21	"EP2\L_Chafer_skill2_effect2.ewz"
LA17	"EP2\L_HermitCrab_skill2_effect3.ewz"
O240	"EP2\O_Ep2_mission2_triger1_effect1.ewz"
O245	"EP2\O_Ep2_mission2_triger2_effect1.ewz"
O246	"EP2\O_Ep2_mission2_triger2_effect2.ewz"
O255	"EP2\O_Ep2_mission2_triger4_effect1.ewz"
O256	"EP2\O_Ep2_mission2_triger4_effect2.ewz"
O257	"EP2\O_Ep2_mission2_triger4_effect3.ewz"
K965	"K_Dragon_SonicBlade_effect1.ewz"
K966	"K_Dragon_SonicBlade_effect2.ewz"
K970	"K_Dragon_BladeFury_effect3.ewz"
K971	"K_Dragon_BladeFury_effect4.ewz"
K975	"K_Berserker_WeaponThrowing_effect1.ewz"
K976	"K_Berserker_WeaponThrowing_effect2.ewz"
K980	"K_Valkyrie_DefenceMotion__effect1.ewz"
A746	"A_WingEnchant_effect1.ewz"
A747	"A_WingEnchant_effect2.ewz"
A751	"A_RedWingEnchant_effect1.ewz"
A752	"A_RedWingEnchant_effect2.ewz"
A756	"A_BlackWingEnchant_effect1.ewz"
A757	"A_BlackWingEnchant_effect2.ewz"
LB25	"EP2\L_Nepenthes_skill1_effect1.ewz"
LB26	"EP2\L_Nepenthes_skill1_effect2.ewz"
LB30	"EP2\L_Nepenthes_skill2_effect1.ewz"
LB35	"EP2\L_Golem_skill1_effect1.ewz"
LB40	"EP2\L_Golem_skill2_effect1.ewz"
LB45	"EP2\L_Dinosaur2_skill1_effect1.ewz"
LB46	"EP2\L_Dinosaur2_skill1_effect2.ewz"
LB50	"EP2\L_Dinosaur2_skill2_effect1.ewz"
LB51	"EP2\L_Dinosaur2_skill2_effect2.ewz"
LB55	"EP2\L_CanineTooth_Elite_skill1_effect1.ewz"
LB60	"EP2\L_CanineTooth_Elite_skill2_effect1.ewz"
LB65	"EP2\L_CanineTooth_Assassin_skill1_effect1.ewz"
LB70	"EP2\L_CanineTooth_Assassin_skill1_effect2.ewz"
LB75	"EP2\L_CanineTooth_Boss_skill1_effect1.ewz"
LB76	"EP2\L_CanineTooth_Boss_skill1_effect2.ewz"
LB80	"EP2\L_CanineTooth_Boss_skill2_effect1.ewz"
LB81	"EP2\L_CanineTooth_Boss_skill2_effect2.ewz"
LB85	"EP2\L_CanineTooth_Boss_skill3_effect1.ewz"
LB86	"EP2\L_CanineTooth_Boss_skill3_effect2.ewz"
LB87	"EP2\L_CanineTooth_Boss_skill3_effect3.ewz"
LB90	"EP2\L_Owl_skill1_effect1.ewz"
O265	"EP2\O_Ep2_mission3_triger2_effect1.ewz"
O266	"EP2\O_Ep2_mission3_triger2_effect2.ewz"
O270	"EP2\O_Ep2_mission3_triger3_effect1.ewz"
J770	"EP2\J_New_KalbusAcc_ber_effect1.ewz"
J775	"EP2\J_New_KalbusAcc_dra_effect1.ewz"
J785	"EP2\J_New_KalbusAcc_val_effect1.ewz"
J790	"EP2\J_New_KalbusAcc_ele_effect1.ewz"
J795	"EP2\J_Event_HalloweenWep_effect1.ewz"
LB95	"EP2\L_VampireBat_skill1_effect1.ewz"
LC00	"EP2\L_VampireBat_skill2_effect1.ewz"
LC05	"EP2\L_Capipu_skill1_effect1.ewz"
LC10	"EP2\L_Capipu_skill2_effect1.ewz"
LC11	"EP2\L_Capipu_skill2_effect2.ewz"
LC15	"EP2\L_Ekidra_skill1_effect1.ewz"
LC16	"EP2\L_Ekidra_skill1_effect2.ewz"
LC20	"EP2\L_Ekidra_skill2_effect1.ewz"
LC25	"EP2\L_Ekidra_skill3_effect1.ewz"
End
