start
LC26	"EP2\L_Ekidra_skill3_effect2.ewz"
LC30	"EP2\L_RedBee_Leader_skill1_effect1.ewz"
LC31	"EP2\L_RedBee_Leader_skill2_effect1.ewz"
LC35	"EP2\L_RedBee_Boss_skill1_effect1.ewz"
LC36	"EP2\L_RedBee_Boss_skill1_effect2.ewz"
LC37	"EP2\L_RedBee_Boss_skill1_effect3.ewz"
LC40	"EP2\L_RedBee_Boss_skill2_effect1.ewz"
LC41	"EP2\L_RedBee_Boss_skill2_effect2.ewz"
LC42	"EP2\L_RedBee_Boss_skill2_effect3.ewz"
J770	"EP2\J_New_KalbusAcc_ber_effect1.ewz"
J775	"EP2\J_New_KalbusAcc_dra_effect1.ewz"
J785	"EP2\J_New_KalbusAcc_val_effect1.ewz"
J790	"EP2\J_New_KalbusAcc_ele_effect1.ewz"
LB56	"EP2\L_scroop_lucky_effect1.ewz"
LC45	"EP2\K_ManeWizard_skill1_effect1.ewz"
LC50	"EP2\K_ManeWizard_skill2_effect1.ewz"
LC51	"EP2\K_ManeWizard_skill2_effect2.ewz"
A806	"EP2\A_Rudolph_effect1.ewz"
A807	"EP2\A_Rudolph_effect2.ewz"
LC55	"EP2\K_Zombie_skill1_effect1.ewz"
LC56	"EP2\K_Zombie_skill1_effect2.ewz"
LC57	"EP2\K_Zombie_skill1_effect3.ewz"
LC58	"EP2\K_Zombie_skill1_effect4.ewz"
LC60	"EP2\K_Zombie_skill2_effect1.ewz"
LC61	"EP2\K_Zombie_skill2_effect2.ewz"
J800	"EP2\J_coustme_Ber_weapon1_effect1.ewz"
J805	"EP2\J_coustme_Ber_weapon2_effect1.ewz"
J810	"EP2\J_coustme_Drg_weapon1_effect1.ewz"
J815	"EP2\J_coustme_Drg_weapon2_effect1.ewz"
J820	"EP2\J_coustme_Sha_weapon1_effect1.ewz"
J825	"EP2\J_coustme_Sha_weapon2_effect1.ewz"
J826	"EP2\J_coustme_Sha_weapon2_effect2.ewz"
J830	"EP2\J_coustme_Val_weapon1_effect1.ewz"
J835	"EP2\J_coustme_Val_weapon2_effect1.ewz"
J840	"EP2\J_coustme_ele_weapon1_effect1.ewz"
J845	"EP2\J_coustme_ele_weapon2_effect1.ewz"
LC65	"EP2\K_Wasp_skill1_effect1.ewz"
LC66	"EP2\K_Wasp_skill1_effect2.ewz"
LC67	"EP2\K_Wasp_skill1_effect3.ewz"
LC85	"EP2\K_RedBilledTribe_Hunter_skill1_effect1.ewz"
LC86	"EP2\K_RedBilledTribe_Hunter_skill1_effect2.ewz"
LC87	"EP2\K_RedBilledTribe_Hunter_skill1_effect3.ewz"
LC95	"EP2\K_RedBilledTribe_Inspertor_skill1_effect1.ewz"
LD00	"EP2\K_RedBilledTribe_Inspertor_skill2_effect1.ewz"
LD01	"EP2\K_RedBilledTribe_Inspertor_skill2_effect2.ewz"
LD02	"EP2\K_RedBilledTribe_Inspertor_skill2_effect3.ewz"
LD03	"EP2\K_RedBilledTribe_Inspertor_skill2_effect4.ewz"
LD04	"EP2\K_RedBilledTribe_Inspertor_skill2_effect5.ewz"
LC75	"EP2\K_ForestGuardian_skill1_effect1.ewz"
LC80	"EP2\K_ForestGuardian_skill2_effect1.ewz"
LC81	"EP2\K_ForestGuardian_skill2_effect2.ewz"
LC82	"EP2\K_ForestGuardian_skill2_effect3.ewz"
LD05	"EP2\K_MonsterFaint_effect1.ewz"
J850	"EP2\J_costume_ch_Ber_weapon1_effect1.ewz"
J855	"EP2\J_costume_ch_Ber_weapon2_effect1.ewz"
J860	"EP2\J_costume_ch_Drg_weapon1_effect1.ewz"
J865	"EP2\J_costume_ch_Drg_weapon2_effect1.ewz"
J870	"EP2\J_costume_ch_Sha_weapon1_effect1.ewz"
J875	"EP2\J_costume_ch_Sha_weapon2_effect1.ewz"
J876	"EP2\J_costume_ch_Sha_weapon2_effect2.ewz"
End
