start
J880	"EP2\J_costume_ch_Val_weapon1_effect1.ewz"
J885	"EP2\J_costume_ch_Val_weapon2_effect1.ewz"
J890	"EP2\J_costume_ch_ele_weapon1_effect1.ewz"
J895	"EP2\J_costume_ch_ele_weapon2_effect1.ewz"
LD12	"EP2\L_Crystal_of_destruction_skill1_effect3.ewz"
LD15	"EP2\L_Crystal_of_destruction_skill2_effect1.ewz"
LD20	"EP2\L_Deathworm_skill1_effect1.ewz"
LD21	"EP2\L_Deathworm_skill1_effect2.ewz"
LD22	"EP2\L_Deathworm_skill1_effect3.ewz"
LD25	"EP2\L_Deathworm_skill2_effect1.ewz"
LD26	"EP2\L_Deathworm_skill2_effect2.ewz"
LD27	"EP2\L_Deathworm_skill2_effect3.ewz"
LD30	"EP2\L_Mandrake_skill1_effect1.ewz"
LD31	"EP2\L_Mandrake_skill1_effect2.ewz"
LD32	"EP2\L_Mandrake_skill1_effect3.ewz"
LD36	"EP2\L_Mandrake_skill2_effect2.ewz"
LD37	"EP2\L_Mandrake_skill2_effect3.ewz"
K985	"K_Berserker_skill_staminaUP_effect1.ewz"
K990	"K_Berserker_skill_hpMax_effect1.ewz"
K995	"K_Berserker_skill_SpRecharge_effect1.ewz"
K996	"K_Berserker_skill_SpRecharge_effect2.ewz"
KA00	"K_Dragon_skill_strikingPower_effect1.ewz"
KA05	"K_Dragon_skill_agilityUP_ChargeAttack_effect1.ewz"
KA10	"K_Valkyrie_skill_defensivePower_effect1.ewz"
KA15	"K_Valkyrie_skill_intelligentUP_effect1.ewz"
KA20	"K_Elemental_skill_movement_effect1.ewz"
KA25	"K_Elemental_skill_strengthUP_effect1.ewz"
KA30	"K_Shadow_skill_speed_of_Attack_effect1.ewz"
KA35	"K_Shadow_skill_willpowerUP_effect1.ewz"
A816	"EP2\A_Proof_of_the_king_efffect1.ewz"
A817	"EP2\A_Proof_of_the_king_efffect2.ewz"
A818	"EP2\A_Proof_of_the_king_efffect3.ewz"
A819	"EP2\A_Proof_of_the_king_efffect4.ewz"
A820	"EP2\A_Proof_of_the_king_efffect5.ewz"
A821	"EP2\A_Siege_weapons1_effect1.ewz"
A822	"EP2\A_Siege_weapons1_effect2.ewz"
A823	"EP2\A_Siege_weapons1_effect3.ewz"
A824	"EP2\A_Siege_weapons1_effect4.ewz"
A826	"EP2\A_Siege_weapons2_effect1.ewz"
A827	"EP2\A_Siege_weapons2_effect2.ewz"
A828	"EP2\A_Siege_weapons2_effect3.ewz"
A829	"EP2\A_Siege_weapons2_effect4.ewz"
KA40	"K_Berserker_skill_SpRecovery_effect1.ewz"
KA01	"K_Dragon_skill_strikingPower_effect2.ewz"
KA06	"K_Dragon_skill_agilityUP_ChargeAttack_effect2.ewz"
LD40	"EP2\L_Scoparius_skill1_effect1.ewz"
LD41	"EP2\L_Scoparius_skill1_effect2.ewz"
LD45	"EP2\L_Scoparius_skill2_effect1.ewz"
KB35	"K_Mio_skill_EnergyBolt_effect1.ewz"
KB36	"K_Mio_skill_EnergyBolt_effect2.ewz"
KB40	"K_Mio_skill_FlameBurst_effect1.ewz"
KB41	"K_Mio_skill_FlameBurst_effect2.ewz"
KB45	"K_Mio_skill_ManaRecovery_effect1.ewz"
KB50	"K_Mio_skill_FrostRain_effect1.ewz"
KB55	"K_Mio_skill_Inferno_effect1.ewz"
KB56	"K_Mio_skill_Inferno_effect2.ewz"
KB57	"K_Mio_skill_Inferno_effect3.ewz"
KB60	"K_Mio_skill_Tornado_effect1.ewz"
KB65	"K_Mio_skill_Ignition_effect1.ewz"
KB70	"K_Mio_skill_WildFang_effect1.ewz"
End
