start
KB71	"K_Mio_skill_WildFang_effect2.ewz"
KB72	"K_Mio_skill_WildFang_effect3.ewz"
KB73	"K_Mio_skill_WildFang_effect4.ewz"
//KB75	"K_Mio_skill_DBuff1_effect1.ewz"
//KB80	"K_Mio_skill_ThunderCloud_effect1.ewz"
KB81	"K_Mio_skill_ThunderCloud_effect2.ewz"
KB85	"K_Mio_skill_Volcano_effect1.ewz"
KB90	"K_Mio_skill_DarkOfLight_effect1.ewz"
KB91	"K_Mio_skill_DarkOfLight_effect2.ewz"
KB95	"K_Mio_skill_Gravity_effect1.ewz"
KC00	"K_Mio_skill_Meteor_effect1.ewz"
KC05	"K_Mio_skill_Polymorph_effect1.ewz"
KC06	"K_Mio_skill_Polymorph_effect2.ewz"
KC10	"K_Mio_skill_PhoenixBurst_effect1.ewz"
KC11	"K_Mio_skill_PhoenixBurst_effect2.ewz"
KC12	"K_Mio_skill_PhoenixBurst_effect3.ewz"
KC13	"K_Mio_skill_PhoenixBurst_effect4.ewz"
KC14	"K_Mio_skill_PhoenixBurst_effect5.ewz"
KC16	"K_Mio_skill_PhoenixBurst_effect6.ewz"
//KC15	"K_Mio_skill_DBuff2_effect1.ewz"
KA45	"K_Mio_skill_Smash_effect1.ewz"
KA46	"K_Mio_skill_Smash_effect2.ewz"
KA47	"K_Mio_skill_Smash_effect3.ewz"
KA50	"K_Mio_skill_LegLock_effect1.ewz"
KA51	"K_Mio_skill_LegLock_effect2.ewz"
KA55	"K_Mio_skill_FlameClaw_effect1.ewz"
//KA60	"K_Mio_skill_FlyingBee_effect1.ewz"
KA61	"K_Mio_skill_FlyingBee_effect2.ewz"
//KA62	"K_Mio_skill_FlyingBee_effect3.ewz"
KA65	"K_Mio_skill_RisingSerpent_effect1.ewz"
KA66	"K_Mio_skill_RisingSerpent_effect2.ewz"
KA67	"K_Mio_skill_RisingSerpent_effect3.ewz"
KA68	"K_Mio_skill_RisingSerpent_effect4.ewz"
KA70	"K_Mio_skill_Slip_effect1.ewz"
KA71	"K_Mio_skill_Slip_effect2.ewz"
KA72	"K_Mio_skill_Slip_effect3.ewz"
KA75	"K_Mio_skill_SnakeKick_effect1.ewz"
KA80	"K_Mio_skill_Leap_effect1.ewz"
KA85	"K_Mio_skill_TempestBlow_effect1.ewz"
KA86	"K_Mio_skill_TempestBlow_effect2.ewz"
KA90	"K_Mio_skill_WBuff1_effect1.ewz"
KA95	"K_Mio_skill_Crevice_effect1.ewz"
KA96	"K_Mio_skill_Crevice_effect2.ewz"
KB00	"K_Mio_skill_StompingHoof_effect1.ewz"
KB01	"K_Mio_skill_StompingHoof_effect2.ewz"
KB02	"K_Mio_skill_StompingHoof_effect3.ewz"
KB05	"K_Mio_skill_WildEyes_effect1.ewz"
KB10	"K_Mio_skill_FatalPoint_effect1.ewz"
KB11	"K_Mio_skill_FatalPoint_effect2.ewz"
KB15	"K_Mio_skill_Maelstorm_effect1.ewz"
KB16	"K_Mio_skill_Maelstorm_effect2.ewz"
KB17	"K_Mio_skill_Maelstorm_effect3.ewz"
KB20	"K_Mio_skill_MistDance_effect1.ewz"
KB21	"K_Mio_skill_MistDance_effect2.ewz"
KB22	"K_Mio_skill_MistDance_effect3.ewz"
KB30	"K_Mio_skill_WBuff2_effect1.ewz"
KB25	"K_Mio_skill_Awaken_effect1.ewz"
KC20	"K_Mio_skill_WildCrash_effect1.ewz"
KC21	"K_Mio_skill_WildCrash_effect2.ewz"
KC22	"K_Mio_skill_WildCrash_effect3.ewz"
End
