start
KC23	"K_Mio_skill_WildCrash_effect4.ewz"
KC24	"K_Mio_skill_WildCrash_effect5.ewz"
A846	"EP2\A_Black_BuzziDragon_effect1.ewz"
A847	"EP2\A_Black_BuzziDragon_effect2.ewz"
A851	"A_Elite_Mio_set1_effect1.ewz"
A852	"A_Elite_Mio_set1_effect2.ewz"
A853	"A_Elite_Mio_set1_effect3.ewz"
A856	"A_Elite_Mio_set2_effect1.ewz"
A857	"A_Elite_Mio_set2_effect2.ewz"
A858	"A_Elite_Mio_set2_effect3.ewz"
A861	"M_EliteSet2_5_ber_effect1.ewz"
A862	"M_EliteSet2_5_ber_effect2.ewz"
A863	"M_EliteSet2_5_ber_effect3.ewz"
A866	"M_EliteSet2_5_dra_effect1.ewz"
A867	"M_EliteSet2_5_dra_effect2.ewz"
A868	"M_EliteSet2_5_dra_effect3.ewz"
A871	"M_EliteSet2_5_sha_effect1.ewz"
A872	"M_EliteSet2_5_sha_effect2.ewz"
A873	"M_EliteSet2_5_sha_effect3.ewz"
A876	"M_EliteSet2_5_val_effect1.ewz"
A877	"M_EliteSet2_5_val_effect2.ewz"
A878	"M_EliteSet2_5_val_effect3.ewz"
A881	"M_EliteSet2_5_ele_effect1.ewz"
A882	"M_EliteSet2_5_ele_effect2.ewz"
A886	"A_Elite_Mio_set2_5_effect1.ewz"
A887	"A_Elite_Mio_set2_5_effect2.ewz"
A888	"A_Elite_Mio_set2_5_effect3.ewz"
J900	"EP2\J_SpecialAcc80_Mio_effect1.ewz"
J901	"EP2\J_SpecialAcc80_Mio_effect2.ewz"
J902	"EP2\J_SpecialAcc80_Mio_effect3.ewz"
J903	"EP2\J_SpecialAcc80_Mio_effect4.ewz"
J904	"EP2\J_SpecialAcc80_Mio_effect5.ewz"
J905	"EP2\J_SpecialAcc100_Mio_effect1.ewz"
J910	"EP2\J_New_KalbusAcc_Mio_effect1.ewz"
E325	"E_Metal_Bullet_Loading_effect_9.ewz"
E326	"E_Metal_Bullet_Loading_effect_9_2.ewz"
E327	"E_Metal_Bullet_Loading_effect_9_3.ewz"
E328	"E_Metal_Bullet_Loading_effect_10.ewz"
E329	"E_Metal_Bullet_Loading_effect_10_2.ewz"
E330	"E_Metal_Bullet_Loading_effect_10_3.ewz"
E331	"E_Ether_Magic_Bullet_Loading_effect_9_2.ewz"
E332	"E_Ether_Magic_Bullet_Loading_effect_10_2.ewz"
E333	"E_Magic_Bullet_Loading_effect_9_2.ewz"
E334	"E_Magic_Bullet_Loading_effect_10_2.ewz"
J915	"EP2\J_Unique_Weapon_Mio_effect1.ewz"
J916	"EP2\J_Unique_Weapon_Mio_effect2.ewz"
I760	"EP2\I_Ancients_Refuge_elevator_effect1.ewz"
I761	"EP2\I_Ancients_Refuge_elevator_effect2.ewz"
I762	"EP2\I_Ancients_Refuge_elevator_effect3.ewz"
I766	"EP2\I_Ancients_Refuge_BossZone_wind_effect2.ewz"
I771	"EP2\I_Ancients_Refuge_BossZone_fire_effect2.ewz"
I776	"EP2\I_Ancients_Refuge_BossZone_water_effect2.ewz"
I781	"EP2\I_Ancients_Refuge_BossZone_earth_effect2.ewz"
I785	"EP2\I_Ancients_Refuge_BossStatue_effect1.ewz"
I786	"EP2\I_Ancients_Refuge_BossStatue_effect2.ewz"
I787	"EP2\I_Ancients_Refuge_BossStatue_effect3.ewz"
A906	"EP2\A_SandyDust_effect1.ewz"
A907	"EP2\A_SandyDust_effect2.ewz"
A908	"EP2\A_SandyDust_effect3.ewz"
A909	"EP2\A_SandyDust_effect4.ewz"
End
