start
A910	"EP2\A_SandyDust_effect5.ewz"
LD50	"EP2\L_StormGuardian_skill1_effect1.ewz"
LD51	"EP2\L_StormGuardian_skill1_effect2.ewz"
LD52	"EP2\L_StormGuardian_skill1_effect3.ewz"
LD53	"EP2\L_StormGuardian_skill1_effect4.ewz"
LD54	"EP2\L_StormGuardian_skill1_effect5.ewz"
LD57	"EP2\L_StormGuardian_skill1_effect6.ewz"
LD55	"EP2\L_StormGuardian_skill2_effect1.ewz"
LD56	"EP2\L_StormGuardian_skill2_effect2.ewz"
LD60	"EP2\L_StormGuardian_skill3_effect1.ewz"
LD61	"EP2\L_StormGuardian_skill3_effect2.ewz"
LD65	"EP2\L_SiegeGuardian_skill1_effect1.ewz"
LD66	"EP2\L_SiegeGuardian_skill1_effect2.ewz"
LD70	"EP2\L_SiegeGuardian_skill2_effect1.ewz"
LD71	"EP2\L_SiegeGuardian_skill2_effect2.ewz"
LD72	"EP2\L_SiegeGuardian_skill2_effect3.ewz"
LD95	"EP2\L_IronMaceScorpion_skill1_effect1.ewz"
LD96	"EP2\L_IronMaceScorpion_skill1_effect2.ewz"
LE00	"EP2\L_IronMaceScorpion_skill2_effect1.ewz"
LE01	"EP2\L_IronMaceScorpion_skill2_effect2.ewz"
LD75	"EP2\L_IceChelone_skill1_effect1.ewz"
LD80	"EP2\L_IceChelone_skill2_effect1.ewz"
LD85	"EP2\L_IcePig_skill1_effect1.ewz"
LD86	"EP2\L_IcePig_skill1_effect2.ewz"
LD90	"EP2\L_IcePig_skill2_effect1.ewz"
I790	"EP2\I_Ancients_Refuge_Desert_DustDevil_effect1.ewz"
I795	"EP2\I_Ancients_Refuge_Ice_snowstorm_effect1.ewz"
I800	"EP2\I_Ancients_Refuge_Boss_MagicSquare_effect1.ewz"
I801	"EP2\I_Ancients_Refuge_Boss_MagicSquare_effect2.ewz"
I802	"EP2\I_Ancients_Refuge_Boss_MagicSquare_effect3.ewz"
I803	"EP2\I_Ancients_Refuge_Boss_MagicSquare_effect4.ewz"
I804	"EP2\I_Ancients_Refuge_Boss_MagicSquare_effect5.ewz"
I805	"EP2\I_Ancients_Refuge_Nature_Icicle_effect1.ewz"
I810	"EP2\I_Ancients_Refuge_Nature_Toadstool_effect1.ewz"
I811	"EP2\I_Ancients_Refuge_Nature_Toadstool_effect2.ewz"
I812	"EP2\I_Ancients_Refuge_Nature_Toadstool_effect3.ewz"
I815	"EP2\I_Ancients_Refuge_Boss_MagicSquare_effect6.ewz"
I816	"EP2\I_Ancients_Refuge_Boss_MagicSquare_effect7.ewz"
I817	"EP2\I_Ancients_Refuge_Boss_MagicSquare_effect8.ewz"
I818	"EP2\I_Ancients_Refuge_Boss_MagicSquare_effect9.ewz"
I819	"EP2\I_Ancients_Refuge_Boss_MagicSquare_effect10.ewz"
I442	"I_Berserk_thorns_skin_effect_3.ewz"
J468	"J_Valkyrie_death3_Destroyer_Effect_1.ewz"
I830	"EP2\I_Chamber_of_Secrets_Rock_effect1.ewz"
I831	"EP2\I_Chamber_of_Secrets_Rock_effect2.ewz"
I832	"EP2\I_Chamber_of_Secrets_Rock_effect3.ewz"
I833	"EP2\I_Chamber_of_Secrets_Rock_effect4.ewz"
I834	"EP2\I_Chamber_of_Secrets_Rock_effect5.ewz"
I827	"EP2\I_Chamber_of_Secrets_Rock_effect6.ewz"
I828	"EP2\I_Chamber_of_Secrets_Rock_effect7.ewz"
I850	"EP2\I_Chamber_of_Secrets_Boss1_effect1.ewz"
I851	"EP2\I_Chamber_of_Secrets_Boss1_effect2.ewz"
I852	"EP2\I_Chamber_of_Secrets_Boss1_effect3.ewz"
I853	"EP2\I_Chamber_of_Secrets_Boss1_effect4.ewz"
I855	"EP2\I_Chamber_of_Secrets_Boss1_effect6.ewz"
I860	"EP2\I_Chamber_of_Secrets_ForeMan_effect1.ewz"
I861	"EP2\I_Chamber_of_Secrets_ForeMan_effect2.ewz"
I862	"EP2\I_Chamber_of_Secrets_ForeMan_effect3.ewz"
I829	"EP2\I_Chamber_of_Secrets_Machine_effect6.ewz"
L875	"L_SWRZ_Idle_effect4.ewz"
End
