start
L876	"L_SWRZ_Idle_effect5.ewz"
L886	"L_SWRZ_Idle_effect6.ewz"
L890	"L_SWRZ_Idle_effect7.ewz"
A941	"A_Elite3_ber_set1_effect1.ewz"
A946	"A_Elite3_ber_set2_effect1.ewz"
A951	"A_Elite3_dra_set1_effect1.ewz"
A956	"A_Elite3_dra_set2_effect1.ewz"
A961	"A_Elite3_sha_set1_effect1.ewz"
A966	"A_Elite3_sha_set2_effect1.ewz"
A971	"A_Elite3_val_set1_effect1.ewz"
A976	"A_Elite3_val_set2_effect1.ewz"
A981	"A_Elite3_ele_set1_effect1.ewz"
A986	"A_Elite3_ele_set2_effect1.ewz"
A991	"A_Elite3_Mio_set1_effect1.ewz"
A996	"A_Elite3_Mio_set2_effect1.ewz"
H561	"H_Dragon_rapid_attack_effect_2.ewz"
J920	"EP2\A_Elite3_Ver_Weapon1_effect1.ewz"
J925	"EP2\A_Elite3_Ver_Weapon2_effect1.ewz"
J930	"EP2\A_Elite3_Drg_Weapon1_effect1.ewz"
J935	"EP2\A_Elite3_Drg_Weapon2_effect1.ewz"
J940	"EP2\A_Elite3_Sha_Weapon1_effect1.ewz"
J945	"EP2\A_Elite3_Sha_Weapon2_effect1.ewz"
J946	"EP2\A_Elite3_Sha_Weapon2_effect2.ewz"
J950	"EP2\A_Elite3_Val_Weapon1_effect1.ewz"
J955	"EP2\A_Elite3_Val_Weapon2_effect1.ewz"
J960	"EP2\A_Elite3_Ele_Weapon1_effect1.ewz"
J965	"EP2\A_Elite3_Ele_Weapon2_effect1.ewz"
J970	"EP2\A_Elite3_Mys_Weapon1_effect1.ewz"
J975	"EP2\A_Elite3_Mys_Weapon2_effect1.ewz"
LE05	"EP2\L_DarkWizard_effect1.ewz"
LE06	"EP2\L_DarkWizard_effect2.ewz"
LE07	"EP2\L_DarkWizard_effect3.ewz"
KC25	"EP2\K_Helroid_skill_BlasterPuch_effect1.ewz"
KC26	"EP2\K_Helroid_skill_BlasterPuch_effect2.ewz"
KC30	"EP2\K_Helroid_skill_CrashArm_effect1.ewz"
KC31	"EP2\K_Helroid_skill_CrashArm_effect2.ewz"
KC35	"EP2\K_Helroid_skill_Repair_effect1.ewz"
KC36	"EP2\K_Helroid_skill_Repair_effect2.ewz"
KC40	"EP2\K_Helroid_skill_DropKick_effect1.ewz"
KC45	"EP2\K_Helroid_skill_OffenceAura1_effect1.ewz"
KC50	"EP2\K_Helroid_skill_DrillAttack_effect1.ewz"
KC51	"EP2\K_Helroid_skill_DrillAttack_effect2.ewz"
KC55	"EP2\K_Helroid_skill_OffenceAura2_effect1.ewz"
KC60	"EP2\K_Helroid_skill_SpinBlow_effect1.ewz"
KC61	"EP2\K_Helroid_skill_SpinBlow_effect2.ewz"
KC62	"EP2\K_Helroid_skill_SpinBlow_effect3.ewz"
KC65	"EP2\K_Helroid_skill_FlyingCharging_effect1.ewz"
KC70	"EP2\K_Helroid_skill_BlasterShock_effect1.ewz"
KC75	"EP2\K_Helroid_skill_HeartBreak_effect1.ewz"
KC80	"EP2\K_Helroid_skill_OffenceAura3_effect1.ewz"
KC85	"EP2\K_Helroid_skill_PositionChange_effect1.ewz"
KC90	"EP2\K_Helroid_skill_OffenceAura4_effect1.ewz"
KC95	"EP2\K_Helroid_skill_InvaderMode_effect1.ewz"
KD00	"EP2\K_Helroid_skill_HelroidSpin_effect1.ewz"
KD05	"EP2\K_Helroid_skill_Headbutt_effect1.ewz"
KD10	"EP2\K_Helroid_skill_EtherCharging_effect1.ewz"
KD11	"EP2\K_Helroid_skill_EtherCharging_effect2.ewz"
KD12	"EP2\K_Helroid_skill_EtherCharging_effect3.ewz"
KD13	"EP2\K_Helroid_skill_EtherCharging_effect4.ewz"
KD15	"EP2\K_Helroid_skill_RowBlow_effect1.ewz"
End
