start
KD16	"EP2\K_Helroid_skill_RowBlow_effect2.ewz"
KD20	"EP2\K_Helroid_skill_StraightPunch_effect1.ewz"
KD21	"EP2\K_Helroid_skill_StraightPunch_effect2.ewz"
KD22	"EP2\K_Helroid_skill_StraightPunch_effect3.ewz"
KD25	"EP2\K_Helroid_skill_SupportAura1_effect1.ewz"
KD30	"EP2\K_Helroid_skill_Revive_effect1.ewz"
KD35	"EP2\K_Helroid_skill_SupportAura2_effect1.ewz"
KD40	"EP2\K_Helroid_skill_BlasterBoom1_effect1.ewz"
KD41	"EP2\K_Helroid_skill_BlasterBoom1_effect2.ewz"
KD42	"EP2\K_Helroid_skill_BlasterBoom1_effect3.ewz"
KD43	"EP2\K_Helroid_skill_BlasterBoom1_effect4.ewz"
KD44	"EP2\K_Helroid_skill_BlasterBoom1_effect5.ewz"
KD45	"EP2\K_Helroid_skill_BlasterBoom1_effect6.ewz"
KD46	"EP2\K_Helroid_skill_BlasterBoom1_effect7.ewz"
KD47	"EP2\K_Helroid_skill_BlasterBoom1_effect8.ewz"
KD50	"EP2\K_Helroid_skill_BlasterFire_effect1.ewz"
KD55	"EP2\K_Helroid_skill_HelroidBeam_effect1.ewz"
KD60	"EP2\K_Helroid_skill_SupportAura3_effect1.ewz"
KD65	"EP2\K_Helroid_skill_EtherBarrier_effect1.ewz"
KD66	"EP2\K_Helroid_skill_EtherBarrier_effect2.ewz"
KD70	"EP2\K_Helroid_skill_SupportAura4_effect1.ewz"
KD75	"EP2\K_Helroid_skill_GurdianMode_effect1.ewz"
KD76	"EP2\K_Helroid_skill_GurdianMode_effect2.ewz"
KD77	"EP2\K_Helroid_skill_GurdianMode_effect3.ewz"
KD78	"EP2\K_Helroid_skill_GurdianMode_effect4.ewz"
KD80	"EP2\K_Helroid_skill_BreakEarth_effect1.ewz"
KD81	"EP2\K_Helroid_skill_BreakEarth_effect2.ewz"
KD82	"EP2\K_Helroid_skill_BreakEarth_effect3.ewz"
KD85	"EP2\K_Helroid_skill_SlidingAttack_effect1.ewz"
KD86	"EP2\K_Helroid_skill_SlidingAttack_effect2.ewz"
JA15	"EP2\J_Unique2_Weapon1_Dra_effect1.ewz"
J985	"EP2\J_Unique2_Weapon1_Mys_effect1.ewz"
J990	"EP2\J_Unique2_Weapon2_Mys_effect1.ewz"
J995	"EP2\J_Unique2_Weapon1_Sha_effect1.ewz"
JA00	"EP2\J_Unique2_Weapon2_Sha_effect1.ewz"
JA01	"EP2\J_Unique2_Weapon2_Sha_effect2.ewz"
JA05	"EP2\J_Unique2_Weapon1_Ele_effect1.ewz"
JA10	"EP2\J_Unique2_Weapon2_Ele_effect1.ewz"
M380	"EP2\M_EliteSet3_hel_effect1.ewz"
M381	"EP2\M_EliteSet3_hel_effect2.ewz"
JA20	"EP2\J_Elite3_Hel_Weapon1_effect1.ewz"
M360	"EP2\M_EliteSet1_hel_effect1.ewz"
M370	"EP2\M_EliteSet2_hel_effect1.ewz"
M371	"EP2\M_EliteSet2_hel_effect2.ewz"
M372	"EP2\M_EliteSet2_hel_effect3.ewz"
M365	"EP2\M_EliteSet1_5_hel_effect1.ewz"
M366	"EP2\M_EliteSet1_5_hel_effect2.ewz"
M367	"EP2\M_EliteSet1_5_hel_effect3.ewz"
M375	"EP2\M_EliteSet2_5_hel_effect1.ewz"
M376	"EP2\M_EliteSet2_5_hel_effect2.ewz"
M377	"EP2\M_EliteSet2_5_hel_effect3.ewz"
JA25	"EP2\J_Unique1_Weapon1_Hel_effect1.ewz"
JA30	"EP2\J_Unique2_Weapon1_Hel_effect1.ewz"
I865	"EP2\I_OldEsmara_redCrystal_effect1.ewz"
I866	"EP2\I_OldEsmara_redCrystal_effect2.ewz"
I870	"EP2\I_OldEsmara_SealStoene_effect1.ewz"
I871	"EP2\I_OldEsmara_SealStoene_effect2.ewz"
I875	"EP2\I_OldEsmara_attention_effect1.ewz"
I876	"EP2\I_OldEsmara_attention_effect2.ewz"
I877	"EP2\I_OldEsmara_attention_effect3.ewz"
End
