start
I878	"EP2\I_OldEsmara_attention_effect4.ewz"
I879	"EP2\I_OldEsmara_attention_effect5.ewz"
I880	"EP2\I_OldEsmara_ring_effect1.ewz"
I881	"EP2\I_OldEsmara_ring_effect2.ewz"
I882	"EP2\I_OldEsmara_ring_effect3.ewz"
I883	"EP2\I_OldEsmara_ring_effect4.ewz"
I884	"EP2\I_OldEsmara_ring_effect5.ewz"
LE20	"EP2\L_Horock_skill1_effect1.ewz"
LE25	"EP2\L_Horock_skill2_effect1.ewz"
LE26	"EP2\L_Horock_skill2_effect2.ewz"
LE30	"EP2\L_Kyle_skill1_effect1.ewz"
LE35	"EP2\L_Kyle_skill2_effect1.ewz"
LE36	"EP2\L_Kyle_skill2_effect2.ewz"
LE37	"EP2\L_Kyle_skill2_effect3.ewz"
LE40	"EP2\L_Kyle_skill3_effect1.ewz"
LE41	"EP2\L_Kyle_skill3_effect2.ewz"
LE10	"EP2\L_Kaneji_skill1_effect1.ewz"
LE15	"EP2\L_Kaneji_skill2_effect1.ewz"
LE16	"EP2\L_Kaneji_skill2_effect2.ewz"
LE17	"EP2\L_Kaneji_skill2_effect3.ewz"
LE18	"EP2\L_Kaneji_skill2_effect4.ewz"
JA31	"EP2\J_ultimate_Weapon1_Hel_effect1.ewz"
JA32	"EP2\J_ultimate_Weapon1_mys_effect1.ewz"
JA33	"EP2\J_ultimate_Weapon2_mys_effect1.ewz"
LE55	"EP2\L_ChuckAnchor_skill1_effect1.ewz"
LE56	"EP2\L_ChuckAnchor_skill1_effect2.ewz"
LE57	"EP2\L_ChuckAnchor_skill1_effect3.ewz"
LE60	"EP2\L_ChuckAnchor_skill2_effect1.ewz"
LE65	"EP2\L_Lapontif_skill1_effect1.ewz"
LE66	"EP2\L_Lapontif_skill1_effect2.ewz"
LE67	"EP2\L_Lapontif_skill1_effect3.ewz"
LE70	"EP2\L_Lapontif_skill2_effect1.ewz"
LE75	"EP2\L_Lapontif_skill3_effect1.ewz"
LE76	"EP2\L_Lapontif_skill3_effect2.ewz"
G028	"EP2\J_Weapon1_mys_effect_J10.ewz"
G029	"EP2\J_Weapon2_mys_effect_J10.ewz"
G030	"EP2\J_Weapon1_Hel_effect_J10.ewz"
AA15	"EP2\A_Npc_Elite2set_ber_effect1.ewz"
AA16	"EP2\A_Npc_Elite2set_ber_effect2.ewz"
AA20	"EP2\A_Npc_Elite3set_ber_effect1.ewz"
AA21	"EP2\A_Npc_Elite3set_ber_effect2.ewz"
AA25	"EP2\A_Npc_Elite2set_dra_effect1.ewz"
AA26	"EP2\A_Npc_Elite2set_dra_effect2.ewz"
AA30	"EP2\A_Npc_Elite3set_dra_effect1.ewz"
AA31	"EP2\A_Npc_Elite3set_dra_effect2.ewz"
AA32	"EP2\A_Npc_Elite3set_dra_effect3.ewz"
AA35	"EP2\A_Npc_Elite2set_sha_effect1.ewz"
AA36	"EP2\A_Npc_Elite2set_sha_effect2.ewz"
AA37	"EP2\A_Npc_Elite2set_sha_effect3.ewz"
AA40	"EP2\A_Npc_Elite3set_sha_effect1.ewz"
AA41	"EP2\A_Npc_Elite3set_sha_effect2.ewz"
AA45	"EP2\A_Npc_Elite2set_val_effect1.ewz"
AA46	"EP2\A_Npc_Elite2set_val_effect2.ewz"
AA47	"EP2\A_Npc_Elite2set_val_effect3.ewz"
AA50	"EP2\A_Npc_Elite3set_val_effect1.ewz"
AA51	"EP2\A_Npc_Elite3set_val_effect2.ewz"
AA55	"EP2\A_Npc_Elite2set_ele_effect1.ewz"
AA60	"EP2\A_Npc_Elite3set_ele_effect1.ewz"
AA61	"EP2\A_Npc_Elite3set_ele_effect2.ewz"
AA62	"EP2\A_Npc_Elite3set_ele_effect3.ewz"
End
