start
AA65	"EP2\A_Npc_Elite2set_mio_effect1.ewz"
AA66	"EP2\A_Npc_Elite2set_mio_effect2.ewz"
AA70	"EP2\A_Npc_Elite3set_mio_effect1.ewz"
AA71	"EP2\A_Npc_Elite3set_mio_effect2.ewz"
AA75	"EP2\A_Npc_Elite2set_hel_effect1.ewz"
AA76	"EP2\A_Npc_Elite2set_hel_effect2.ewz"
AA77	"EP2\A_Npc_Elite2set_hel_effect3.ewz"
AA80	"EP2\A_Npc_Elite3set_hel_effect1.ewz"
AA81	"EP2\A_Npc_Elite3set_hel_effect2.ewz"
H562	"H_Dragon_rapid_attack_effect_3.ewz"
JA35	"EP2\J_Japan_Weapon1_Mio_effect1.ewz"
JA36	"EP2\J_Japan_Weapon1_Mio_effect2.ewz"
JA40	"EP2\J_Japan_Weapon2_Mio_effect1.ewz"
JA41	"EP2\J_Japan_Weapon2_Mio_effect2.ewz"
JA45	"EP2\J_Japan_Weapon1_Hel_effect1.ewz"
JA46	"EP2\J_Japan_Weapon1_Hel_effect2.ewz"
AA85	"EP2\A_Map_50top_beam_effect1.ewz"
AA90	"EP2\A_Map_50top_SummonSquare1_effect1.ewz"
AA91	"EP2\A_Map_50top_SummonSquare1_effect2.ewz"
AA95	"EP2\A_Map_50top_SummonSquare2_effect1.ewz"
AA96	"EP2\A_Map_50top_SummonSquare2_effect2.ewz"
AB00	"EP2\A_Map_50top_SummonSquare3_effect1.ewz"
AB01	"EP2\A_Map_50top_SummonSquare3_effect2.ewz"
AB05	"EP2\A_Map_50top_SummonSquare4_effect1.ewz"
AB06	"EP2\A_Map_50top_SummonSquare4_effect2.ewz"
AB10	"EP2\A_Map_50top_SummonSquare5_effect1.ewz"
AB11	"EP2\A_Map_50top_SummonSquare5_effect2.ewz"
AB15	"EP2\A_Map_50top_SummonSquare6_effect1.ewz"
AB16	"EP2\A_Map_50top_SummonSquare6_effect2.ewz"
AB20	"EP2\A_Map_50top_SummonSquare7_effect1.ewz"
AB21	"EP2\A_Map_50top_SummonSquare7_effect2.ewz"
I905	"EP2\I_Map_208_CrashedAirship_effect1.ewz"
I906	"EP2\I_Map_208_CrashedAirship_effect2.ewz"
I910	"EP2\I_Map_208_EtherExtractor_effect1.ewz"
I911	"EP2\I_Map_208_EtherExtractor_effect2.ewz"
I912	"EP2\I_Map_208_EtherExtractor_effect3.ewz"
I915	"EP2\I_Map_208_Ballista_effect1.ewz"
I920	"EP2\I_Map_208_BallistaShield_effect1.ewz"
I921	"EP2\I_Map_208_BallistaShield_effect2.ewz"
I922	"EP2\I_Map_208_BallistaShield_effect3.ewz"
I923	"EP2\I_Map_208_BallistaShield_effect4.ewz"
I924	"EP2\I_Map_208_BallistaShield_effect5.ewz"
I925	"EP2\I_Map_208_BallistaShield_effect6.ewz"
I926	"EP2\I_Map_208_BallistaShield_effect7.ewz"
I927	"EP2\I_Map_208_BallistaShield_effect8.ewz"
I928	"EP2\I_Map_208_BallistaShield_effect9.ewz"
I929	"EP2\I_Map_208_BallistaShield_effect10.ewz"
I930	"EP2\I_Map_208_GoralBomb_effect1.ewz"
I931	"EP2\I_Map_208_GoralBomb_effect2.ewz"
I935	"EP2\I_Map_208_EtherCompressor_effect1.ewz"
I936	"EP2\I_Map_208_EtherCompressor_effect2.ewz"
I937	"EP2\I_Map_208_EtherCompressor_effect3.ewz"
I938	"EP2\I_Map_208_EtherCompressor_effect4.ewz"
I939	"EP2\I_Map_208_EtherCompressor_effect5.ewz"
I940	"EP2\I_Map_208_EtherCompressor_effect6.ewz"
I941	"EP2\I_Map_208_EtherCompressor_effect7.ewz"
I944	"EP2\I_Map_208_Windmill_effect1.ewz"
KD90	"EP2\K_WitchBlade_HorizonJack_effect1.ewz"
KD91	"EP2\K_WitchBlade_HorizonJack_effect2.ewz"
KD96	"EP2\K_WitchBlade_TurningKick_effect2.ewz"
End
