start
KD97	"EP2\K_WitchBlade_TurningKick_effect3.ewz"
KD98	"EP2\K_WitchBlade_TurningKick_effect4.ewz"
KE00	"EP2\K_WitchBlade_FeedonRage_effect1.ewz"
KE05	"EP2\K_WitchBlade_SpinTurnThrust_effect1.ewz"
KE06	"EP2\K_WitchBlade_SpinTurnThrust_effect2.ewz"
KE10	"EP2\K_WitchBlade_TwistFlapkick_effect1.ewz"
KE11	"EP2\K_WitchBlade_TwistFlapkick_effect2.ewz"
KE15	"EP2\K_WitchBlade_VioletCross_effect1.ewz"
KE20	"EP2\K_WitchBlade_NailScratch_effect1.ewz"
KE25	"EP2\K_WitchBlade_FairyBless_effect1.ewz"
KE30	"EP2\K_WitchBlade_DeadFall_effect1.ewz"
KE31	"EP2\K_WitchBlade_DeadFall_effect2.ewz"
KE35	"EP2\K_WitchBlade_DragonDance_effect1.ewz"
KE36	"EP2\K_WitchBlade_DragonDance_effect2.ewz"
KE40	"EP2\K_WitchBlade_SpinningHeart_effect1.ewz"
KE41	"EP2\K_WitchBlade_SpinningHeart_effect2.ewz"
KE45	"EP2\K_WitchBlade_ViceSword_effect1.ewz"
KE46	"EP2\K_WitchBlade_ViceSword_effect2.ewz"
KE50	"EP2\K_WitchBlade_Evade_effect1.ewz"
KE55	"EP2\K_WitchBlade_DarkFallenGrave_effect1.ewz"
KE56	"EP2\K_WitchBlade_DarkFallenGrave_effect2.ewz"
KE57	"EP2\K_WitchBlade_DarkFallenGrave_effect3.ewz"
KE60	"EP2\K_WitchBlade_FuryFormation_effect1.ewz"
KE61	"EP2\K_WitchBlade_FuryFormation_effect2.ewz"
KE65	"EP2\K_WitchBlade_RisingForce_effect1.ewz"
KE70	"EP2\K_WitchBlade_AngelBless_effect1.ewz"
KE75	"EP2\K_WitchBlade_SummonSkullJake_effect1.ewz"
KE76	"EP2\K_WitchBlade_SummonSkullJake_effect2.ewz"
KE80	"EP2\K_WitchBlade_CrossCombination_effect1.ewz"
KE85	"EP2\K_WitchBlade_DivehellPang_effect1.ewz"
KE86	"EP2\K_WitchBlade_DivehellPang_effect2.ewz"
KE87	"EP2\K_WitchBlade_DivehellPang_effect3.ewz"
KE90	"EP2\K_WitchBlade_BlarePang_effect1.ewz"
KE91	"EP2\K_WitchBlade_BlarePang_effect2.ewz"
KE95	"EP2\K_WitchBlade_VampiricTouch_effect1.ewz"
KE96	"EP2\K_WitchBlade_VampiricTouch_effect2.ewz"
KF00	"EP2\K_WitchBlade_summonersRecovery_effect1.ewz"
KF05	"EP2\K_WitchBlade_Bladecurtain_effect1.ewz"
KF10	"EP2\K_WitchBlade_SummonTitania_effect1.ewz"
KF11	"EP2\K_WitchBlade_SummonTitania_effect2.ewz"
KF15	"EP2\K_WitchBlade_FrostBless_effect1.ewz"
KF16	"EP2\K_WitchBlade_FrostBless_effect2.ewz"
KF17	"EP2\K_WitchBlade_FrostBless_effect3.ewz"
KF20	"EP2\K_WitchBlade_MendingMental_effect1.ewz"
KF25	"EP2\K_WitchBlade_SummonBanshee_effect1.ewz"
KF26	"EP2\K_WitchBlade_SummonBanshee_effect2.ewz"
KF31	"EP2\K_WitchBlade_FrozenWind_effect2.ewz"
KF35	"EP2\K_WitchBlade_DivineAssault_effect1.ewz"
KF36	"EP2\K_WitchBlade_DivineAssault_effect2.ewz"
KF40	"EP2\K_WitchBlade_SummonCielis_effect1.ewz"
KF41	"EP2\K_WitchBlade_SummonCielis_effect2.ewz"
KF45	"EP2\K_WitchBlade_MendingMind_effect1.ewz"
KF50	"EP2\K_WitchBlade_MagneticGravito_effect1.ewz"
KF51	"EP2\K_WitchBlade_MagneticGravito_effect2.ewz"
KF52	"EP2\K_WitchBlade_MagneticGravito_effect3.ewz"
KF55	"EP2\K_WitchBlade_RutonPoint_effect1.ewz"
KF61	"EP2\K_Valkyrie_AirBlow_effect2.ewz"
KF47	"EP2\K_WitchBlade_FPfull_effect1.ewz"
LF01	"EP2\L_Yapvan_skill1_effect2.ewz"
LF02	"EP2\L_Yapvan_skill1_effect3.ewz"
End
