start
LF03	"EP2\L_Yapvan_skill1_effect4.ewz"
LF06	"EP2\L_Yapvan_skill2_effect2.ewz"
LF07	"EP2\L_Yapvan_skill2_effect3.ewz"
LF10	"EP2\L_Yapvan_skill3_effect1.ewz"
LF11	"EP2\L_Yapvan_skill3_effect2.ewz"
LF12	"EP2\L_Yapvan_skill3_effect3.ewz"
LF15	"EP2\L_Yapvan_skill4_effect1.ewz"
LF20	"EP2\L_Yapvan_skill5_effect1.ewz"
LF25	"EP2\L_Yapvan_skill6_effect1.ewz"
LF26	"EP2\L_Yapvan_skill6_effect2.ewz"
LF27	"EP2\L_Yapvan_skill6_effect3.ewz"
LF28	"EP2\L_Yapvan_skill6_effect4.ewz"
LF30	"EP2\L_Judas_skill1_effect1.ewz"
LF35	"EP2\L_Judas_skill2_effect1.ewz"
LF40	"EP2\L_Judas_skill3_effect1.ewz"
LF45	"EP2\L_Judas_skill4_effect1.ewz"
LF50	"EP2\L_RevivedVictim_skill1_effect1.ewz"
M385	"EP2\M_EliteSet1_wit_effect1.ewz"
M386	"EP2\M_EliteSet1_wit_effect2.ewz"
M390	"EP2\M_EliteSet1_5_wit_effect1.ewz"
M391	"EP2\M_EliteSet1_5_wit_effect2.ewz"
M395	"EP2\M_EliteSet2_wit_effect1.ewz"
M396	"EP2\M_EliteSet2_wit_effect2.ewz"
M400	"EP2\M_EliteSet3_wit_effect1.ewz"
M401	"EP2\M_EliteSet3_wit_effect2.ewz"
M410	"EP2\M_CursedTempleSet_wit_effect1.ewz"
M411	"EP2\M_CursedTempleSet_wit_effect2.ewz"
M412	"EP2\M_CursedTempleSet_wit_effect3.ewz"
JA50	"EP2\A_Elite3_5_ber_Weapon_effect1.ewz"
JA51	"EP2\A_Elite3_5_ber_Weapon_effect2.ewz"
JA55	"EP2\A_Elite3_5_dra_Weapon_effect1.ewz"
JA56	"EP2\A_Elite3_5_dra_Weapon_effect2.ewz"
JA60	"EP2\A_Elite3_5_sha_Weapon_effect1.ewz"
JA61	"EP2\A_Elite3_5_sha_Weapon_effect2.ewz"
JA62	"EP2\A_Elite3_5_sha_Weapon_effect3.ewz"
JA65	"EP2\A_Elite3_5_val_Weapon_effect1.ewz"
JA66	"EP2\A_Elite3_5_val_Weapon_effect2.ewz"
JA70	"EP2\A_Elite3_5_ele_Weapon_effect1.ewz"
JA71	"EP2\A_Elite3_5_ele_Weapon_effect2.ewz"
JA75	"EP2\A_Elite3_5_mio_Weapon_effect1.ewz"
JA76	"EP2\A_Elite3_5_mio_Weapon_effect2.ewz"
JA80	"EP2\A_Elite3_5_hel_Weapon_effect1.ewz"
M415	"EP2\A_Elite3_wit_Weapon_effect1.ewz"
M416	"EP2\A_Elite3_wit_Weapon_effect2.ewz"
M417	"EP2\A_Elite3_5_wit_Weapon_effect1.ewz"
M418	"EP2\A_Elite3_5_wit_Weapon_effect2.ewz"
M430	"EP2\M_EliteSet3_5_ber_effect1.ewz"
M431	"EP2\M_EliteSet3_5_ber_effect2.ewz"
M435	"EP2\M_EliteSet3_5_dra_effect1.ewz"
M436	"EP2\M_EliteSet3_5_dra_effect2.ewz"
M440	"EP2\M_EliteSet3_5_sha_effect1.ewz"
M441	"EP2\M_EliteSet3_5_sha_effect2.ewz"
M445	"EP2\M_EliteSet3_5_val_effect1.ewz"
M446	"EP2\M_EliteSet3_5_val_effect2.ewz"
M450	"EP2\M_EliteSet3_5_ele_effect1.ewz"
M451	"EP2\M_EliteSet3_5_ele_effect2.ewz"
M455	"EP2\M_EliteSet3_5_mio_effect1.ewz"
M456	"EP2\M_EliteSet3_5_mio_effect2.ewz"
M460	"EP2\M_EliteSet3_5_hel_effect1.ewz"
M461	"EP2\M_EliteSet3_5_hel_effect2.ewz"
End
