start
M420	"EP2\J_Unique_Weapon_wit_effect1.ewz"
M421	"EP2\J_Unique_Weapon_wit_effect2.ewz"
M425	"EP2\J_Unique2_Weapon_wit_effect1.ewz"
M426	"EP2\J_Unique2_Weapon_wit_effect2.ewz"
M405	"EP2\M_EliteSet3_5_wit_effect1.ewz"
M406	"EP2\M_EliteSet3_5_wit_effect2.ewz"
LF08	"EP2\L_Yapvan_skill2_effect4.ewz"
LF09	"EP2\L_Yapvan_skill2_effect5.ewz"
LF47	"EP2\L_Judas_skill4_effect3.ewz"
JA85	"EP2\J_Black_KalbusAcc_ber_effect1.ewz"
JA86	"EP2\J_Black_KalbusAcc_dra_effect1.ewz"
JA87	"EP2\J_Black_KalbusAcc_sha_effect1.ewz"
JA88	"EP2\J_Black_KalbusAcc_val_effect1.ewz"
JA89	"EP2\J_Black_KalbusAcc_ele_effect1.ewz"
JA90	"EP2\J_Black_KalbusAcc_mio_effect1.ewz"
M465	"EP2\M_EliteSet2_5_wit_effect1.ewz"
M466	"EP2\M_EliteSet2_5_wit_effect2.ewz"
LE45	"EP2\L_BlueHorse_skill1_effect1.ewz"
LE46	"EP2\L_BlueHorse_skill1_effect2.ewz"
LE47	"EP2\L_BlueHorse_skill1_effect3.ewz"
LE50	"EP2\L_BlueHorse_skill2_effect1.ewz"
LE51	"EP2\L_BlueHorse_skill2_effect2.ewz"
LE52	"EP2\L_BlueHorse_skill2_effect3.ewz"
LE53	"EP2\L_BlueHorse_skill2_effect4.ewz"
LE80	"EP2\L_BlueHorse_effect1.ewz"
LE81	"EP2\L_BlueHorse_effect2.ewz"
LF70	"EP2\L_Cyclops_skill1_effect1.ewz"
LF71	"EP2\L_Cyclops_skill1_effect2.ewz"
LF72	"EP2\L_Cyclops_skill1_effect3.ewz"
LF73	"EP2\L_Cyclops_skill1_effect4.ewz"
LF74	"EP2\L_Cyclops_skill1_effect5.ewz"
LF75	"EP2\L_Cyclops_skill2_effect1.ewz"
LF80	"EP2\L_Mossroot_skill1_effect1.ewz"
LF81	"EP2\L_Mossroot_skill1_effect2.ewz"
LF85	"EP2\L_Mossroot_skil2_effect1.ewz"
LF86	"EP2\L_Mossroot_skil2_effect2.ewz"
LF87	"EP2\L_Mossroot_skil2_effect3.ewz"
LF90	"EP2\L_Spider_skil1_effect1.ewz"
LF91	"EP2\L_Spider_skil1_effect2.ewz"
LF95	"EP2\L_Spider_skil2_effect1.ewz"
LF96	"EP2\L_Spider_skil2_effect2.ewz"
LF97	"EP2\L_Spider_skil2_effect3.ewz"
LG00	"EP2\L_Bardiel_skil1_effect1.ewz"
LG01	"EP2\L_Bardiel_skil1_effect2.ewz"
LG02	"EP2\L_Bardiel_skil1_effect3.ewz"
LG03	"EP2\L_Bardiel_skil1_effect4.ewz"
LG04	"EP2\L_Bardiel_skil1_effect5.ewz"
LG05	"EP2\L_Bardiel_skil2_effect1.ewz"
LG06	"EP2\L_Bardiel_skil2_effect2.ewz"
LG10	"EP2\L_Dryade_skil1_effect1.ewz"
LG11	"EP2\L_Dryade_skil1_effect2.ewz"
LG15	"EP2\L_Dryade_skil2_effect1.ewz"
LG16	"EP2\L_Dryade_skil2_effect2.ewz"
LG20	"EP2\L_Bardiel_B_skill1_effect1.ewz"
LG21	"EP2\L_Bardiel_B_skill1_effect2.ewz"
LG22	"EP2\L_Bardiel_B_skill1_effect3.ewz"
LG25	"EP2\L_Bardiel_B_skill2_effect1.ewz"
O285	"EP2\O_Ep2_Mysticfire_triger1_effect1.ewz"
O286	"EP2\O_Ep2_Mysticfire_triger1_effect2.ewz"
O287	"EP2\O_Ep2_Mysticfire_triger2_effect1.ewz"
End
