start
O288	"EP2\O_Ep2_Mysticfire_triger2_effect2.ewz"
O289	"EP2\O_Ep2_Mysticfire_triger2_effect3.ewz"
O290	"EP2\O_Ep2_Mysticfire_triger3_effect1.ewz"
O291	"EP2\O_Ep2_Mysticfire_triger3_effect2.ewz"
O292	"EP2\O_Ep2_Mysticfire_triger3_effect3.ewz"
O293	"EP2\O_Ep2_Mysticfire_triger4_effect1.ewz"
O294	"EP2\O_Ep2_Mysticfire_triger5_effect1.ewz"
O295	"EP2\O_Ep2_Mysticfire_triger6_effect1.ewz"
A902	"EP2\A_Trigger_BG_effect1.ewz"
A903	"EP2\A_Trigger_BG_effect2.ewz"
A904	"EP2\A_Trigger_BG_effect3.ewz"
A905	"EP2\A_Trigger_BG_effect4.ewz"
Q300	"EP2\A_Trigger_BG_effect5.ewz"
AB45	"EP2\A_Spa_Assist_effect1.ewz"
AB46	"EP2\A_Spa_Assist_effect2.ewz"
AB47	"EP2\A_Spa_Assist_effect3.ewz"
AB48	"EP2\A_Spa_Assist_effect4.ewz"
JB00	"EP2\J_cos_Samurai_Ber_effect1.ewz"
JB01	"EP2\J_cos_Samurai_Ber_effect2.ewz"
JB05	"EP2\J_cos_Samurai_Dra_effect1.ewz"
JB06	"EP2\J_cos_Samurai_Dra_effect2.ewz"
JB20	"EP2\J_cos_Samurai_Ele_effect1.ewz"
JB21	"EP2\J_cos_Samurai_Ele_effect2.ewz"
JB25	"EP2\J_cos_Samurai_Mio_effect1.ewz"
JB26	"EP2\J_cos_Samurai_Mio_effect2.ewz"
JB15	"EP2\J_cos_Samurai_Sha_effect1.ewz"
JB16	"EP2\J_cos_Samurai_Sha_effect2.ewz"
JB10	"EP2\J_cos_Samurai_Val_effect1.ewz"
JB11	"EP2\J_cos_Samurai_Val_effect2.ewz"
JB30	"EP2\J_cos_Samurai_Wit_effect1.ewz"
JB31	"EP2\J_cos_Samurai_Wit_effect2.ewz"
JB40	"EP2\J_cos_ChinaWarrior_Dra_effect1.ewz"
JB41	"EP2\J_cos_ChinaWarrior_Dra_effect2.ewz"
JB55	"EP2\J_cos_ChinaWarrior_Ele_effect1.ewz"
JB56	"EP2\J_cos_ChinaWarrior_Ele_effect2.ewz"
JB60	"EP2\J_cos_ChinaWarrior_Mio_effect1.ewz"
JB65	"EP2\J_cos_ChinaWarrior_Wit_effect1.ewz"
JB66	"EP2\J_cos_ChinaWarrior_Wit_effect2.ewz"
AB49	"EP2\A_Spa_Assist_effect5.ewz"
AB50	"EP2\A_Spa_Assist_effect6.ewz"
AB51	"EP2\A_Spa_Assist_effect7.ewz"
AB52	"EP2\A_Spa_Assist_effect8.ewz"
JB35	"EP2\J_cos_ChinaWarrior_Ber2_effect1.ewz"
JB36	"EP2\J_cos_ChinaWarrior_Ber2_effect2.ewz"
JB42	"EP2\J_cos_ChinaWarrior_Dra2_effect1.ewz"
JB57	"EP2\J_cos_ChinaWarrior_Ele2_effect1.ewz"
JB61	"EP2\J_cos_ChinaWarrior_Mio2_effect1.ewz"
JB50	"EP2\J_cos_ChinaWarrior_Sha2_effect1.ewz"
JB45	"EP2\J_cos_ChinaWarrior_Val2_effect1.ewz"
JB67	"EP2\J_cos_ChinaWarrior_Wit2_effect1.ewz"
A848	"EP2\A_RidingDragon_effect1.ewz"
AB55	"EP2\A_DrakeRide_effect1.ewz"
AB60	"EP2\A_DrakeRide_effect2.ewz"
AB61	"EP2\A_DrakeRide_2effect2.ewz"
AB65	"EP2\A_DrakeRide_effect3.ewz"
AB66	"EP2\A_DrakeRide_2effect3.ewz"
AB75	"EP2\A_SummerFestival1_effect1.ewz"
AB76	"EP2\A_SummerFestival1_effect2.ewz"
AB77	"EP2\A_SummerFestival1_effect3.ewz"
AB78	"EP2\A_SummerFestival1_effect4.ewz"
End
