start
AB79	"EP2\A_SummerFestival1_effect5.ewz"
AB80	"EP2\A_SummerFestival1_effect6.ewz"
AB81	"EP2\A_SummerFestival1_effect7.ewz"
LG95	"EP2\L_Warmonger_Skill1_effect1.ewz"
LG96	"EP2\L_Warmonger_Skill1_effect2.ewz"
LG97	"EP2\L_Warmonger_Skill2_effect1.ewz"
LG30	"EP2\L_ThornsBear_Skill1_effect1.ewz"
LG35	"EP2\L_ThornsBear_Skill2_effect1.ewz"
LG40	"EP2\L_SnowSpore_Skill1_effect1.ewz"
LG41	"EP2\L_SnowSpore_Skill1_effect2.ewz"
LG42	"EP2\L_SnowSnail_Skill1_effect1.ewz"
LG43	"EP2\L_SnowSnail_Skill1_effect2.ewz"
LG44	"EP2\L_SnowSnail_Skill1_effect3.ewz"
LG45	"EP2\L_GodAcloyte_Skill1_effect1.ewz"
LG50	"EP2\L_GodAcloyte_Skill2_effect1.ewz"
LG51	"EP2\L_GodAcloyte_Skill2_effect2.ewz"
LG52	"EP2\L_GodAcloyte_Skill2_effect3.ewz"
LG55	"EP2\L_DevilValet_Skill1_effect1.ewz"
LG60	"EP2\L_DevilValet_Skill2_effect1.ewz"
LG61	"EP2\L_DevilValet_Skill2_effect2.ewz"
LG62	"EP2\L_DevilValet_Skill2_effect3.ewz"
LG65	"EP2\L_FrozenGiant_Skill1_effect1.ewz"
LG66	"EP2\L_FrozenGiant_Skill1_effect2.ewz"
LG67	"EP2\L_FrozenGiant_Skill1_effect3.ewz"
LG68	"EP2\L_FrozenGiant_Skill1_effect4.ewz"
LG70	"EP2\L_FrozenGiant_Skill2_effect1.ewz"
LG75	"EP2\L_DimensionGuardian_Skill1_effect1.ewz"
LG76	"EP2\L_DimensionGuardian_Skill1_effect2.ewz"
LG80	"EP2\L_DimensionGuardian_Skill2_effect1.ewz"
LG81	"EP2\L_DimensionGuardian_Skill2_effect2.ewz"
LG82	"EP2\L_DimensionGuardian_Skill2_effect3.ewz"
LG85	"EP2\L_LordNarcissus_Skill1_effect1.ewz"
LG86	"EP2\L_LordNarcissus_Skill1_effect2.ewz"
LG87	"EP2\L_LordNarcissus_Skill1_effect3.ewz"
LG88	"EP2\L_LordNarcissus_Skill1_effect4.ewz"
LG89	"EP2\L_LordNarcissus_Skill1_effect5.ewz"
LG90	"EP2\L_LordNarcissus_Skill2_effect1.ewz"
LG91	"EP2\L_LordNarcissus_Skill2_effect2.ewz"
LG92	"EP2\L_LordNarcissus_Skill1_effect6.ewz"
LG93	"EP2\L_LordNarcissus_Skill2_effect3.ewz"
LG83	"EP2\L_LordNarcissus_Skill3_effect1.ewz"
LG84	"EP2\L_LordNarcissus_Skill3_effect2.ewz"
AB85	"EP2\A_HalloObject_effect1.ewz"
AB86	"EP2\A_HalloObject_effect2.ewz"
AB87	"EP2\A_HalloObject_effect3.ewz"
AB88	"EP2\A_HalloObject_effect4.ewz"
AB89	"EP2\A_HalloObject_effect5.ewz"
AB90	"EP2\A_HalloObject_effect6.ewz"
AB91	"EP2\A_HalloObject_effect7.ewz"
AB92	"EP2\A_HalloObject_effect8.ewz"
AC00	"EP2\A_Ber_ThirdWing_effect1.ewz"
AC01	"EP2\A_Ber_ThirdWing_effect2.ewz"
AC02	"EP2\A_Ber_ThirdWing_effect3.ewz"
AC20	"EP2\A_Ele_ThirdWing_effect1.ewz"
AC21	"EP2\A_Ele_ThirdWing_effect2.ewz"
AC22	"EP2\A_Ele_ThirdWing_effect3.ewz"
AC25	"EP2\A_Mio_ThirdWing_effect1.ewz"
AC26	"EP2\A_Mio_ThirdWing_effect2.ewz"
AC27	"EP2\A_Mio_ThirdWing_effect3.ewz"
AB70	"EP2\A_Fimbulvetr_effect1.ewz"
End
