start
JC00	"EP2\J_Unique2_5_Weapon_Ber_effect1.ewz"
JC01	"EP2\J_Unique2_5_Weapon_Ber_effect2.ewz"
JC05	"EP2\J_Unique2_5_Weapon_Dra_effect1.ewz"
JC06	"EP2\J_Unique2_5_Weapon_Dra_effect2.ewz"
JC10	"EP2\J_Unique2_5_Weapon_Val_effect1.ewz"
JC11	"EP2\J_Unique2_5_Weapon_Val_effect2.ewz"
JC12	"EP2\J_Unique2_5_Weapon_Val_effect3.ewz"
JC15	"EP2\J_Unique2_5_Weapon_Sha_effect1.ewz"
JC16	"EP2\J_Unique2_5_Weapon_Sha_effect2.ewz"
JC17	"EP2\J_Unique2_5_Weapon_Sha_effect3.ewz"
JC20	"EP2\J_Unique2_5_Weapon_Ele_effect1.ewz"
JC21	"EP2\J_Unique2_5_Weapon_Ele_effect2.ewz"
JC25	"EP2\J_Unique2_5_Weapon_Mio_effect1.ewz"
JC26	"EP2\J_Unique2_5_Weapon_Mio_effect2.ewz"
JC35	"EP2\J_Unique2_5_Weapon_Wit_effect1.ewz"
JC36	"EP2\J_Unique2_5_Weapon_Wit_effect2.ewz"
JC40	"EP2\J_Elite4_ber_Weapon_effect1.ewz"
JC41	"EP2\J_Elite4_ber_Weapon_effect2.ewz"
JC45	"EP2\J_Elite4_dra_Weapon_effect1.ewz"
JC46	"EP2\J_Elite4_dra_Weapon_effect2.ewz"
JC50	"EP2\J_Elite4_sha_Weapon_effect1.ewz"
JC51	"EP2\J_Elite4_sha_Weapon_effect2.ewz"
JC52	"EP2\J_Elite4_sha_Weapon_effect3.ewz"
JC55	"EP2\J_Elite4_val_Weapon_effect1.ewz"
JC56	"EP2\J_Elite4_val_Weapon_effect2.ewz"
JC60	"EP2\J_Elite4_ele_Weapon_effect1.ewz"
JC61	"EP2\J_Elite4_ele_Weapon_effect2.ewz"
JC65	"EP2\J_Elite4_mio_Weapon_effect1.ewz"
JC66	"EP2\J_Elite4_mio_Weapon_effect2.ewz"
JC70	"EP2\J_Elite4_hel_Weapon_effect1.ewz"
JC75	"EP2\J_Elite4_wit_Weapon_effect1.ewz"
JC76	"EP2\J_Elite4_wit_Weapon_effect2.ewz"
JC80	"EP2\J_EliteSet4_ber_effect1.ewz"
JC81	"EP2\J_EliteSet4_ber_effect2.ewz"
JC82	"EP2\J_EliteSet4_ber_effect3.ewz"
JC85	"EP2\J_EliteSet4_dra_effect1.ewz"
JC86	"EP2\J_EliteSet4_dra_effect2.ewz"
JC87	"EP2\J_EliteSet4_dra_effect3.ewz"
JC90	"EP2\J_EliteSet4_sha_effect1.ewz"
JC91	"EP2\J_EliteSet4_sha_effect2.ewz"
JC92	"EP2\J_EliteSet4_sha_effect3.ewz"
JC95	"EP2\J_EliteSet4_val_effect1.ewz"
JC96	"EP2\J_EliteSet4_val_effect2.ewz"
JC97	"EP2\J_EliteSet4_val_effect3.ewz"
JD00	"EP2\J_EliteSet4_ele_effect1.ewz"
JD01	"EP2\J_EliteSet4_ele_effect2.ewz"
JD02	"EP2\J_EliteSet4_ele_effect3.ewz"
JD05	"EP2\J_EliteSet4_mys_effect1.ewz"
JD06	"EP2\J_EliteSet4_mys_effect2.ewz"
JD07	"EP2\J_EliteSet4_mys_effect3.ewz"
JD10	"EP2\J_EliteSet4_hel_effect1.ewz"
JD11	"EP2\J_EliteSet4_hel_effect2.ewz"
JD12	"EP2\J_EliteSet4_hel_effect3.ewz"
JD15	"EP2\J_EliteSet4_wit_effect1.ewz"
JD16	"EP2\J_EliteSet4_wit_effect2.ewz"
JD17	"EP2\J_EliteSet4_wit_effect3.ewz"
AB82	"EP2\A_Blue_sheep_effect1.ewz"
AB83	"EP2\A_Blue_sheep_effect2.ewz"
LN35	"EP2\M_EliteSet6_ber_effect1.ewz"
LN36	"EP2\M_EliteSet6_ber_effect3.ewz"
End
