start
g006	"K_Elemental_ice_force_effect1_hand.ewz"		
g007	"K_Elemental_blaze_force_effect1_hand.ewz"		
g008	"K_Elemental_mana_recovery_effect1_hand.ewz"		
g010	"H_Dragon_Meteora.ewz"		
g012	"H_Dragon_Vertex.ewz"		
g014	"I_Berserk_Vokan.ewz"		
g016	"I_Berserk_Unbeter.ewz"		
g017	"H_Dragon_fear_effect_1_hand.ewz"
g019	"K_Elemental_Ignision.ewz"
g020	"K_Elemental_Bronte.ewz"
O000	"O_Aiolt_Crystal_effect1.ewz"		
O001	"O_Aiolt_Crystal_effect2.ewz"		
O002	"O_Aiolt_Crystal_effect3.ewz"		
O005	"O_Aiolt_Coffin_effect1.ewz"		
O010	"O_Aiolt_Egg_effect1.ewz"		
O015	"O_Aiolt_DarkTemple_Switch_effect1.ewz"	
//L604	"L_Gray_Earth_Cavalryman_Spin_Crush_effect1.ewz"	(몬스터리뉴얼_작업보류)	
//L605	"L_Gray_Earth_Cavalryman_Spin_Crush_effect2.ewz"		
//L617	"L_Death_Cave_Cavalryman_Bash_effect1.ewz"		
//L618	"L_Death_Cave_Cavalryman_Bash_effect2.ewz"		
//L622	"L_Death_Cave_Cavalryman_Spining_Blow_effect1.ewz"		
//L627	"L_Volcano_Beast_Upper_Blow_effect1.ewz"		
//L628	"L_Volcano_Beast_Upper_Blow_effect2.ewz"		
//L629	"L_Volcano_Beast_Upper_Blow_effect3.ewz"		
//L632	"L_Volcano_Beast_Stop_Order_effect1.ewz"		
//L637	"L_Volcano_Beast_Sprit_Touch_effect1.ewz"		
R001	"R_eat_effect1.ewz"	         	
R003	"R_butterfly_effect1.ewz"		
R004	"R_bat_effect1.ewz"		
R005	"R_globefish_effect1.ewz"		
//I635	"I_Attractant_Use_General_effect_1.ewz"		
//I640	"I_Attractant_Use_Cash_effect_1.ewz"		
//J705	"J_Fishing_Throw_effect1.ewz"		(낚시)
//J710	"J_Fishing_Control_Success_effect1.ewz"		
//J715	"J_Fishing_Control_Fail_effect1.ewz"		
//J720	"J_Fishing_Success_effect1.ewz"		
E145	"E_Metal_Bullet_Loading_effect_1.ewz"		
E146	"E_Metal_Bullet_Loading_effect_1_2.ewz"		
E147	"E_Metal_Bullet_Loading_effect_1_3.ewz"		
E150	"E_Metal_Bullet_Loading_effect_2.ewz"		
E151	"E_Metal_Bullet_Loading_effect_2_2.ewz"		
E152	"E_Metal_Bullet_Loading_effect_2_3.ewz"		
E155	"E_Metal_Bullet_Loading_effect_3.ewz"		
E156	"E_Metal_Bullet_Loading_effect_3_2.ewz"		
E157	"E_Metal_Bullet_Loading_effect_3_3.ewz"		
E160	"E_Metal_Bullet_Loading_effect_4.ewz"		
E161	"E_Metal_Bullet_Loading_effect_4_2.ewz"		
E162	"E_Metal_Bullet_Loading_effect_4_3.ewz"		
E165	"E_Metal_Bullet_Loading_effect_5.ewz"		
E166	"E_Metal_Bullet_Loading_effect_5_2.ewz"		
E167	"E_Metal_Bullet_Loading_effect_5_3.ewz"		
E170	"E_Metal_Bullet_Loading_effect_6.ewz"		
E171	"E_Metal_Bullet_Loading_effect_6_2.ewz"		
E172	"E_Metal_Bullet_Loading_effect_6_3.ewz"		
E175	"E_Metal_Bullet_Loading_effect_7.ewz"		
E176	"E_Metal_Bullet_Loading_effect_7_2.ewz"		
E177	"E_Metal_Bullet_Loading_effect_7_3.ewz"		
E180	"E_Metal_Bullet_Loading_effect_8.ewz"		
E181	"E_Metal_Bullet_Loading_effect_8_2.ewz"		
E182	"E_Metal_Bullet_Loading_effect_8_3.ewz"		
End
