start
E310	"E_Firework_Torch_object_effect_1.ewz"		
E311	"E_Firework_Torch_object_effect_2.ewz"		
E315	"E_Firework_Mine_effect_1.ewz"		
E320	"E_Firework_Mine_object_effect_1.ewz"		
I675	"I_RecklessFlash_effect1.ewz"		
K765	"K_Shadow_Curse_Pain_effect1.ewz"		
K770	"K_Shadow_Curse_DarkFire_effect1.ewz"		
K790	"K_Shadow_Curse_Impotent_effect1.ewz"		
K825	"K_Shadow_Curse_Confuse_effect1.ewz"		
K846	"K_Shadow_Dark_PoisonDagger_effect2.ewz"		
K847	"K_Shadow_Dark_PoisonDagger_effect3.ewz"		
K848	"K_Shadow_Dark_PoisonDagger_effect4.ewz"		
K856	"K_Shadow_Dark_DarkStun_effect2.ewz"		
K858	"K_Shadow_Dark_DarkStun_effect4.ewz"		
K775	"K_Shadow_Curse_DarkSpark_effect1.ewz"		
K786	"K_Shadow_Curse_SoulControl_effect2.ewz"		
K787	"K_Shadow_Curse_SoulControl_effect3.ewz"		
K796	"K_Shadow_Curse_VitalSuction_effect2.ewz"		
K875	"K_Shadow_Dark_Cancellation_effect1.ewz"		
K877	"K_Shadow_Dark_Cancellation_effect3.ewz"		
K890	"K_Shadow_Dark_DarkDust_effect1.ewz"		
K891	"K_Shadow_Dark_DarkDust_effect2.ewz"		
K892	"K_Shadow_Dark_DarkDust_effect3.ewz"		
K817	"K_Shadow_Curse_DarkPain_effect3.ewz"		
K818	"K_Shadow_Curse_DarkPain_effect4.ewz"		
K880	"K_Shadow_Dark_Rush_effect1.ewz"		
K881	"K_Shadow_Dark_Rush_effect2.ewz"		
K882	"K_Shadow_Dark_Rush_effect3.ewz"		
K896	"K_Shadow_Dark_FastBlow_effect2.ewz"		
K901	"K_Shadow_Dark_DownSlash_effect2.ewz"		
K832	"K_Shadow_Curse_Demon_effect3.ewz"		
K833	"K_Shadow_Curse_Demon_effect4.ewz"		
K835	"K_Shadow_Curse_DarkForce_effect1.ewz"		
K906	"K_Shadow_Dark_SoulScream_effect2.ewz"		
K907	"K_Shadow_Dark_SoulScream_effect3.ewz"		
K908	"K_Shadow_Dark_SoulScream_effect4.ewz"		
K909	"K_Shadow_Dark_SoulScream_effect5.ewz"		
A648	"A_Change1.ewz"		
A649	"A_Change2.ewz"		
L717	"L_Nightmare_skill1_effect1.ewz"	
L718	"L_Nightmare_skill1_effect2.ewz"		
L719	"L_Nightmare_skill1_effect3.ewz"		
L722	"L_Nightmare_skill2_effect1.ewz"		
I690	"I_Surface_water_walk_effect1.ewz"		
I691	"I_Surface_water_walk_effect2.ewz"		
I695	"I_Surface_water_jump_effect1.ewz"		
L727	"L_DarkPriest_Attack_effect1.ewz"		
R015	"R_pet_happy1.ewz"		
R025	"R_pet_sleep1.ewz"		
R035	"R_pet_level1.ewz"		
R040	"R_pet_death1.ewz"		
R045	"R_pet_intimacy_down1.ewz"		
R050	"R_pet_item_auto1.ewz"		
C035	"C_Collection_hand_effect1.ewz"	
A680	"A_Balloon_pop.ewz"
L732	"L_Death_Shaman_skil1_effect1.ewz"
L733	"L_Death_Shaman_skil1_effect2.ewz"
L737	"L_Death_Shaman_skil2_effect1.ewz"
L738	"L_Death_Shaman_skil2_effect2.ewz"
L743	"L_Death_Shaman_skil3_effect2.ewz"
End
