start
L744	"L_Death_Shaman_skil3_effect3.ewz"
L745	"L_Death_Shaman_skil3_effect4.ewz"
L746	"L_Death_Shaman_skil1_effect7.ewz"
L762	"L_DarkEther_Gorilla_skill1_effect1.ewz"
L767	"L_DarkEther_Gorilla_skill2_effect1.ewz"
L772	"L_DarkForce_Roc1_skill1_effect1.ewz"
L778	"L_DarkForce_Roc1_skill2_effect2.ewz"
L779	"L_DarkForce_Roc1_skill2_effect3.ewz"
L782	"L_DarkEther_Crocodile1_skill1_effect1.ewz"
L783	"L_DarkEther_Crocodile1_skill1_effect2.ewz"
L797	"L_DogFace_warrior_skill2_effect1.ewz"
L803	"L_Insane_king_skill1_effect2.ewz"
L807	"L_Insane_king_skill2_effect1.ewz"
L809	"L_Insane_king_skill2_effect3.ewz"
L810	"L_Insane_king_skill2_effect4.ewz"
L811	"L_Insane_king_skill2_effect5.ewz"
L816	"L_Insane_king_skill3_effect5.ewz"
L823	"L_Insane_king_disguise_skill2_effect2.ewz"
L837	"L_Turtle_salamander_attack2_effect1.ewz"
L843	"L_Ice_Sorcerer_attack1_effect2.ewz"
L847	"L_Ice_Sorcerer_attack2_effect1.ewz"
L849	"L_Ice_Sorcerer_attack2_effect3.ewz"
L857	"L_Bitasaurus_attack2_effect1.ewz"
L858	"L_Bitasaurus_attack2_effect2.ewz"
L864	"L_Golroom_attack1_effect3.ewz"
L868	"L_Golroom_attack2_effect2.ewz"
L877	"L_SWRZ_attack1_effect1.ewz"
L879	"L_SWRZ_attack1_effect3.ewz"
L880	"L_SWRZ_attack1_effect4.ewz"
L881	"L_SWRZ_attack1_effect5.ewz"
L899	"L_SWRZ_attack5_effect3.ewz"
L917	"L_Lumanka_skill4_effect1.ewz"
L925	"L_Lumanka_skill5_effect4.ewz"
L926	"L_Lumanka_skill5_effect5.ewz"
L573	"L_Polution_plant_Spit_effect2.ewz"
L574	"L_Polution_plant_Spit_effect3.ewz"
L575	"L_Polution_plant_Spit_effect4.ewz"
L582	"L_Polution_plant_Strong_poison_effect1.ewz"
L583	"L_Polution_plant_Strong_poison_effect2.ewz"
LA40	"EP2\L_Dinosaur_skill1_effect1.ewz"
LA50	"EP2\L_Crayfish_skill1_effect1.ewz"
LA53	"EP2\L_Crayfish_skill1_effect4.ewz"
LA56	"EP2\L_Crayfish_skill2_effect2.ewz"
LA60	"EP2\L_OrangeBeak_skill1_effect1.ewz"
LA65	"EP2\L_OrangeBeak_skill2_effect1.ewz"
LA66	"EP2\L_OrangeBeak_skill2_effect2.ewz"
LA70	"EP2\L_OrangeBeak_female_skill1_effect1.ewz"
LA71	"EP2\L_OrangeBeak_female_skill1_effect2.ewz"
LA75	"EP2\L_OrangeBeak_female_skill2_effect1.ewz"
LA76	"EP2\L_OrangeBeak_female_skill2_effect2.ewz"
End
