//국가별로 번역이 필요합니다.(파일명 뒤에 국가코드 없이 모든 국가 동일한 파일명 사용합니다)							
OptionID	PageIndex	CategoryName	DisplayName	ItemType	ItemData	Comment	
100	0	2807	2815	COMBO	2931	설명입니다.	//해상도 구분
101	0	2807	2816	COMBO	2932	설명입니다.	//해상도 설정
102	0	2807	2817	COMBO	2933	설명입니다.	//텍스쳐 품질
103	0	2807	2818	COMBO	2934	설명입니다.	//이펙트 품질
104	0	2807	2819	COMBO	2933	설명입니다.	//세부묘사 범위(LOD)
105	0	2807	2820	GAUGE	2935	설명입니다.	//밝기설정(감마설정)
106	0	2808	2821	COMBO	2936	설명입니다.	//그림자 효과
107	0	2808	2822	COMBO	2936	설명입니다.	//글로우 효과
108	0	2808	2823	COMBO	2936	설명입니다.	//안개 효과
109	0	2808	2824	COMBO	2936	설명입니다.	//타일 효과
110	0	2808	2825	COMBO	2936	설명입니다.	//원경 효과
111	0	2808	2826	COMBO	2936	설명입니다.	//광원 효과
112	0	2808	2827	GAUGE	2937	설명입니다.	//사물 표시 거리 (컬링 범위 )
113	0	2808	2828	COMBO	2936	설명입니다.	//멀티 쓰레드
200	1	2809	2829	COMBO	2938	설명입니다.	//피해수치표시
201	1	2809	2830	COMBO	2936	설명입니다.	//NPC명
202	1	2809	2831	COMBO	2936	설명입니다.	//몬스터 정보
203	1	2809	2832	COMBO	2936	설명입니다.	//다른 플레이어 이름
204	1	2809	2833	COMBO	2936	설명입니다.	//감정표현 중에만 코스튬 보이기
205	1	2809	2834	COMBO	2936	설명입니다.	//내 아이디
206	1	2809	2835	COMBO	2936	설명입니다.	//다른 플레이어 계급
207	1	2809	2836	COMBO	2936	설명입니다.	//정보열람실
208	1	2809	2837	COMBO	2936	설명입니다.	//팻 명
209	1	2809	2838	COMBO	2936	설명입니다.	//개인상점 명
210	1	2809	2839	COMBO	2936	설명입니다.	//길드 명
211	1	2809	2840	COMBO	2936	설명입니다.	//드랍아이템 5초간 표시
212	1	2809	2841	COMBO	2936	설명입니다.	//습득아이템 알림
213	1	2809	2842	COMBO	2936	설명입니다.	//오프닝 동영상
214	1	2809	2843	COMBO	2936	설명입니다.	//다른 플레이어 캐릭터
215	1	2809	2844	COMBO	2936	설명입니다.	//개인상점 캐릭터
216	1	2809	2845	COMBO	2936	설명입니다.	//비행모드 중에만 날개 보이기
217	1	2810	2846	COMBO	2936	설명입니다.	//공격시 자동 이동
218	1	2810	2847	COMBO	2936	설명입니다.	//자동 타겟
219	1	2810	2848	COMBO	2936	설명입니다.	//전방 우선 타겟
220	1	2810	2849	COMBO	2936	설명입니다.	//근접 우선 타겟
221	1	2810	2850	COMBO	2936	설명입니다.	//스킬 큐잉
222	1	2810	2851	COMBO	2936	설명입니다.	//항상 PK키 누름
223	1	2811	2852	GAUGE	2939	설명입니다.	//마우스 감도조절
224	1	2811	2853	GAUGE	2939	설명입니다.	//시점 전환 속도
225	1	2811	2854	GAUGE	2939	설명입니다.	//마우스 시점 속도
226	1	2811	2855	GAUGE	1107	설명입니다.	//캐릭터 시점 조절
227	1	2811	2856	COMBO	2936	설명입니다.	//마우스 좌/우 반전
228	1	2811	2857	COMBO	2936	설명입니다.	//카메라 방향으로 이동
229	1	2811	2858	COMBO	2936	설명입니다.	//스프링 카메라 회전
230	1	2811	2859	COMBO	2936	설명입니다.	//카메라 거리폭 확대
231	1	2811	2860	COMBO	2936	설명입니다.	//거래 차단
232	1	2811	2861	COMBO	2936	설명입니다.	//귓속말 차단
233	1	2811	2862	COMBO	2936	설명입니다.	//다른 플레이어 선택 차단
234	1	2811	2863	COMBO	2936	설명입니다.	//채널 초대 차단
235	1	2811	2864	COMBO	2936	설명입니다.	//인터페이스 크기 고정
237	1	2810	59020	COMBO	2936	설명입니다.	//Fast Cast
238	1	2809	59021	COMBO	2936	설명입니다.	//Always show monster names
239	0	2807	59022	COMBO	2936	설명입니다.	//Anisotropic filtering
240	0	2807	59023	COMBO	2936	설명입니다.	//Anti-aliasing (needs restart)
241	1	2811	59024	GAUGE	2937	설명입니다.	//Interface size (slider, 0=Auto, 1-100 = 101%-200%)
242	1	2811	59025	COMBO	59028	설명입니다.	//Text size
243	1	2811	59026	COMBO	2936	설명입니다.	//Unlock HUD frames
244	1	2811	59029	COMBO	2936	설명입니다.	//Click to move
300	2	2812	2865	GAUGE	2937	설명입니다.	//배경음
301	2	2812	2866	GAUGE	2937	설명입니다.	//환경 효과음
302	2	2812	2867	GAUGE	2937	설명입니다.	//시스템 효과음
303	2	2812	2868	COMBO	2936	설명입니다.	//음성 경고
304	2	2812	2869	COMBO	2936	설명입니다.	//NPC 음성
305	2	2813	2870	GAUGE	2937	설명입니다.	//시스템 볼륨
306	2	2813	2871	GAUGE	2937	설명입니다.	//스피커 볼륨
400	3	2814	2872	COMBO	2936	설명입니다.	//기타옵션1
401	3	2814	2873	COMBO	2936	설명입니다.	//기타옵션2
402	3	2814	2874	COMBO	2936	설명입니다.	//기타옵션3
403	3	2814	2875	COMBO	2936	설명입니다.	//기타옵션4
404	3	2814	2876	COMBO	2936	설명입니다.	//기타옵션5
