//Version0.0.0.2		
//캐릭터데이터코드//코드대역폭800만까지		
//2007-10-09	8943958167905867108965-91761867-3458917-34571475	
dwCode	szFileName	FieldEnd
//캐릭터코드(40001~40100)		
//IcodeFname파일명확장자		
40001 Data\PC\Berserker\berserker.wzu		
40002 Data\PC\Dragon\dragon.wzu		
40003 Data\PC\Shadow\Shadow.wzu		
40004 Data\PC\Valkyrie\Valkyrie.wzu		
40005 Data\PC\Elementalist\Elementalist.wzu		
40006 Data\PC\Berserker_W\berserker_W.wzu		
40007 Data\PC\Dragon_W\dragon_W.wzu		
40008 Data\PC\Shadow_W\Shadow_W.wzu		
40009 Data\PC\Valkyrie_M\Valkyrie_M.wzu		
40010 Data\PC\Elementalist_M\Elementalist_M.wzu		
//NPC데이터코드(40101~41000)		
//트링겔(40101~40110  15000~15100)		
40101 Data\NPC\N101\youbet.wzu		
40102 Data\NPC\N102\Imelda.wzu		
40103 Data\NPC\N103\bjorn.wzu		
40104 Data\NPC\N104\normal.wzu		
40105 Data\NPC\N105\farvka.wzu		
40106 Data\NPC\N106\waterain.wzu		
40107 Data\NPC\N107\dwayne.wzu		
40108 Data\NPC\N108\grimaldi.wzu		
40109 Data\NPC\N109\tybolt.wzu		
40110 Data\NPC\N110\malcom.wzu		
15000 Data\NPC\N111\Roren.wzu		
15003 Data\NPC\N114\Caina.wzu		
15058 Data\NPC\N120\Gertrude.wzu		
15061 Data\NPC\N123\Ruber.wzu		
15062 Data\NPC\N124\Judith.wzu		
15063 Data\NPC\N125\Zenon.wzu		
15064 Data\NPC\N126\Tybolt_Soldier.wzu		
15065 Data\NPC\N127\Decad.wzu		
15068 Data\NPC\N130\Peter_Wolfman.wzu		
15069 Data\NPC\N131\RandomStore_NPC.wzu		
//에텔레인(15009~15200)		
15009 Data\NPC\N201\Nihil.wzu		
15010 Data\NPC\N202\Otter.wzu		
15023 Data\NPC\N215\Gotthold.wzu		
15036 Data\NPC\N228\Sentry.wzu		
15101 Data\NPC\N235\Albreche.wzu		
15102 Data\NPC\N236\Sentry_Soldier.wzu		
15115 Data\NPC\N501\BilmaPolks.wzu		
15116 Data\NPC\N201\NPC_Nihill_v2.wzu		
15117 Data\NPC\N109\Captured_Guard.wzu		
15118 Data\NPC\N238\Corpse1.wzu		
15119 Data\NPC\N238\Corpse2.wzu		
15120 Data\NPC\N238\Corpse3.wzu		
15121 Data\NPC\N238\Corpse4.wzu		
//벨트헨(15039~15100)		
//아이올트		
//오크라(15201~15300)		
15201 Data\NPC\N602\oboe_v2.wzu		
15202 Data\NPC\N601\Gritt.wzu		
15203 Data\NPC\N602\Oboe.wzu		
15204 Data\NPC\N501\BilmaPolks.wzu		
15205 Data\NPC\N604\Croly_Versa.wzu		
15206 Data\NPC\N605\Karnan.wzu		
15210 Data\NPC\N606\Abha.wzu		
15211 Data\NPC\N607\Rilinan.wzu		
15212 Data\NPC\N608\Jayanti.wzu		
15213 Data\NPC\N609\Madhav.wzu		
15214 Data\NPC\N610\Nikhil.wzu		
15215 Data\NPC\N611\Nitha.wzu		
15216 Data\NPC\N612\Ganesa.wzu		
15217 Data\NPC\N613\Miran.wzu		
15218 Data\NPC\N614\Jameel.wzu		
15219 Data\NPC\N615\Kalidas.wzu		
15220 Data\NPC\N616\Ezzy.wzu		
15221 Data\NPC\N617\Larhatt.wzu		
15222 Data\NPC\N618\Alf.wzu		
15223 Data\NPC\N202\Otter.wzu		
15224 Data\NPC\N620\Bathwayne.wzu		
15228 Data\NPC\N624\LabieMorra.wzu		
//공성전NPC(15501~15508)		
15501 Data\NPC\N550\Hugo.wzu		
