//캐릭터 머리 위 전용 메쉬 리소스		
//최초작업자 : 채현준		
//최초작업일 : 	2005-12-23	
//최종작업일 : 	2012-06-07	
//최종수정자 : 채현준		
//Version	0.0.0.1	
ID	ResourceCode	FieldEnd
1	39910	//땅찍을시
2	39911	//느낌표
3	39912	//머리위화살표
4	39913	//물음표
5	39914	//스크롤(비활성화)
6	39915	//스크롤(활성화)
7	39916	//문서(비활성화)
8	39917	//문서(활성화)
9	40667	//빨강펼친두루마리(일일_완료)
10	40668	//보라펼친두루마리(길드_완료)
11	40669	//초록펼친두루마리(반복_완료)
12	40670	//빨강접힌두루마리(일일_수락)
13	40671	//보라접힌두루마리(길드_수락)
14	40672	//초록접힌두루마리(반복_수락)
15	90319	//pink folded scroll (beta badge quest - accept)
16	90320	//pink open scroll (beta badge quest - hand in)
