//캐릭터 커스터마이징	신체 부위 설정								
//									
//									
//					0:기본형 1:캐시 2:캐시(낱개판매)				
//			1.0.0.4	1.0.0.4	1.0.0.4				
//클래스 아이디	신체 부위 설정	아이디	네임	설명	출력타입	리소스 인덱스1	리소스 인덱스2	리소스 인덱스3	
bClassID	bBodyParts	ID	NameCode	DescriptionCode	ResourceType	dResourceID1	dResourceID2	dResourceID3	
1	1	1	0	0	0	61001	61011	61016	
1	1	2	0	0	0	61021	61031	61036	
1	1	3	0	0	0	61041	61051	61056	
1	1	4	0	0	0	61061	61071	61076	
1	1	5	0	0	0	61081	61091	61096	
1	2	1	0	0	0	61006	61006	61006	
1	2	2	0	0	0	61026	61026	61026	
1	2	3	0	0	0	61046	61046	61046	
1	2	4	0	0	0	61066	61066	61066	
1	2	5	0	0	0	61086	61086	61086	
2	1	1	0	0	0	61002	61012	61017	
2	1	2	0	0	0	61022	61032	61037	
2	1	3	0	0	0	61042	61052	61057	
2	1	4	0	0	0	61062	61072	61077	
2	1	5	0	0	0	61082	61092	61097	
2	2	1	0	0	0	61007	61007	61007	
2	2	2	0	0	0	61027	61027	61027	
2	2	3	0	0	0	61047	61047	61047	
2	2	4	0	0	0	61067	61067	61067	
2	2	5	0	0	0	61087	61087	61087	
3	1	1	0	0	0	61003	61013	61018	
3	1	2	0	0	0	61023	61033	61038	
3	1	3	0	0	0	61043	61053	61058	
3	1	4	0	0	0	61063	61073	61078	
3	1	5	0	0	0	61083	61093	61098	
3	2	1	0	0	0	61008	61008	61008	
3	2	2	0	0	0	61028	61028	61028	
3	2	3	0	0	0	61048	61048	61048	
3	2	4	0	0	0	61068	61068	61068	
3	2	5	0	0	0	61088	61088	61088	
4	1	1	0	0	0	61004	61014	61019	
4	1	2	0	0	0	61024	61034	61039	
4	1	3	0	0	0	61044	61054	61059	
4	1	4	0	0	0	61064	61074	61079	
4	1	5	0	0	0	61084	61094	61099	
4	2	1	0	0	0	61009	61009	61009	
4	2	2	0	0	0	61029	61029	61029	
4	2	3	0	0	0	61049	61049	61049	
4	2	4	0	0	0	61069	61069	61069	
4	2	5	0	0	0	61089	61089	61089	
5	1	1	0	0	0	61005	61015	61020	
5	1	2	0	0	0	61025	61035	61040	
5	1	3	0	0	0	61045	61055	61060	
5	1	4	0	0	0	61065	61075	61080	
