//캐릭터 음성 스크립트			//음성출력코드		//텍스트출력방식코드																																										
//Version	1.0.0.2																																														
//최초 작업자 : 김미숙					//0:텍스트없음																																										
//작업 일자: 2007-05-22			//0:Null	//0:NULL	//1:말풍선&채팅창																																										
//최종 작업자 :	정재한		//1:개별		//2:채팅창	//4:공지형&채팅창																																									
//최종 작업일자	오전 11:00 2008-09-23		//2:방송		//3:말풍선	//5:공지형																																									
																																															
//캐릭터코드	설명	 성별타입	착용제한	착용제한출력방식	착용제한텍스트	착용제한텍스트출력방식	타겟없음1	타겟없음1출력방식	타겟없음1텍스트	타겟없음1텍스트출력방식	타겟없음2	타겟없음2출력방식	타겟없음2텍스트	타겟없음2텍스트출력방식	돈부족	돈부족출력방식	돈부족텍스트	돈부족텍스트출력방식	수리불가	수리불가출력방식	수리불가텍스트	수리불가텍스트출력방식	SP부족	SP부족출력방식	SP부족텍스트	SP부족텍스트출력방식	MP부족	MP부족출력방식	MP부족텍스트	MP부족텍스트출력방식	포인트부족	포인트부족출력방식	포인트부족텍스트	포인트부족텍스트출력방식	타겟이멀다1	타겟이멀다1출력방식	타겟이멀다1텍스트	타겟이멀다1텍스트출력방식	타겟이멀다2	타겟이멀다2출력방식	타겟이멀다2텍스트	타겟이멀다2텍스트출력방식	FP부족	FP부족출력방식	FP부족텍스트	FP부족텍스트출력방식	
CharacterCode	Desc	GenderType	LimitUse	LimitUse_VoiceType	LimitUse_Text	LimitUse_TextType	NOTAR1	NOTAR1_VoiceType	NOTAR1_Text	NOTAR1_TextType	NOTAR2	NOTAR2_VoiceType	NOTAR2_Text	NOTAR2_TextType	LackMon	LackMon_VoiceType	LackMon_Text	LackMon_TextType	NOREPItem	NOREPItem_VoiceType	NOREPItem_Text	NOREPItem_TextType	LackSP	LackSP_VoiceType	LackSP_Text	LackSP_TextType	LackMP	LackMP_VoiceType	LackMP_Text	LackMP_TextType	LackPoi	LackPoi_VoiceType	LackPoi_Text	LackPoi_TextType	FarTag1	FarTag1_VoiceType	FarTag1_Text	FarTag1_TextType	FarTag2	FarTag2_VoiceType	FarTag2_Text	FarTag2_TextType	LackFP	LackFP_VoiceType	LackFP_Text	LackFP_TextType	FieldEnd
1	버서커(남)	1	100	1	150001	4	101	1	150009	4	102	1	150002	4	103	1	150003	4	0	0	0	0	107	1	150005	4	0	0	0	0	108	1	150007	4	109	1	150008	4	110	1	150010	4	0	0	0	0	
1	버서커(여)	2	200	1	150001	4	201	1	150009	4	202	1	150002	4	203	1	150003	4	0	0	0	0	0	0	0	0	206	1	150006	4	208	1	150007	4	209	1	150008	4	210	1	150010	4	0	0	0	0	
2	드래곤나이트(남)	1	300	1	150001	4	301	1	150009	4	302	1	150002	4	303	1	150003	4	0	0	0	0	307	1	150005	4	0	0	0	0	308	1	150007	4	309	1	150008	4	310	1	150010	4	0	0	0	0	
2	드래곤나이트(여)	2	200	1	150001	4	201	1	150009	4	202	1	150002	4	203	1	150003	4	0	0	0	0	0	0	0	0	206	1	150006	4	208	1	150007	4	209	1	150008	4	210	1	150010	4	0	0	0	0	
3	섀도우(남)	1	451	1	150001	4	460	1	150009	4	452	1	150002	4	453	1	150003	4	0	0	0	0	457	1	150005	4	456	1	150006	4	458	1	150007	4	459	1	150008	4	450	1	150010	4	0	0	0	0	
3	섀도우(여)	2	400	1	150001	4	401	1	150009	4	402	1	150002	4	403	1	150003	4	0	0	0	0	0	0	0	0	406	1	150006	4	408	1	150007	4	409	1	150008	4	410	1	150010	4	0	0	0	0	
4	발키리(남)	1	200	1	150001	4	201	1	150009	4	202	1	150002	4	203	1	150003	4	0	0	0	0	0	0	0	0	206	1	150006	4	208	1	150007	4	209	1	150008	4	210	1	150010	4	0	0	0	0	
4	발키리(여)	2	200	1	150001	4	201	1	150009	4	202	1	150002	4	203	1	150003	4	0	0	0	0	0	0	0	0	206	1	150006	4	208	1	150007	4	209	1	150008	4	210	1	150010	4	0	0	0	0	
5	엘리멘탈리스트(남)	1	400	1	150001	4	401	1	150009	4	402	1	150002	4	403	1	150003	4	0	0	0	0	0	0	0	0	406	1	150006	4	408	1	150007	4	409	1	150008	4	410	1	150010	4	0	0	0	0	
5	엘리멘탈리스트(여)	2	400	1	150001	4	401	1	150009	4	402	1	150002	4	403	1	150003	4	0	0	0	0	0	0	0	0	406	1	150006	4	408	1	150007	4	409	1	150008	4	410	1	150010	4	0	0	0	0	
6	미스틱(남)	1	462	1	150001	4	463	1	150009	4	468	1	150002	4	465	1	150003	4	469	0	0	0	0	0	0	4	464	1	150006	4	466	1	150007	4	463	1	150008	4	461	1	150010	4	0	0	0	0	
6	미스틱(여)	2	462	1	150001	4	463	1	150009	4	468	1	150002	4	465	1	150003	4	469	0	0	0	0	0	0	4	464	1	150006	4	466	1	150007	4	463	1	150008	4	461	1	150010	4	0	0	0	0	
7	헬로이드(남)	1	472	1	150001	4	479	1	150009	4	477	1	150002	4	475	1	150003	4	478	0	0	0	0	0	0	4	474	1	150006	4	476	1	150007	4	471	1	150008	4	473	1	150010	4	0	0	0	0	
8	위치블레이드(여)	2	481	1	150001	4	488	1	150009	4	486	1	150002	4	484	1	150003	4	487	0	0	0	0	0	0	4	483	1	150006	4	485	1	150007	4	480	1	150008	4	482	1	150010	4	489	1	150006	4	
9	팔라딘(여)	2	481	1	150001	4	488	1	150009	4	486	1	150002	4	484	1	150003	4	487	0	0	0	0	0	0	4	483	1	150006	4	485	1	150007	4	480	1	150008	4	482	1	150010	4	0	0	0	0	
