//	"1.기능번호는 65535까지 가능함(그 이상의 값은 디버그 및 개발용이며, 해당 세팅은 UI에서 변경되지 않으며 서버에 저장되지 않음)"														
//	"2.기능키와 확장키의 조합으로 단축키가 세팅됨. 같은 정보가 세팅되면 앞선 것이 유효하며, 그 뒤는 무효화되어 해제상태가 됨"														
//	3.유저세팅지원 1:유저가변경할 수 있으며 서버에 저장됨  0:유저가변경할 수 없으며 서버에 저장되지 않음(UI를 통한 변경 안됨)														
//	"4.우측 시프트/컨트롤/알트, 윈도우키, 한영키 같은 국가별 확장키 지원안함"														
//	"5.일본의 경우 BackSlash 대신 Yen, ` (Grave, 숫자1 왼쪽키)대신 ^ (CIRCUMFLEX) 사용"														
//	6.아래와 같은 키를 지원함														
//	ESC	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12		
//	^														
//	~	1	2	3	4	5	6	7	8	9	0	-	=	Back Slash	Yen
//	Tab	Q	W	E	R	T	Y	U	I	O	P	[	]	Back Space	
//	Caps Lock	A	S	D	F	G	H	J	K	L	;	'	Enter		
//	Shift	Z	X	C	V	B	N	M	","	.	/				
//	Ctrt	Alt	Space Bar												
//					Num Lock	Num/	Num*	Num-		Wheel Up					
//	Prt Scr	Scroll Lock	Pause		Num7	Num8	Num9	Num+		Wheel Down					
//	Insert	Home	Page Up		Num4	Num5	Num6			Button3	Button5	Button7			
//	Delete	End	Page Down		Num1	Num2	Num3			Button4	Button6	Button8			
//		Up			Num0	Num.									
//	Left	Down	Right												
//															
//															
//					메인세팅				서브세팅						
//	기능번호	유저세팅지원	기능설명(개발용)	기능설명코드	기능키	조합확장키			기능키	조합확장키					
	Index	SupportUserSetting	Description	DescriptionCode	KeyCode1	ShiftKey1	CtrlKey1	AltKey1	KeyCode2	ShiftKey2	CtrlKey2	AltKey2	ActionCode		
	1	1	앞으로이동	10381	W	0	0	0	Up	0	0	0	0		
	2	1	뒤로이동	10382	S	0	0	0	Down	0	0	0	0		
	3	1	좌측으로이동	10383	Q	0	0	0	Null	0	0	0	0		
	4	1	우측으로이동	10384	E	0	0	0	Null	0	0	0	0		
	5	1	좌측으로회전	10385	A	0	0	0	Left	0	0	0	0		
	6	1	우측으로회전	10386	D	0	0	0	Right	0	0	0	0		
	7	1	점프	10387	Space Bar	0	0	0	Null	0	0	0	0		
	8	1	자동달리기	10388	R	0	0	0	Null	0	0	0	0		
	9	1	앉기서기	10389	X	0	0	0	Null	0	0	0	35003		
	10	1	아이템줍기	10390	Null	0	0	0	Null	0	0	0	35001		
	11	1	비행모드	10489	Space Bar	1	0	0	Null	0	0	0	0		
//															
//	101	0	채팅창열기보내기	10391	Enter	0	0	0	Null	0	0	0	0		
	102	1	스크린샷	10392	Prt Scr	0	0	0	Null	0	0	0	0		
	103	1	스크린샷모드	10393	N	0	1	0	Null	0	0	0	0		
	104	1	인터페이스숨기기	8078	H	0	1	0	Null	0	0	0	0		
															
	201	1	가까운대상선택	10395	Tab	0	0	0	Null	0	0	0	0		
	202	1	다음대상선택	10396	]	0	0	0	Null	0	0	0	0		
	203	1	이전대상선택	10397	[	0	0	0	Null	0	0	0	0		
	204	1	자신선택	10398	F1	0	0	0	Null	0	0	0	0		
	205	1	파티원1선택	10399	F2	0	0	0	Null	0	0	0	0		
	206	1	파티원2선택	10400	F3	0	0	0	Null	0	0	0	0		
	207	1	파티원3선택	10401	F4	0	0	0	Null	0	0	0	0		
	208	1	파티원4선택	10402	F5	0	0	0	Null	0	0	0	0		
	209	1	파티원5선택	10403	F6	0	0	0	Null	0	0	0	0		
	210	1	파티원6선택	10404	F7	0	0	0	Null	0	0	0	0		
	211	1	파티원7선택	10405	F8	0	0	0	Null	0	0	0	0		
	212	1	파티원8선택	10406	F9	0	0	0	Null	0	0	0	0		
	213	1	파티원9선택	10407	F10	0	0	0	Null	0	0	0	0		
//	214	1	타겟공격	10408	T	0	0	0	Null	0	0	0	0		
//															
	301	1	큇슬롯확장	10409	-	0	0	0	Null	0	0	0	0		
	302	1	큇슬롯반전	10410	~	0	0	0	Null	0	0	0	0		
//	301	1	큇슬롯확장	10409	^	0	0	0	Null	0	0	0	0	//일본	
//	302	1	큇슬롯반전	10410	-	0	0	0	Null	0	0	0	0	//일본	
	303	1	퀵슬롯1사용	10411	1	0	0	0	Null	0	0	0	0		
	304	1	퀵슬롯2사용	10412	2	0	0	0	Null	0	0	0	0		
	305	1	퀵슬롯3사용	10413	3	0	0	0	Null	0	0	0	0		
	306	1	퀵슬롯4사용	10414	4	0	0	0	Null	0	0	0	0		
	307	1	퀵슬롯5사용	10415	5	0	0	0	Null	0	0	0	0		
	308	1	퀵슬롯6사용	10416	6	0	0	0	Null	0	0	0	0		
	309	1	퀵슬롯7사용	10417	7	0	0	0	Null	0	0	0	0		
	310	1	퀵슬롯8사용	10418	8	0	0	0	Null	0	0	0	0		
	311	1	퀵슬롯9사용	10419	9	0	0	0	Null	0	0	0	0		
	312	1	퀵슬롯10사용	10420	0	0	0	0	Null	0	0	0	0		
	313	1	퀵슬롯11사용	10421	1	0	0	1	Null	0	0	0	0		
