//조합스크립트						아이템타입	분류카운터						클래스스트링코드																																					
//			"* Index(조합코드) 수정하셔도 상관 없으니, 가능한 카테고리 유지하면서 작업해 주세요"										10074 : 버서커																																					
//													10075 : 드래곤																																					
//			* 클래스 우선순위 지켜주세요										10076 : 발키리																																					
//			"  - 버서커, 드래곤, 발키리, 엘리, 섀도우, 미스틱 순"										10077 : 엘리																																					
//			* 방어구 우선순위 지켜주세요										10078 : 섀도우																																					
//			"  - 갑옷, 바지, 헬멧, 장갑, 부츠, 프텍, 벨트, 셔츠 순"										10002 : 미스틱																																					
//			"  - 갑옷, 바지, 헬멧, 장갑, 부츠, 프텍, 벨트, 셔츠 순"										10006 : 헬로이드																																					
//							1302			1302	1302	1302	1302	1302	1302																																			
//설명	조합코드	이름	네임코드	캐릭터클래스	길드클래스	아이템타입	분류카운터	분류카테고리1	분류스트링코드1	분류카테고리2	분류스트링코드2	분류카테고리3	분류스트링코드3	분류카테고리4	분류스트링코드4	재료1	재료1등급	재료1개수	재료2	재료2등급	재료2개수	재료3	재료3등급	재료3개수	재료4	재료4등급	재료4개수	재료5	재료5등급	재료5개수	재료6	재료6등급	재료6개수	소모돈	성공확율	보상타입	보상아이템	보상아이템등급	보상아이템수	조합가능맵1	조합가능맵2	조합가능맵3	조합가능맵4	조합가능맵5	조합가능맵6	조합가능맵7	조합가능맵8	조합가능맵9	조합가능맵10	
	Code	Name	Ncode	LimitCharClass	LimitGuildClass	ItemType	CategorySubCount	bCategory1	Category1_Scode	bCategory2	Category2_Scode	bCategory3	Category3_Scode	bCategory4	Category4_Scode	MaterialCode1	IGType1	MaterialCount1	MaterialCode2	IGType2	MaterialCount2	MaterialCode3	IGType3	MaterialCount3	MaterialCode4	IGType4	MaterialCount4	MaterialCode5	IGType5	MaterialCount5	MaterialCode6	IGType6	MaterialCount6	Money	SuccessRatio	bResultType	ResultItemCode	ResultIGType	ResultItemCount	AllowedMapCode00	AllowedMapCode01	AllowedMapCode02	AllowedMapCode03	AllowedMapCode04	AllowedMapCode05	AllowedMapCode06	AllowedMapCode07	AllowedMapCode08	AllowedMapCode09	FieldEnd
//1. 물약 아이템 (1~50)																													0			0						0												
//1-1 회복물약 제작 (1~10)																																																		
	1	회복물약(Lv4)	40124	0	0	0	3	1	9444	1	159571	1	40124	0	0	4952	0	2	6874	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1000 	100	1	4004	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	2	회복물약(Lv5)	40225	0	0	0	3	1	9444	1	159571	2	40225	0	0	4952	0	3	6874	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2500 	100	1	4131	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	3	회복물약(Lv6)	40226	0	0	0	3	1	9444	1	159571	3	40226	0	0	4952	0	5	6874	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5000 	100	1	4132	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
//1-2 즉시회복물약 제작 (11~20)			0																																															
	11	즉시회복물약(Lv3)	40223	0	0	0	3	1	9444	2	91502	1	40223	0	0	4953	0	2	6874	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1000 	100	1	4121	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	12	즉시회복물약(Lv4)	40224	0	0	0	3	1	9444	2	91502	2	40224	0	0	4953	0	3	6874	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2500 	100	1	4122	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	13	즉시회복물약(Lv5)	40227	0	0	0	3	1	9444	2	91502	3	40227	0	0	4953	0	5	6874	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5000 	100	1	4133	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
//1-3 여신의물약 제작 (21~30)			0																																															
	21	여신의물약(Lv1)	47760	0	0	0	3	1	9444	3	9059	1	47760	0	0	4965	0	10	6874	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2500 	100	1	4045	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
