//장비평점스크립트															
//최초작성자 : 김준호															
//															
//1 기본 평점	아이템 레벨		무기	갑옷	프로텍터	헬멧	바지	부츠	장갑	벨트	셔츠				
//2 디바인 평점	아이템 레벨		무기	갑옷	프로텍터	헬멧	바지	부츠	장갑	벨트	셔츠				
//3 인챈트 평점	인챈트 등급		무기	방어구	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함				
//4 엑스트라스톤 평점	엑스트라스톤 개수		무기	방어구	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함				
//5 소켓 평점	쟈드 포인트		공통	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함				
//6 옵션 평점	옵션 코드		수치타입1	수치타입2	양수/음수	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함				
//7 각성 평점	사용안함		공격력	방어력	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함				
//대분류	소분류	이름	값1	값2	값3	값4	값5	값6	값7	값8	값9				
LGroup	SGroup	Name	Value1	Value2	Value3	Value4	Value5	Value6	Value7	Value8	Value9	FieldEnd	//	무기상수값	방어구상수값
1	1	아이템레벨1(일반1차)	50.00 	6.40 	5.20 	4.80 	4.00 	3.20 	2.80 	2.00 	1.20 		//	0.50 	0.40 
1	2	아이템레벨2(일반2차)	58.50 	10.00 	8.00 	7.20 	6.00 	5.20 	4.00 	3.20 	2.00 		//	0.50 	0.40 
1	3	아이템레벨3(일반3차)	68.50 	14.40 	11.60 	10.00 	8.80 	7.20 	5.60 	4.40 	2.80 		//	0.50 	0.40 
1	4	아이템레벨4(일반4차)	80.00 	19.20 	15.60 	13.60 	11.60 	9.60 	7.60 	6.00 	4.00 		//	0.50 	0.40 
1	5	아이템레벨5(일반5차)	93.50 	25.20 	20.00 	17.60 	15.20 	12.40 	10.00 	7.60 	5.20 		//	0.50 	0.40 
1	6	아이템레벨6(일반6차)	109.50 	31.60 	25.20 	22.00 	18.80 	15.60 	12.40 	9.60 	6.40 		//	0.50 	0.40 
1	7	아이템레벨7(일반7차)	128.50 	38.40 	30.80 	27.20 	23.20 	19.20 	15.60 	11.60 	7.60 		//	0.50 	0.40 
1	8	아이템레벨8(일반8차)	150.00 	46.40 	37.20 	32.40 	28.00 	23.20 	18.40 	14.00 	9.20 		//	0.50 	0.40 
1	9	아이템레벨9(일반9차)	175.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 		//		
1	10	아이템레벨10(일반10차)	205.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 		//		
1	11	아이템레벨11(일반11차)	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 		//		
1	12	아이템레벨12(일반12차)	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 		//		
1	13	아이템레벨13(레어1차)	120.50 	21.20 	17.20 	14.80 	12.80 	10.40 	8.40 	6.80 	4.40 		//		
1	14	아이템레벨14(레어2차)	141.50 	27.60 	22.00 	19.20 	16.80 	13.60 	11.20 	8.40 	5.60 		//		
1	15	아이템레벨15(레어3차)	165.00 	34.80 	27.60 	24.40 	20.80 	17.20 	13.60 	10.40 	7.20 		//		
1	16	아이템레벨16(레어4차)	193.00 	42.40 	34.00 	30.00 	25.60 	21.20 	17.20 	12.80 	8.40 		//		
1	17	아이템레벨17(레어5차)	226.00 	51.20 	40.80 	35.60 	30.80 	25.60 	20.40 	15.60 	10.00 		//		
1	18	아이템레벨18(레어6차)	264.50 	60.40 	48.40 	42.40 	36.00 	30.40 	24.40 	18.00 	12.00 		//		
1	19	아이템레벨19(레어7차)	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 		//		
1	20	아이템레벨20(레어8차)	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 		//		
1	21	아이템레벨21(얼티메이트)	309.32 	70.40 	56.40 	49.20 	42.40 	35.20 	28.00 	21.20 	14.00 		//	0.55 	0.44
1	22	아이템레벨22(미완의엘리트)	0.00 	81.60 	65.20 	57.20 	48.80 	40.80 	32.40 	24.80 	16.40 		//	0.55 	0.44
1	23	아이템레벨23(엘리트1차)	309.32 	93.20 	74.80 	65.20 	56.00 	46.80 	37.60 	28.00 	18.40 		//	0.55 	0.44
1	24	아이템레벨24(엘리트1.5차)	361.90 	105.20 	84.00 	73.60 	62.80 	52.40 	42.00 	31.60 	21.20 		//	0.55 	0.44
1	25	아이템레벨25(엘리트2차)	423.50 	116.80 	93.20 	82.00 	70.00 	58.40 	46.80 	35.20 	23.20 		//	0.55 	0.44
1	26	아이템레벨26(엘리트2.5차)	495.41 	128.48 	102.96 	89.76 	77.00 	64.24 	51.48 	38.72 	25.52 		//	0.55 	0.44
1	27	아이템레벨27(엘리트3차)	580.00 	140.36 	112.20 	98.12 	84.04 	69.96 	55.88 	42.24 	28.00 		//	0.55 	0.44
1	28	아이템레벨28(엘리트3.5차)	678.16 	152.10 	121.64 	106.32 	91.07 	75.82 	60.51 	45.81 	30.42 		//	0.55 	0.44
1	29	아이템레벨28(엘리트4차)	793.46 	163.85 	131.03 	114.53 	98.10 	81.67 	65.18 	49.35 	32.77 		//		
1	30	아이템레벨29(엘리트5차)	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 		//		
1	33	아이템레벨33(유니크1차)	495.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 		//		
1	34	아이템레벨34(유니크1.5차)	579.60 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 		//		
1	35	아이템레벨35(유니크2차)	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 		//		
1	36	아이템레벨36(유니크3차)	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 		//		
1	37	아이템레벨37(유니크4차)	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 		//		
1	38	아이템레벨38(유니크5차)	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 		//		
