//미션보상 스크립트_Kr									
//			1. 버버						
//			2. 드나						
//	??		3. 쉐도우						
//			4. 발키리	"플레이어가 완료한 미션 횟수와 bMissionNum이 같을 경우, 해당 RewardCode1에 해당하는 보상이 주어진다. (반드시 같을 경우만임.)"					
//			5. 엘리	"bMissionNum이3이고, wRewardCode1이 10일 경우, 플레이어가 미션을 3번째 완료하는 순간부터,(bMissionNum이3) 10번에 해당하는 보상이 주어진다."					
//	//World 의 MapCode참조		6. 미스틱	"미션 완료횟수1,2,3은 절대 같을 수 없다. 같으면 안되며, 반드시 1,2,3이 순차적으로 증가해야한다."					
//			7. 헬로이드						
//미션 스크립트 실제 구성			8. 위치블레이드	미션완료횟수1					
//설명	미션번호	주석	클래스코드	미션완료횟수1	보상코드1	미션완료횟수2	보상코드2	미션완료횟수3	보상코드3
	dwIndex	sDesc	dwClassCode	bMissionNum1	wRewardCode1	bMissionNum2	wRewardCode2	bMissionNum3	wRewardCode3
	1 	야수들의숲(메인)	1 	1 	50001 	2 	50011 	41 	50021 
	1 	야수들의숲(메인)	2 	1 	50002 	2 	50011 	41 	50021 
	1 	야수들의숲(메인)	3 	1 	50003 	2 	50011 	41 	50021 
	1 	야수들의숲(메인)	4 	1 	50004 	2 	50011 	41 	50021 
	1 	야수들의숲(메인)	5 	1 	50005 	2 	50011 	41 	50021 
	1 	야수들의숲(메인)	6 	1 	50006 	2 	50011 	41 	50021 
	1 	야수들의숲(메인)	7 	1 	50007 	2 	50011 	41 	50021 
	1 	야수들의숲(메인)	8 	1 	50008 	2 	50011 	41 	50021 
	2 	야수들의숲(서브1)	1 	1 	50101 	2 	50111 	41 	50121 
	2 	야수들의숲(서브1)	2 	1 	50102 	2 	50111 	41 	50121 
	2 	야수들의숲(서브1)	3 	1 	50103 	2 	50111 	41 	50121 
	2 	야수들의숲(서브1)	4 	1 	50104 	2 	50111 	41 	50121 
	2 	야수들의숲(서브1)	5 	1 	50105 	2 	50111 	41 	50121 
	2 	야수들의숲(서브1)	6 	1 	50106 	2 	50111 	41 	50121 
	2 	야수들의숲(서브1)	7 	1 	50107 	2 	50111 	41 	50121 
	2 	야수들의숲(서브1)	8 	1 	50108 	2 	50111 	41 	50121 
	3 	야수들의숲(서브2)	1 	1 	50201 	2 	50211 	41 	50221 
	3 	야수들의숲(서브2)	2 	1 	50202 	2 	50211 	41 	50221 
	3 	야수들의숲(서브2)	3 	1 	50203 	2 	50211 	41 	50221 
	3 	야수들의숲(서브2)	4 	1 	50204 	2 	50211 	41 	50221 
	3 	야수들의숲(서브2)	5 	1 	50205 	2 	50211 	41 	50221 
	3 	야수들의숲(서브2)	6 	1 	50206 	2 	50211 	41 	50221 
	3 	야수들의숲(서브2)	7 	1 	50207 	2 	50211 	41 	50221 
	3 	야수들의숲(서브2)	8 	1 	50208 	2 	50211 	41 	50221 
	4 	야수들의숲(서브3)	1 	1 	50301 	2 	50311 	41 	50321 
	4 	야수들의숲(서브3)	2 	1 	50302 	2 	50311 	41 	50321 
	4 	야수들의숲(서브3)	3 	1 	50303 	2 	50311 	41 	50321 
	4 	야수들의숲(서브3)	4 	1 	50304 	2 	50311 	41 	50321 
	4 	야수들의숲(서브3)	5 	1 	50305 	2 	50311 	41 	50321 
	4 	야수들의숲(서브3)	6 	1 	50306 	2 	50311 	41 	50321 
	4 	야수들의숲(서브3)	7 	1 	50307 	2 	50311 	41 	50321 
	4 	야수들의숲(서브3)	8 	1 	50308 	2 	50311 	41 	50321 
//	5 	야수들의숲(서브4)	1 	1 	50401 	2 	50411 	41 	50421 
//	5 	야수들의숲(서브4)	2 	1 	50402 	2 	50411 	41 	50421 
//	5 	야수들의숲(서브4)	3 	1 	50403 	2 	50411 	41 	50421 
//	5 	야수들의숲(서브4)	4 	1 	50404 	2 	50411 	41 	50421 
//	5 	야수들의숲(서브4)	5 	1 	50405 	2 	50411 	41 	50421 
//	5 	야수들의숲(서브4)	6 	1 	50405 	2 	50411 	41 	50421 
//	5 	야수들의숲(서브4)	7 	1 	50405 	2 	50411 	41 	50421 
//	5 	야수들의숲(서브4)	8 	1 	50405 	2 	50411 	41 	50421 
	6 	지하수로(메인)	1 	1 	51001 	2 	51011 	41 	51021 
	6 	지하수로(메인)	2 	1 	51002 	2 	51011 	41 	51021 
	6 	지하수로(메인)	3 	1 	51003 	2 	51011 	41 	51021 
	6 	지하수로(메인)	4 	1 	51004 	2 	51011 	41 	51021 
	6 	지하수로(메인)	5 	1 	51005 	2 	51011 	41 	51021 
	6 	지하수로(메인)	6 	1 	51006 	2 	51011 	41 	51021 
	6 	지하수로(메인)	7 	1 	51007 	2 	51011 	41 	51021 
	6 	지하수로(메인)	8 	1 	51008 	2 	51011 	41 	51021 
	7 	지하수로(서브1)	1 	1 	51101 	2 	51111 	41 	51121 
	7 	지하수로(서브1)	2 	1 	51102 	2 	51111 	41 	51121 
	7 	지하수로(서브1)	3 	1 	51103 	2 	51111 	41 	51121 
	7 	지하수로(서브1)	4 	1 	51104 	2 	51111 	41 	51121 
	7 	지하수로(서브1)	5 	1 	51105 	2 	51111 	41 	51121 
	7 	지하수로(서브1)	6 	1 	51106 	2 	51111 	41 	51121 
	7 	지하수로(서브1)	7 	1 	51107 	2 	51111 	41 	51121 
	7 	지하수로(서브1)	8 	1 	51108 	2 	51111 	41 	51121 
	8 	지하수로(서브2)	1 	1 	51201 	2 	51211 	41 	51221 
	8 	지하수로(서브2)	2 	1 	51202 	2 	51211 	41 	51221 
	8 	지하수로(서브2)	3 	1 	51203 	2 	51211 	41 	51221 
	8 	지하수로(서브2)	4 	1 	51204 	2 	51211 	41 	51221 
	8 	지하수로(서브2)	5 	1 	51205 	2 	51211 	41 	51221 
	8 	지하수로(서브2)	6 	1 	51206 	2 	51211 	41 	51221 
	8 	지하수로(서브2)	7 	1 	51207 	2 	51211 	41 	51221 
	8 	지하수로(서브2)	8 	1 	51208 	2 	51211 	41 	51221 
	9 	지하수로(서브3)	1 	1 	51301 	2 	51311 	41 	51321 
	9 	지하수로(서브3)	2 	1 	51302 	2 	51311 	41 	51321 
	9 	지하수로(서브3)	3 	1 	51303 	2 	51311 	41 	51321 
	9 	지하수로(서브3)	4 	1 	51304 	2 	51311 	41 	51321 
	9 	지하수로(서브3)	5 	1 	51305 	2 	51311 	41 	51321 
	9 	지하수로(서브3)	6 	1 	51306 	2 	51311 	41 	51321 
	9 	지하수로(서브3)	7 	1 	51307 	2 	51311 	41 	51321 
	9 	지하수로(서브3)	8 	1 	51308 	2 	51311 	41 	51321 
//	10 	지하수로(서브4)	1 	1 	51401 	2 	51411 	41 	51421 
//	10 	지하수로(서브4)	2 	1 	51402 	2 	51411 	41 	51421 
//	10 	지하수로(서브4)	3 	1 	51403 	2 	51411 	41 	51421 
//	10 	지하수로(서브4)	4 	1 	51404 	2 	51411 	41 	51421 
//	10 	지하수로(서브4)	5 	1 	51405 	2 	51411 	41 	51421 
//	10 	지하수로(서브4)	6 	1 	51405 	2 	51411 	41 	51421 
//	10 	지하수로(서브4)	7 	1 	51405 	2 	51411 	41 	51421 
//	10 	지하수로(서브4)	8 	1 	51405 	2 	51411 	41 	51421 
	11 	설원(메인)	1 	1 	52001 	2 	52011 	41 	52021 
	11 	설원(메인)	2 	1 	52002 	2 	52011 	41 	52021 
	11 	설원(메인)	3 	1 	52003 	2 	52011 	41 	52021 
	11 	설원(메인)	4 	1 	52004 	2 	52011 	41 	52021 
	11 	설원(메인)	5 	1 	52005 	2 	52011 	41 	52021 
	11 	설원(메인)	6 	1 	52006 	2 	52011 	41 	52021 
	11 	설원(메인)	7 	1 	52007 	2 	52011 	41 	52021 
	11 	설원(메인)	8 	1 	52008 	2 	52011 	41 	52021 
	12 	설원(서브1)	1 	1 	52101 	2 	52111 	41 	52121 
	12 	설원(서브1)	2 	1 	52102 	2 	52111 	41 	52121 
	12 	설원(서브1)	3 	1 	52103 	2 	52111 	41 	52121 
	12 	설원(서브1)	4 	1 	52104 	2 	52111 	41 	52121 
	12 	설원(서브1)	5 	1 	52105 	2 	52111 	41 	52121 
	12 	설원(서브1)	6 	1 	52106 	2 	52111 	41 	52121 
	12 	설원(서브1)	7 	1 	52107 	2 	52111 	41 	52121 
	12 	설원(서브1)	8 	1 	52108 	2 	52111 	41 	52121 
	13 	설원(서브2)	1 	1 	52201 	2 	52211 	41 	52221 
	13 	설원(서브2)	2 	1 	52202 	2 	52211 	41 	52221 
	13 	설원(서브2)	3 	1 	52203 	2 	52211 	41 	52221 
	13 	설원(서브2)	4 	1 	52204 	2 	52211 	41 	52221 
	13 	설원(서브2)	5 	1 	52205 	2 	52211 	41 	52221 
	13 	설원(서브2)	6 	1 	52206 	2 	52211 	41 	52221 
	13 	설원(서브2)	7 	1 	52207 	2 	52211 	41 	52221 
	13 	설원(서브2)	8 	1 	52208 	2 	52211 	41 	52221 
	14 	설원(서브3)	1 	1 	52301 	2 	52311 	41 	52321 
	14 	설원(서브3)	2 	1 	52302 	2 	52311 	41 	52321 
	14 	설원(서브3)	3 	1 	52303 	2 	52311 	41 	52321 
	14 	설원(서브3)	4 	1 	52304 	2 	52311 	41 	52321 
	14 	설원(서브3)	5 	1 	52305 	2 	52311 	41 	52321 
	14 	설원(서브3)	6 	1 	52306 	2 	52311 	41 	52321 
	14 	설원(서브3)	7 	1 	52307 	2 	52311 	41 	52321 
	14 	설원(서브3)	8 	1 	52308 	2 	52311 	41 	52321 
//	15 	설원(서브4)	1 	1 	52401 	2 	52411 	41 	52421 
//	15 	설원(서브4)	2 	1 	52402 	2 	52411 	41 	52421 
//	15 	설원(서브4)	3 	1 	52403 	2 	52411 	41 	52421 
//	15 	설원(서브4)	4 	1 	52404 	2 	52411 	41 	52421 
//	15 	설원(서브4)	5 	1 	52405 	2 	52411 	41 	52421 
//	15 	설원(서브4)	6 	1 	52405 	2 	52411 	41 	52421 
//	15 	설원(서브4)	7 	1 	52405 	2 	52411 	41 	52421 
//	15 	설원(서브4)	8 	1 	52405 	2 	52411 	41 	52421 
	16 	용족(메인)	1 	1 	53001 	2 	53011 	41 	53021 
	16 	용족(메인)	2 	1 	53002 	2 	53011 	41 	53021 
	16 	용족(메인)	3 	1 	53003 	2 	53011 	41 	53021 
	16 	용족(메인)	4 	1 	53004 	2 	53011 	41 	53021 
	16 	용족(메인)	5 	1 	53005 	2 	53011 	41 	53021 
	16 	용족(메인)	6 	1 	53006 	2 	53011 	41 	53021 
	16 	용족(메인)	7 	1 	53007 	2 	53011 	41 	53021 
	16 	용족(메인)	8 	1 	53008 	2 	53011 	41 	53021 
	17 	용족(서브1)	1 	1 	53101 	2 	53111 	41 	53121 
	17 	용족(서브1)	2 	1 	53102 	2 	53111 	41 	53121 
	17 	용족(서브1)	3 	1 	53103 	2 	53111 	41 	53121 
	17 	용족(서브1)	4 	1 	53104 	2 	53111 	41 	53121 
	17 	용족(서브1)	5 	1 	53105 	2 	53111 	41 	53121 
	17 	용족(서브1)	6 	1 	53106 	2 	53111 	41 	53121 
	17 	용족(서브1)	7 	1 	53107 	2 	53111 	41 	53121 
	17 	용족(서브1)	8 	1 	53108 	2 	53111 	41 	53121 
	18 	용족(서브2)	1 	1 	53201 	2 	53211 	41 	53221 
	18 	용족(서브2)	2 	1 	53202 	2 	53211 	41 	53221 
	18 	용족(서브2)	3 	1 	53203 	2 	53211 	41 	53221 
	18 	용족(서브2)	4 	1 	53204 	2 	53211 	41 	53221 
	18 	용족(서브2)	5 	1 	53205 	2 	53211 	41 	53221 
	18 	용족(서브2)	6 	1 	53206 	2 	53211 	41 	53221 
	18 	용족(서브2)	7 	1 	53207 	2 	53211 	41 	53221 
	18 	용족(서브2)	8 	1 	53208 	2 	53211 	41 	53221 
	19 	용족(서브3)	1 	1 	53301 	2 	53311 	41 	53321 
	19 	용족(서브3)	2 	1 	53302 	2 	53311 	41 	53321 
	19 	용족(서브3)	3 	1 	53303 	2 	53311 	41 	53321 
	19 	용족(서브3)	4 	1 	53304 	2 	53311 	41 	53321 
	19 	용족(서브3)	5 	1 	53305 	2 	53311 	41 	53321 
	19 	용족(서브3)	6 	1 	53306 	2 	53311 	41 	53321 
	19 	용족(서브3)	7 	1 	53307 	2 	53311 	41 	53321 
	19 	용족(서브3)	8 	1 	53308 	2 	53311 	41 	53321 
//	20 	용족(서브4)	1 	1 	53401 	2 	53411 	41 	53421 
//	20 	용족(서브4)	2 	1 	53402 	2 	53411 	41 	53421 
//	20 	용족(서브4)	3 	1 	53403 	2 	53411 	41 	53421 
//	20 	용족(서브4)	4 	1 	53404 	2 	53411 	41 	53421 
//	20 	용족(서브4)	5 	1 	53405 	2 	53411 	41 	53421 
//	20 	용족(서브4)	6 	1 	53405 	2 	53411 	41 	53421 
//	20 	용족(서브4)	7 	1 	53405 	2 	53411 	41 	53421 
//	20 	용족(서브4)	8 	1 	53405 	2 	53411 	41 	53421 
	21 	아이올트(메인)	1 	1 	54001 	2 	54011 	41 	54021 
	21 	아이올트(메인)	2 	1 	54002 	2 	54011 	41 	54021 
	21 	아이올트(메인)	3 	1 	54003 	2 	54011 	41 	54021 
	21 	아이올트(메인)	4 	1 	54004 	2 	54011 	41 	54021 
	21 	아이올트(메인)	5 	1 	54005 	2 	54011 	41 	54021 
	21 	아이올트(메인)	6 	1 	54006 	2 	54011 	41 	54021 
	21 	아이올트(메인)	7 	1 	54007 	2 	54011 	41 	54021 
	21 	아이올트(메인)	8 	1 	54008 	2 	54011 	41 	54021 
	22 	아이올트(서브1)	1 	1 	54101 	2 	54111 	41 	54121 
	22 	아이올트(서브1)	2 	1 	54102 	2 	54111 	41 	54121 
	22 	아이올트(서브1)	3 	1 	54103 	2 	54111 	41 	54121 
	22 	아이올트(서브1)	4 	1 	54104 	2 	54111 	41 	54121 
	22 	아이올트(서브1)	5 	1 	54105 	2 	54111 	41 	54121 
	22 	아이올트(서브1)	6 	1 	54106 	2 	54111 	41 	54121 
	22 	아이올트(서브1)	7 	1 	54107 	2 	54111 	41 	54121 
	22 	아이올트(서브1)	8 	1 	54108 	2 	54111 	41 	54121 
	23 	아이올트(서브2)	1 	1 	54201 	2 	54211 	41 	54221 
	23 	아이올트(서브2)	2 	1 	54202 	2 	54211 	41 	54221 
	23 	아이올트(서브2)	3 	1 	54203 	2 	54211 	41 	54221 
	23 	아이올트(서브2)	4 	1 	54204 	2 	54211 	41 	54221 
	23 	아이올트(서브2)	5 	1 	54205 	2 	54211 	41 	54221 
	23 	아이올트(서브2)	6 	1 	54206 	2 	54211 	41 	54221 
	23 	아이올트(서브2)	7 	1 	54207 	2 	54211 	41 	54221 
	23 	아이올트(서브2)	8 	1 	54208 	2 	54211 	41 	54221 
	24 	아이올트(서브3)	1 	1 	54301 	2 	54311 	41 	54321 
	24 	아이올트(서브3)	2 	1 	54302 	2 	54311 	41 	54321 
	24 	아이올트(서브3)	3 	1 	54303 	2 	54311 	41 	54321 
	24 	아이올트(서브3)	4 	1 	54304 	2 	54311 	41 	54321 
	24 	아이올트(서브3)	5 	1 	54305 	2 	54311 	41 	54321 
	24 	아이올트(서브3)	6 	1 	54306 	2 	54311 	41 	54321 
	24 	아이올트(서브3)	7 	1 	54307 	2 	54311 	41 	54321 
	24 	아이올트(서브3)	8 	1 	54308 	2 	54311 	41 	54321 
	25 	아이올트(서브4)	1 	1 	54401 	2 	54411 	41 	54421 
	25 	아이올트(서브4)	2 	1 	54402 	2 	54411 	41 	54421 
	25 	아이올트(서브4)	3 	1 	54403 	2 	54411 	41 	54421 
	25 	아이올트(서브4)	4 	1 	54404 	2 	54411 	41 	54421 
	25 	아이올트(서브4)	5 	1 	54405 	2 	54411 	41 	54421 
	25 	아이올트(서브4)	6 	1 	54406 	2 	54411 	41 	54421 
	25 	아이올트(서브4)	7 	1 	54407 	2 	54411 	41 	54421 
	25 	아이올트(서브4)	8 	1 	54408 	2 	54411 	41 	54421 
	26 	헬론(메인)	1 	1 	62401 	2 	62402 	41 	62403 
	26 	헬론(메인)	2 	1 	62404 	2 	62402 	41 	62403 
	26 	헬론(메인)	3 	1 	62405 	2 	62402 	41 	62403 
	26 	헬론(메인)	4 	1 	62406 	2 	62402 	41 	62403 
	26 	헬론(메인)	5 	1 	62407 	2 	62402 	41 	62403 
	26 	헬론(메인)	6 	1 	62408 	2 	62402 	41 	62403 
	26 	헬론(메인)	7 	1 	62409 	2 	62402 	41 	62403 
	26 	헬론(메인)	8 	1 	62410 	2 	62402 	41 	62403 
	27 	헬론(서브1)	1 	1 	62411 	2 	62412 	41 	62413 
	27 	헬론(서브1)	2 	1 	62414 	2 	62412 	41 	62413 
	27 	헬론(서브1)	3 	1 	62415 	2 	62412 	41 	62413 
	27 	헬론(서브1)	4 	1 	62416 	2 	62412 	41 	62413 
	27 	헬론(서브1)	5 	1 	62417 	2 	62412 	41 	62413 
	27 	헬론(서브1)	6 	1 	62418 	2 	62412 	41 	62413 
	27 	헬론(서브1)	7 	1 	62419 	2 	62412 	41 	62413 
	27 	헬론(서브1)	8 	1 	62420 	2 	62412 	41 	62413 
	28 	헬론(서브2)	1 	1 	62421 	2 	62422 	41 	62423 
	28 	헬론(서브2)	2 	1 	62424 	2 	62422 	41 	62423 
	28 	헬론(서브2)	3 	1 	62425 	2 	62422 	41 	62423 
	28 	헬론(서브2)	4 	1 	62426 	2 	62422 	41 	62423 
	28 	헬론(서브2)	5 	1 	62427 	2 	62422 	41 	62423 
	28 	헬론(서브2)	6 	1 	62428 	2 	62422 	41 	62423 
	28 	헬론(서브2)	7 	1 	62429 	2 	62422 	41 	62423 
	28 	헬론(서브2)	8 	1 	62430 	2 	62422 	41 	62423 
	29 	헬론(서브3)	1 	1 	62431 	2 	62432 	41 	62433 
	29 	헬론(서브3)	2 	1 	62434 	2 	62432 	41 	62433 
	29 	헬론(서브3)	3 	1 	62435 	2 	62432 	41 	62433 
	29 	헬론(서브3)	4 	1 	62436 	2 	62432 	41 	62433 
	29 	헬론(서브3)	5 	1 	62437 	2 	62432 	41 	62433 
	29 	헬론(서브3)	6 	1 	62438 	2 	62432 	41 	62433 
	29 	헬론(서브3)	7 	1 	62439 	2 	62432 	41 	62433 
	29 	헬론(서브3)	8 	1 	62440 	2 	62432 	41 	62433 
//	30 	헬론(서브4)	1 	1 	55401 	2 	55411 	41 	55421 
//	30 	헬론(서브4)	2 	1 	55402 	2 	55411 	41 	55421 
//	30 	헬론(서브4)	3 	1 	55403 	2 	55411 	41 	55421 
//	30 	헬론(서브4)	4 	1 	55404 	2 	55411 	41 	55421 
//	30 	헬론(서브4)	5 	1 	55405 	2 	55411 	41 	55421 
//	30 	헬론(서브4)	6 	1 	55406 	2 	55411 	41 	55421 
//	30 	헬론(서브4)	7 	1 	55407 	2 	55411 	41 	55421 
//	30 	헬론(서브4)	8 	1 	55408 	2 	55411 	41 	55421 
	32 	녹음의대지(메인)	1 	1 	62441 	2 	62442 	41 	62443 
	32 	녹음의대지(메인)	2 	1 	62444 	2 	62442 	41 	62443 
	32 	녹음의대지(메인)	3 	1 	62445 	2 	62442 	41 	62443 
	32 	녹음의대지(메인)	4 	1 	62446 	2 	62442 	41 	62443 
	32 	녹음의대지(메인)	5 	1 	62447 	2 	62442 	41 	62443 
	32 	녹음의대지(메인)	6 	1 	62447 	2 	62442 	41 	62443 
	32 	녹음의대지(메인)	7 	1 	62447 	2 	62442 	41 	62443 
	32 	녹음의대지(메인)	8 	1 	62447 	2 	62442 	41 	62443 
	33 	녹음의대지(서브1)	1 	1 	62448 	2 	62449 	41 	62450 
	33 	녹음의대지(서브1)	2 	1 	62451 	2 	62449 	41 	62450 
	33 	녹음의대지(서브1)	3 	1 	62452 	2 	62449 	41 	62450 
	33 	녹음의대지(서브1)	4 	1 	62453 	2 	62449 	41 	62450 
	33 	녹음의대지(서브1)	5 	1 	62454 	2 	62449 	41 	62450 
	33 	녹음의대지(서브1)	6 	1 	62454 	2 	62449 	41 	62450 
	33 	녹음의대지(서브1)	7 	1 	62454 	2 	62449 	41 	62450 
	33 	녹음의대지(서브1)	8 	1 	62454 	2 	62449 	41 	62450 
	34 	녹음의대지(서브2)	1 	1 	62455 	2 	62456 	41 	62457 
	34 	녹음의대지(서브2)	2 	1 	62458 	2 	62456 	41 	62457 
	34 	녹음의대지(서브2)	3 	1 	62459 	2 	62456 	41 	62457 
	34 	녹음의대지(서브2)	4 	1 	62460 	2 	62456 	41 	62457 
	34 	녹음의대지(서브2)	5 	1 	62461 	2 	62456 	41 	62457 
	34 	녹음의대지(서브2)	6 	1 	62461 	2 	62456 	41 	62457 
	34 	녹음의대지(서브2)	7 	1 	62461 	2 	62456 	41 	62457 
	34 	녹음의대지(서브2)	8 	1 	62461 	2 	62456 	41 	62457 
	35 	정령들의쉼터(메인)	1 	1 	62462 	2 	62463 	41 	62464 
	35 	정령들의쉼터(메인)	2 	1 	62465 	2 	62463 	41 	62464 
	35 	정령들의쉼터(메인)	3 	1 	62466 	2 	62463 	41 	62464 
	35 	정령들의쉼터(메인)	4 	1 	62467 	2 	62463 	41 	62464 
	35 	정령들의쉼터(메인)	5 	1 	62468 	2 	62463 	41 	62464 
	35 	정령들의쉼터(메인)	6 	1 	62468 	2 	62463 	41 	62464 
	35 	정령들의쉼터(메인)	7 	1 	62468 	2 	62463 	41 	62464 
	35 	정령들의쉼터(메인)	8 	1 	62468 	2 	62463 	41 	62464 
	36 	정령들의쉼터(서브1)	1 	1 	62469 	2 	62470 	41 	62471 
	36 	정령들의쉼터(서브1)	2 	1 	62472 	2 	62470 	41 	62471 
	36 	정령들의쉼터(서브1)	3 	1 	62473 	2 	62470 	41 	62471 
	36 	정령들의쉼터(서브1)	4 	1 	62474 	2 	62470 	41 	62471 
	36 	정령들의쉼터(서브1)	5 	1 	62475 	2 	62470 	41 	62471 
	36 	정령들의쉼터(서브1)	6 	1 	62475 	2 	62470 	41 	62471 
	36 	정령들의쉼터(서브1)	7 	1 	62475 	2 	62470 	41 	62471 
	36 	정령들의쉼터(서브1)	8 	1 	62475 	2 	62470 	41 	62471 
	37 	정령들의쉼터(서브2)	1 	1 	62476 	2 	62477 	41 	62478 
	37 	정령들의쉼터(서브2)	2 	1 	62479 	2 	62477 	41 	62478 
	37 	정령들의쉼터(서브2)	3 	1 	62480 	2 	62477 	41 	62478 
	37 	정령들의쉼터(서브2)	4 	1 	62481 	2 	62477 	41 	62478 
	37 	정령들의쉼터(서브2)	5 	1 	62482 	2 	62477 	41 	62478 
	37 	정령들의쉼터(서브2)	6 	1 	62482 	2 	62477 	41 	62478 
	37 	정령들의쉼터(서브2)	7 	1 	62482 	2 	62477 	41 	62478 
	37 	정령들의쉼터(서브2)	8 	1 	62482 	2 	62477 	41 	62478 
	38 	보레아스산맥(메인)	1 	1 	62483 	2 	62484 	41 	62485 
	38 	보레아스산맥(메인)	2 	1 	62486 	2 	62484 	41 	62485 
	38 	보레아스산맥(메인)	3 	1 	62487 	2 	62484 	41 	62485 
	38 	보레아스산맥(메인)	4 	1 	62488 	2 	62484 	41 	62485 
	38 	보레아스산맥(메인)	5 	1 	62489 	2 	62484 	41 	62485 
	38 	보레아스산맥(메인)	6 	1 	62489 	2 	62484 	41 	62485 
	38 	보레아스산맥(메인)	7 	1 	62489 	2 	62484 	41 	62485 
