	//NPC 위치 정보					DisplayType																				
	//																									
	//최초 작성:2005년 7월 9일 																									
	//최종 작성	2016-01-04 11:12																								
	//Version	1.0.2.3																								
	//최종 작성자: 김준호	남준(쉬나이더위치변경)																								
			//0없음 1상점 2은행 3방생성 4제조 5경비 6워프 7 길드관리 8 길드전																							
			//9하급악세서리제조 10하급특수아이템제조 11상급악세서리제조 12상급특수아이템제조 13스톤제작 14퀘스트 15이벤트 16 미션랭킹관리자 17 개인상점리스트 18포인트랭킹 관리자 19냄비 20뱃지맨 21산타 22수정기둥 23워프2 25하임행운 29지능형NPC																							
	//트링겔 NPC													//이동형NPC가이동할 위치 좌표												
	//World.txt참조	//Field.txt 참조		//몬스터NPC 스크립트 참조	//0 회전 1 비회전					//NPC가 바라보는 방향의 위치			//0 정지형 1이동형 2랜덤형													
	//MapCode	//MAP번호	NPC_TYPE	NPCID	회전 타입	표시타입	위치X좌표	위치Y좌표	위치Z좌표	바라볼위치X	바라볼위치Y	바라볼위치Z	//이동성향	이동할위치X	이동할위치Y	이동할위치Z	//랜덤으로돌아다닐때이동반경(m로체크)	직업텍스트	직업아이콘	유닛번호						
	MapCode	FieldID	NpcType	MonsterCode	RotateType	DisplayType	NPCPos_X	NPCPos_Y	NPCPos_Z	NPCDir_X	NPCDir_Y	NPCDir_Z	MoveType	MovePos_X	MovePos_Y	MovePos_Z	Range	JobStrID	NPCIconID	UnitID	FieldEnd					
	10001	10001	1	62001	0	3	-53.1	30.5	-22.26	-53.1	26.92	-23.09	0	0	0	0	0	160002	37	0		//	유베트(배틀존개설)			
	10001	10001	1	62002	0	3	-13.9	69.83	-24.53	-15.44	69.08	-24.55	0	0	0	0	0	160002	32	0		//	이멜다(발키리상점)			
	10001	10001	2	62003	0	3	-1.72	47.96	-23.29	-3.86	44.85	-23.29	0	0	0	0	0	160005	46	0		//	비요른(창고)			
	10001	10001	1	62004	0	3	-12.3	61.12	-24.76	-14.82	59.65	-24.69	0	0	0	0	0	160002	30	0		//	노멀(버서커상점)			
	10001	10001	1	62005	0	3	-62.17	75.86	-25.19	-61.35	73.85	-25.25	0	0	0	0	0	160002	31	0		//	파브카(드래곤나이트상점)			
	10001	10001	1	62006	0	3	-83.87	62.61	-26.08	-81.62	61	-25.85	0	0	0	0	0	160002	33	0		//	워터레인(엘리멘탈리스트상점)			
	10001	10001	1	62007	0	3	-78.07	2.52	-24.1	-77.47	4.06	-25.06	0	0	0	0	0	160002	37	0		//	드웨인(잡화상점)			
	//10001	10001	4	//62008	0	3							0	0	0	0	0	160003	35	0		//	그리말디(조합)			
	10001	10001	5	62009	0	1	-77.94	-94.41	-24.09	-71.8	-93.86	-24.09	2	0	0	0	7	0	43	0		//	티볼트(마을경비랜덤이동)			
	10001	10001	5	62011	0	1	-71.21	-104.76	-21.06	-71.34	-101.61	-21.99	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10001	10001	5	62012	0	1	-82.87	-103.36	-21.06	-83.48	-99.62	-22.15	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10001	10001	5	62013	0	1	33.74	-88.49	-14.85	29.11	-87.94	-14.95	1	3.19	-92.9	-19.63	0	0	43	0		//	맬콤(마을경비이동형)			
	10001	10001	5	62014	0	1	33.74	-85.21	-14.75	26.86	-84.79	-15.1	1	3.24	-87.42	-20.09	0	0	43	0		//	맬콤(마을경비이동형)			
	10001	10001	5	62015	0	1	30.44	2.49	-13.03	27.98	2.3	-13.44	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10001	10001	5	62016	0	1	30.45	-13.1	-12.89	27.9	-13.2	-13.05	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10001	10001	5	62017	0	1	-19.93	-13.03	-24.14	-23.98	-11.59	-24.13	0	0	0	0	0	0	43	0		//	맬콤(마을경비_게시판옆)			
