//옵션리스트					
//		0 수치			
//		1 비율(%)	0 양수로 넣을 때 이로움		
//		2 시간(초)	1 음수로 넣을 때 이로움		
//코드	옵션이름	값종류	값종류2	이름코드	
Index	OptionName	ValueType	ValueType2	Ncode	FieldEnd
1	공격속도	0	0	11224	
2	공격성공률	1	0	11218	
3	불원소공격력	0	0	11210	
4	물원소공격력	0	0	11207	
5	대지원소공격력	0	0	11209	
6	바람원소공격력	0	0	11208	
7	암흑원소공격력	0	0	11211	
8	상대물리방어력감소	1	0	11252	
9	상대불원소저항률감소	1	0	11253	
10	상대물원소저항률감소	1	0	11254	
11	상대바람원소저항률감소	1	0	11255	
12	상대대지원소저항률감소	1	0	11256	
13	상대암흑원소저항률감소	1	0	11257	
14	이동속도	0	0	11258	
15	방어성공률	1	0	11219	
16	불원소저항률	1	0	11204	
17	물원소저항률	1	0	11201	
18	바람원소저항률	1	0	11202	
19	대지원소저항률	1	0	11203	
20	암흑원소저항률	1	0	11205	
//21	공격력	0	0	11229	
//22	방어력	0	0	11228	
23	힘	0	0	11213	
24	민첩	0	0	11214	
25	지력	0	0	11215	
26	체력	0	0	11216	
27	정신력	0	0	11217	
28	최대HP	0	0	11266	
29	최대MP	0	0	11226	
30	스킬강화력	0	0	11284	
31	스킬데미지추가율	1	0	11267	
32	모든스텟	0	0	11232	
33	스텟제한수치감소	0	1	11022	
34	MP소모	0	1	11161	
35	모든원소공격력	0	0	11431	
36	모든원소저항률	1	0	11432	
37	HP흡수	0	0	11268	
38	MP흡수	0	0	11269	
39	HP회복량	0	0	11270	
40	MP회복량	0	0	11271	
41	크리티컬확률	1	0	11272	
42	크리티컬데미지	0	0	11273	
43	데미지반사확률	1	0	11274	
44	하임습득	1	0	11275	
45	경험치습득	1	0	11276	
46	다중공격확률	1	0	11277	
47	기본공격력	0	0	11278	
//48	마법공격력	0	0	11279	
49	기본방어력	0	0	11280	
//50	마법방어력	0	0	11281	
51	데미지감소	0	0	11282	
52	사망시부활할확률	1	0	11287	
//53	데미지2배확률	1	0	11288	
54	럭키몬스터공격시추가데미지	0	0	11286	
55	조합성공률	1	0	11285	
//56	방어력무시확률	1	0	11289	
57	최소데미지	0	0	11290	
58	최대데미지	0	0	11291	
59	아이템내구력소모무시확률	0	0	11292	
60	스킬상태무시확률	1	0	11293	
61	버프효과시간	2	0	11294	
62	디버프효과시간	2	1	11295	
63	(에테르탄환데미지추가율)	0	0	0	
64	리커버리량	0	0	11362	
65	스킬캐스팅시간	0	0	11361	
66	홀딩내성	1	0	11354	
67	슬립내성	1	0	11355	
68	중독내성	1	0	11356	
69	넉백내성	1	0	11357	
70	다운내성	1	0	11358	
71	스턴내성	1	0	11359	
72	PVP시데미지감소	0	0	11360	
73	추가데미지	0	0	11365	
74	(아이템자동줍기)	0	0	0	
75	스킬쿨타임	1	0	23142	
76	(몬스터공격시에테르탄환데미지추가율)	0	0	0	
77	인첸트성공률	1	0	11304	
78	HighestBaseStatBonus	0	0	11451	
93	최대SD	0	0	11363	
94	SD회복량	0	0	11364	
95	상대모든원소저항률	1	0	11366	
96	상대크리티컬확률감소	1	0	11367	
97	(PC방효과)	0	0	0	
98	가해데미지SD전환량	1	0	11398	
99	가해데미지HP전환량	1	0	11399	
100	피격시상대의크리티컬데미지증감	0	0	11308	
101	제작비용증감률	1	0	11309	
102	제작실패시재료소멸방지률	1	0	11310	
103	인챈트비용증감률	1	0	11315	
104	인챈트실패시아이템소멸다운방지률	1	0	11316	
105	회복포션쿨타임증감률	1	0	11317	
106	회복포션회복량증감률	1	0	11318	
107	퀘스트경험치증감률	1	0	11319	
108	최대데미지발생확률	1	0	11320	
109	공성오브젝트데미지증감증감률	1	0	11347	
110	상점수리하임증감률	1	0	11348	//길드시설용으로 이름코드가 옵션과는 다릅니다. 두 옵션의 내용이 하나로 출력됨
111	상점구매하임증감률	1	0	11349	//길드시설용으로 이름코드가 옵션과는 다릅니다. 두 옵션의 내용이 하나로 출력됨
117	NPC(플레이어를제외한모든공격자)데미지감소	0	0	11512	
118	버서커에게받는데미지감소	0	0	11513	
119	드래곤나이트에게받는데미지감소	0	0	11514	
120	발키리받는에게데미지감소	0	0	11515	
121	엘리멘탈리스트에게받는데미지감소	0	0	11516	
122	섀도우에게받는데미지감소	0	0	11517	
123	미스틱에게받는데미지감소	0	0	11518	
124	헬로이드에게받는데미지감소	0	0	11519	
125	위치블레이드에게받는데미지감소	0	0	11520	
127	Luck	0	0	11452	
