//pet 관리 정보 스크립트				0. 1~6인챈 효과(없음)									펫UI상태설정		친밀도 값에 따라 옵션은 누적 되지 않습니다. 1개의 옵션만 활성화 																																																																																	
//최초 작성자 : 	이인			1. 7인챈 효과																																																																																												
//최종 작업자 :	정동일			2. 10인챈 효과																																																																																												
//최종 작성일 :	오후 3:24 2008-11-14			3. 12인챈 효과																																																																																												
//version 1.0.0.4				4. 1~6인챈 효과(디바인)																																																																																												
//				5. 7인챈 효과(디바인)																																																																																												
//계열				6. 10인챈 효과(디바인)	포만감 및 친밀도 상승/ 하락값 설정										친밀도 0~20% 											친밀도 21~40%											친밀도 41~59%											친밀도 범위60~99%											친밀도100%																																					
//				7. 12인챈 효과(디바인)																																																																																												
//1		0.9.0.2		0.9.0.2								국내누적설정x	0.8.1.9	0.9.0.4																																																																																		
//인덱스 코드	펫	네임코드	몬스터ID	인챈트효과	포만감상승값1	포만감하락값1	포만감하락값2	친밀도상승값1	친밀도하락값1	친밀도하락값2	AI타입	누적설정	펫UI상태설정	펫위치설정	친밀도 최소범위1	친밀도 최대범위1	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	친밀도 최소범위2	친밀도 최대범위2	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	친밀도 최소범위3	친밀도 최대범위3	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	친밀도 최소범위4	친밀도 최대범위4	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	친밀도 최소범위5	친밀도 최대범위5	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값																											
dwIndex	Name	NameCode	wMonsterCode	EffectType	byFullnessUp	byFullnessDown1	byFullnessDown2	byIntimacyUp	byIntimacyDown1	byIntimacyDown2	byAIType	Cumulate	PdisplayMove	Pposition	byIntimacyMin1	byIntimacyMax1	wPet1OptionKind1	byPet1ValueType1	iPet1Value1	wPet1OptionKind2	byPet1ValueType2	iPet1Value2	wPet1OptionKind3	byPet1ValueType3	iPet1Value3	byIntimacyMin2	byIntimacyMax2	wPet2OptionKind1	byPet2ValueType1	iPet2Value1	wPet2OptionKind2	byPet2ValueType2	iPet2Value2	wPet2OptionKind3	byPet2ValueType3	iPet2Value3	byIntimacyMin3	byIntimacyMax3	wPet3OptionKind1	byPet3ValueType1	iPet3Value1	wPet3OptionKind2	byPet3ValueType2	iPet3Value2	wPet3OptionKind3	byPet3ValueType3	iPet3Value3	byIntimacyMin4	byIntimacyMax4	wPet4OptionKind1	byPet4ValueType1	iPet4Value1	wPet4OptionKind2	byPet4ValueType2	iPet4Value2	wPet4OptionKind3	byPet4ValueType3	iPet4Value3	byIntimacyMin5	byIntimacyMax5	wPet5OptionKind1	byPet5ValueType1	iPet5Value1	wPet5OptionKind2	byPet5ValueType2	iPet5Value2	wPet5OptionKind3	byPet5ValueType3	iPet5Value3	FieldEnd																										
1	회색트링겔고양이	158171	5000	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	42	2	30	0	0	0	0	0	0	100	100	42	2	100	0	0	0	0	0	0																											
2	얼룩트링겔고양이	158172	5001	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	42	2	30	0	0	0	0	0	0	100	100	42	2	100	0	0	0	0	0	0																											
3	흰색트링겔고양이	158173	5002	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	42	2	30	0	0	0	0	0	0	100	100	42	2	100	0	0	0	0	0	0																											
4	검정트링겔고양이	158174	5003	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	42	2	30	0	0	0	0	0	0	100	100	42	2	100	0	0	0	0	0	0																											
5	황색트링겔고양이	158175	5004	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	42	2	30	0	0	0	0	0	0	100	100	42	2	100	0	0	0	0	0	0																											
6	벨트헨수탉	158176	5005	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	39	1	20	0	0	0	0	0	0	100	100	39	1	40	0	0	0	0	0	0																											
7	벨트헨암탉	158177	5006	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	39	1	20	0	0	0	0	0	0	100	100	39	1	40	0	0	0	0	0	0																											
8	흰색달토끼	158178	5007	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	40	1	20	0	0	0	0	0	0	100	100	40	1	40	0	0	0	0	0	0																											
9	검은달토끼	158179	5008	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	40	1	20	0	0	0	0	0	0	100	100	40	1	40	0	0	0	0	0	0																											
10	회색달토끼	158180	5009	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	40	1	20	0	0	0	0	0	0	100	100	40	1	40	0	0	0	0	0	0																											
