// PlayerAttributeInfo.txt -- Combat Power weights, one row per eATTR_TYPE.
//
// Combat Power is a single integer summarising a character's overall strength.
// For each attribute:  FP += value * FPValueRate  +  ratio * FPRatioRate
// where value is GetAttrValue(t) and ratio is GetAttrValue(t, eATTR_KIND_RATIO).
//
// PROVENANCE AND THE TRAP THIS AVOIDS
// Weights come from Arkadia's table of 2026-09-18, but the Index column is OURS.
// Their enum has no eATTR_EXPERTY1/2, so from index 6 up every one of their rows
// is shifted against ours -- their eATTR_CUR_HP is 6, ours is 8. Copying their
// file verbatim would have applied each weight to the wrong attribute, silently.
// This table was generated by joining on TypeName instead, so the index column
// is our own eATTR_TYPE value in every row.
//
// 125 of their 141 rows matched. The rest are attributes we do not have
// (eATTR_PIERCE_POWER, the eATTR_ADDED_DAMAGE_WHEN_THE_OPPONENT_IS_* family, and
// the two new 09-18 accuracy/evasion levels). Anything we carry that they do not
// weight is present with rate 0, so the table indexes cleanly 1..178.
Index	TypeName	FPValueRate	FPRatioRate	FieldEnd
1	eATTR_STR	1.49	0	
2	eATTR_DEX	1.49	0	
3	eATTR_VIT	1.49	0	
4	eATTR_INT	1.49	0	
5	eATTR_SPR	1.49	0	
6	eATTR_EXPERTY1	0	0	
7	eATTR_EXPERTY2	0	0	
8	eATTR_CUR_HP	0	0	
9	eATTR_CUR_MP	0	0	
10	eATTR_MAX_HP	0.04	0	
11	eATTR_MAX_MP	0.01	0	
12	eATTR_RECOVERY_HP	11.73	0	
13	eATTR_RECOVERY_MP	8.11	0	
14	eATTR_BASE_MELEE_MIN_ATTACK_POWER	0.4	0	
15	eATTR_BASE_MELEE_MAX_ATTACK_POWER	0.4	0	
16	eATTR_BASE_RANGE_MIN_ATTACK_POWER	0	0	
17	eATTR_BASE_RANGE_MAX_ATTACK_POWER	0	0	
18	eATTR_BASE_MAGICAL_MIN_ATTACK_POWER	0	0	
19	eATTR_BASE_MAGICAL_MAX_ATTACK_POWER	0	0	
20	eATTR_OPTION_PHYSICAL_ATTACK_POWER	0.55	0	
21	eATTR_OPTION_MAGICAL_ATTACK_POWER	0	0	
22	eATTR_OPTION_ALL_ATTACK_POWER	0	0	
