//서버저장 메모리를 줄이기 위한 스크립트					
//모든 랜덤옵션 스크립트를 요약한 것으로 서버 저장시 Key 값을 바탕으로 저장함으로써 저장메모리를 줄이기 위한 스크립트					
// 1~4095					
//순서					
//일반 key 1 ~ 2000					
Key	OptionTypeIndex	OptionTypeOrder	ValueIndex	ValueOrder	FieldEnd
1	1	1	1	1	
2	1	1	1	2	
3	1	1	1	3	
4	1	1	1	4	
5	1	1	1	5	
6	2	1	2	1	
7	2	1	2	2	
8	2	1	2	3	
9	2	1	2	4	
10	2	1	2	5	
11	3	1	3	1	
12	3	1	3	2	
13	3	1	3	3	
14	3	1	3	4	
15	3	1	3	5	
16	1	1	501	1	
17	1	1	501	2	
18	1	1	501	3	
19	1	1	501	4	
20	1	1	501	5	
21	2	1	502	1	
22	2	1	502	2	
23	2	1	502	3	
24	2	1	502	4	
25	2	1	502	5	
26	3	1	503	1	
27	3	1	503	2	
28	3	1	503	3	
29	3	1	503	4	
30	3	1	503	5	
31	4	1	1	1	
32	4	1	1	2	
33	4	1	1	3	
34	4	1	1	4	
35	4	1	1	5	
36	4	1	501	1	
37	4	1	501	2	
38	4	1	501	3	
39	4	1	501	4	
40	4	1	501	5	
41	5	1	3	1	
42	5	1	3	2	
43	5	1	3	3	
44	5	1	3	4	
45	5	1	3	5	
46	5	1	503	1	
47	5	1	503	2	
48	5	1	503	3	
49	5	1	503	4	
50	5	1	503	5	
51	6	1	1	1	
52	6	1	1	2	
53	6	1	1	3	
54	6	1	1	4	
55	6	1	1	5	
56	6	1	501	1	
57	6	1	501	2	
58	6	1	501	3	
59	6	1	501	4	
60	6	1	501	5	
61	7	1	4	1	
62	7	1	4	2	
63	7	1	4	3	
64	7	1	4	4	
65	7	1	4	5	
66	7	1	504	1	
67	7	1	504	2	
68	7	1	504	3	
69	7	1	504	4	
70	7	1	504	5	
71	101	1	1001	1	
72	101	1	1001	2	
73	101	1	1001	3	
74	101	1	1001	4	
75	101	1	1001	5	
76	102	1	1002	1	
77	102	1	1002	2	
78	102	1	1002	3	
79	102	1	1002	4	
80	102	1	1002	5	
81	103	1	1003	1	
82	103	1	1003	2	
83	103	1	1003	3	
84	103	1	1003	4	
85	103	1	1003	5	
86	104	1	1004	1	
87	104	1	1004	2	
88	104	1	1004	3	
89	104	1	1004	4	
90	104	1	1004	5	
91	105	1	1005	1	
92	105	1	1005	2	
93	105	1	1005	3	
94	105	1	1005	4	
95	105	1	1005	5	
96	106	1	1006	1	
97	106	1	1006	2	
98	106	1	1006	3	
99	106	1	1006	4	
100	106	1	1006	5	
101	107	1	1007	1	
102	107	1	1007	2	
103	107	1	1007	3	
104	107	1	1007	4	
105	107	1	1007	5	
106	108	1	1008	1	
107	108	1	1008	2	
108	108	1	1008	3	
109	108	1	1008	4	
110	108	1	1008	5	
111	109	1	1009	1	
112	109	1	1009	2	
113	109	1	1009	3	
114	109	1	1009	4	
115	109	1	1009	5	
116	110	1	1010	1	
117	110	1	1010	2	
118	110	1	1010	3	
119	110	1	1010	4	
120	110	1	1010	5	
121	111	1	1011	1	
122	111	1	1011	2	
123	111	1	1011	3	
124	111	1	1011	4	
125	111	1	1011	5	
126	112	1	1012	1	
127	112	1	1012	2	
128	112	1	1012	3	
129	112	1	1012	4	
130	112	1	1012	5	
131	113	1	1013	1	
132	113	1	1013	2	
133	113	1	1013	3	
134	113	1	1013	4	
135	113	1	1013	5	
136	114	1	1014	1	
137	114	1	1014	2	
138	114	1	1014	3	
139	114	1	1014	4	
140	114	1	1014	5	
141	115	1	1015	1	
142	115	1	1015	2	
143	115	1	1015	3	
144	115	1	1015	4	
145	115	1	1015	5	
146	116	1	1016	1	
147	116	1	1016	2	
148	116	1	1016	3	
149	116	1	1016	4	
150	116	1	1016	5	
151	117	1	1017	1	
152	117	1	1017	2	
153	117	1	1017	3	
154	117	1	1017	4	
155	117	1	1017	5	
156	118	1	1018	1	
157	118	1	1018	2	
158	118	1	1018	3	
159	118	1	1018	4	
160	118	1	1018	5	
161	201	1	1001	1	
162	201	1	1001	2	
163	201	1	1001	3	
164	201	1	1001	4	
165	201	1	1001	5	
166	202	1	1002	1	
167	202	1	1002	2	
168	202	1	1002	3	
169	202	1	1002	4	
170	202	1	1002	5	
171	203	1	1003	1	
172	203	1	1003	2	
173	203	1	1003	3	
174	203	1	1003	4	
175	203	1	1003	5	
176	204	1	1004	1	
177	204	1	1004	2	
178	204	1	1004	3	
179	204	1	1004	4	
180	204	1	1004	5	
181	205	1	1005	1	
182	205	1	1005	2	
183	205	1	1005	3	
184	205	1	1005	4	
185	205	1	1005	5	
186	206	1	1030	1	
187	206	1	1030	2	
188	206	1	1030	3	
189	206	1	1030	4	
190	206	1	1030	5	
191	301	1	1001	1	
192	301	1	1001	2	
193	301	1	1001	3	
194	301	1	1001	4	
195	301	1	1001	5	
196	302	1	1002	1	
197	302	1	1002	2	
198	302	1	1002	3	
199	302	1	1002	4	
200	302	1	1002	5	
201	303	1	1003	1	
202	303	1	1003	2	
203	303	1	1003	3	
204	303	1	1003	4	
205	303	1	1003	5	
206	304	1	1004	1	
207	304	1	1004	2	
208	304	1	1004	3	
209	304	1	1004	4	
210	304	1	1004	5	
211	305	1	1005	1	
212	305	1	1005	2	
213	305	1	1005	3	
214	305	1	1005	4	
215	305	1	1005	5	
216	306	1	1030	1	
217	306	1	1030	2	
218	306	1	1030	3	
219	306	1	1030	4	
220	306	1	1030	5	
221	401	1	1001	1	
222	401	1	1001	2	
223	401	1	1001	3	
224	401	1	1001	4	
225	401	1	1001	5	
226	402	1	1002	1	
227	402	1	1002	2	
228	402	1	1002	3	
229	402	1	1002	4	
230	402	1	1002	5	
231	403	1	1003	1	
232	403	1	1003	2	
233	403	1	1003	3	
234	403	1	1003	4	
235	403	1	1003	5	
236	404	1	1004	1	
237	404	1	1004	2	
238	404	1	1004	3	
239	404	1	1004	4	
240	404	1	1004	5	
241	405	1	1005	1	
242	405	1	1005	2	
243	405	1	1005	3	
244	405	1	1005	4	
245	405	1	1005	5	
246	406	1	1030	1	
247	406	1	1030	2	
248	406	1	1030	3	
249	406	1	1030	4	
