//랜덤옵션으로 사용할 옵션종류를 입력하는 스크립트												
//		아이템스크립트와 입력방식 동일			일반용	캐시용	천분율 적용					
//색인	순서	 옵션발동조건	옵션종류	"수치타입(1 : 수치, 2 :비율)"	램덤값인덱스 (RandomItemValue.txt 참조)	램덤값인덱스 (RandomItemValue.txt 참조)	 발생확률 (1000)					
Index	Order	ExerciseEffect	OptionKind	OptionValueType	RandomValueIndex1	RandomValueIndex2	Ratio	FieldEnd				
//중국랜덤옵션(1~100)										옵션종류	최소수치	최대수치
1	1	1	32	1	1	501	1000		//	모든스탯	10	15
2	1	1	28	1	2	502	1000		//	최대 HP	1000	1500
3	1	1	35	1	3	503	1000		//	모든원소공격력	100	150
4	1	1	31	1	1	501	1000		//	스킬공격력	10%	15%
5	1	1	30	1	3	503	1000		//	스킬강화력	100	150
6	1	1	49	2	1	501	1000		//	기본방어력	10%	15%
7	1	1	36	1	4	504	1000		//	모든원소저항률	5%	10%
8	1	1	52	5	5	5	1000		//	사망시부활확률(%)	5	10
9	1	1	28	1	6	6	1000		//	최대HP증가	500	1000
10	1	1	30	1	7	7	1000		//	스킬강화력	100	200
11	1	1	14	1	8	8	1000		//	이동속도	5	20
12	1	1	45	5	5	5	1000		//	경험치증가(%)	5	10
13	1	1	41	1	9	9	1000		//	크리티컬확률(%)	2	10
14	1	1	72	2	10	10	1000		//	PVP시받는데미지감소	2	10
15	1	1	3	1	11	11	1000		//	불원소공격력	100	300
16	1	1	4	1	11	11	1000		//	물원소공격력	100	300
17	1	1	5	1	11	11	1000		//	대지원소공격력	100	300
18	1	1	6	1	11	11	1000		//	바람원소공격력	100	300
19	1	1	7	1	11	11	1000		//	암흑원소공격력	100	300
20	1	1	32	1	12	12	1000		//	모든스탯	15	20
21	1	1	41	1	4	4	1000		//	크리티컬확률(%)	5	10
22	1	1	42	2	1	1	1000		//	크리티컬데미지(%)	10	15
23	1	1	47	2	1	1	1000		//	기본공격력(%)	10	15
24	1	1	31	1	12	12	1000		//	스킬공격력(%)	15	20
25	1	1	93	1	13	13	1000		//	최대SD증가	1100	2000
26	1	1	32	1	14	14	1000		//	모든스탯	21	30
27	1	1	32	1	15	15	1000		//	모든스탯	31	40
28	1	1	93	1	16	16	1000		//	최대SD증가	2100	3000
29	1	1	32	1	17	17	1000		//	모든스탯	41	50
30	1	1	93	1	18	18	1000		//	최대SD증가	3100	4000
31	1	1	32	1	19	19	1000		//	모든스탯	51	60
32	1	1	93	1	20	20	1000		//	최대SD증가	4100	5000
33	1	1	36	1	1016	1016	1000		//	모든원소저항률	16%	20%
34	1	1	35	1	1320	1320	1000		//	모든원소공격력	500	600
35	1	1	32	1	21	21	1000		//	모든스탯	61	70
36	1	1	28	1	22	22	1000		//	최대SD증가	5100	6000
37	1	1	36	1	23	23	1000		//	모든원소저항률	21%	25%
38	1	1	35	1	1324	1324	1000		//	모든원소공격력	600	700
//모든스탯(101 ~ 200)												
101	1	1	32	1	1001	1001	1000		//	모든스탯	1	5
102	1	1	32	1	1002	1002	1000		//	모든스탯	2	6
103	1	1	32	1	1003	1003	1000		//	모든스탯	3	7
104	1	1	32	1	1004	1004	1000		//	모든스탯	4	8
105	1	1	32	1	1005	1005	1000		//	모든스탯	5	9
106	1	1	32	1	1006	1006	1000		//	모든스탯	6	10
107	1	1	32	1	1007	1007	1000		//	모든스탯	7	11
108	1	1	32	1	1008	1008	1000		//	모든스탯	8	12
