//2															0:아이템직접추가	4:아이템추가(기간제설정)																				
//	Version	0.0.1.0													1:램덤(아이템코드연결)																					
//		42396.9458	"보상스크립트에서선택보상을랜덤방식,즉DropRatioInfo스크립트에서참조할경우,돈과관련된값(Money1,Money2…)은반드시0으로설정하여야한다."												2:아이템코드연결																					
//		매크로사용법은Ctrl+Shift+A키입니다.													3:드랍코드연결																					
//															4:아이템코드연결(기간제아이템)																					
//	기본정보			고정보상		1002	1002	1103	1103	1103					선택보상																					
//	인덱스	설명	설명코드	경험치	하임	베타키사용유무	코인	칭호	평판코드	평판포인트	카오감소시간	고정아템	타입	스킬ID	참조방식	선택개수	선택아템1	아이템타입1	시간설정1	선택아템2	아이템타입2	시간설정2	선택아템3	아이템타입3	시간설정3	선택아템4	아이템타입4	시간설정4	선택아템5	아이템타입5	시간설정5					
	Index	Description	DescriptionCode	Exp	Hime	BetaKeyCode	Coin	Title	ReputeCode	ReputePoint	ChaoTime	Fixed_IC	IGtype	Skill	ReferenceType	Select_Num	Sel_IC1	IGtype1	TimeLimit1	Sel_IC2	IGtype2	TimeLimit2	Sel_IC3	IGtype3	TimeLimit3	Sel_IC4	IGtype4	TimeLimit4	Sel_IC5	IGtype5	TimeLimit5	FieldEnd				
//	야수들의숲미션보상																																			
	50001	메인_야수들의숲_클리어1_버서커	50301	43273	20000	0	0	0	0	0	0	0	0	0	2	0	9134	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50002	메인_야수들의숲_클리어1_드래곤	50301	43273	20000	0	0	0	0	0	0	0	0	0	2	0	9135	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50003	메인_야수들의숲_클리어1_섀도우	50301	43273	20000	0	0	0	0	0	0	0	0	0	2	0	9136	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50004	메인_야수들의숲_클리어1_발키리	50301	43273	20000	0	0	0	0	0	0	0	0	0	2	0	9137	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50005	메인_야수들의숲_클리어1_엘리멘탈	50301	43273	20000	0	0	0	0	0	0	0	0	0	2	0	9138	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50006	메인_야수들의숲_클리어1_미스틱	50301	43273	20000	0	0	0	0	0	0	0	0	0	2	0	9170	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50007	메인_야수들의숲_클리어1_헬로이드	50301	43273	20000	0	0	0	0	0	0	0	0	0	2	0	9176	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50008	메인_야수들의숲_클리어1_위치블레이드	50301	43273	20000	0	0	0	0	0	0	0	0	0	2	0	9217	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50011	메인_야수들의숲_클리어2	50302	433	0	0	0	0	0	0	0	0	0	0	3	0	25151	0	0	25134	0	0	0	0	0	0	0	0	0	0	0					
	50021	메인_야수들의숲_클리어3	50302	649	0	0	0	0	0	0	0	0	0	0	3	0	25151	0	0	25134	0	0	0	0	0	0	0	0	0	0	0					
	50101	서브_야수들의숲_1_클리어1_버서커	50303	903	2000	0	0	0	0	0	0	0	0	0	2	0	9134	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50102	서브_야수들의숲_1_클리어1_드래곤	50303	903	2000	0	0	0	0	0	0	0	0	0	2	0	9135	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50103	서브_야수들의숲_1_클리어1_섀도우	50303	903	2000	0	0	0	0	0	0	0	0	0	2	0	9136	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50104	서브_야수들의숲_1_클리어1_발키리	50303	903	2000	0	0	0	0	0	0	0	0	0	2	0	9137	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50105	서브_야수들의숲_1_클리어1_엘리멘탈	50303	903	2000	0	0	0	0	0	0	0	0	0	2	0	9138	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50106	서브_야수들의숲_1_클리어1_미스틱	50303	903	2000	0	0	0	0	0	0	0	0	0	2	0	9170	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50107	서브_야수들의숲_1_클리어1_헬로이드	50303	903	2000	0	0	0	0	0	0	0	0	0	2	0	9176	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
	50108	서브_야수들의숲_1_클리어1_위치블레이드	50303	903	2000	0	0	0	0	0	0	0	0	0	2	0	9217	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
