//탈것스크립트																																																																																																							
//최초 작성자 : 			이인																																																																																																				
//		1102																																																																																																					
//인덱스 코드	애니설정	비행가능여부	몬스터코드	기본파츠세팅_헤드	기본파츠세팅_바디	기본파츠세팅_레그	속도설정	점프설정	체공시간설정	소환가능지역설정	소환해제카운트설정	카운트시간설정	스폰시간설정	인벤출력이미지크기설정	소환이펙트코드																																																																																								
Index	AniMaping	Flying	MonsterCode	SetParts1	SetParts2	SetParts3	SetSpeed	SetJump	SetHangTime	SpawnArea	SpawnCancelCount	CountTimer	SpawnTime	SizeControl	SpawnEffectCode	FieldEnd																																																																																							
1	A	0	5400	6018	6035	0	150	160	80	0	20	10	1	1.0	A648	//에텔레인군마																																																																																							
2	B	0	5401	0	6019	0	170	150	60	0	20	10	1	1.7	A648	//큰발표범																																																																																							
3	C	0	5402	0	6021	6022	170	135	40	0	20	10	1	1.0	A648	//오크피그																																																																																							
4	A	0	5403	6018	6035	0	150	160	80	0	20	10	1	1.0	A648	//에텔레인군마_A색																																																																																							
5	B	0	5404	0	6019	0	170	150	60	0	20	10	1	1.7	A648	//큰발표범_A색																																																																																							
6	C	0	5405	0	6021	6022	170	135	40	0	20	10	1	1.0	A648	//오크피그_A색																																																																																							
7	A	0	5406	6018	6035	0	150	160	80	0	20	10	1	1.0	A648	//에텔레인군마_B색																																																																																							
8	B	0	5407	0	6019	0	170	150	60	0	20	10	1	1.7	A648	//큰발표범_B색																																																																																							
9	C	0	5408	0	6021	6022	170	135	40	0	20	10	1	1.0	A648	//오크피그_B색																																																																																							
10	D	1	5410	0	0	0	255	135	40	0	20	10	1	0.7	A648	//칼버스																																																																																							
11	D	0	5411	0	0	0	220	135	40	0	20	10	1	1.0	A648	//루돌프																																																																																							
12	B	0	5412	0	6019	0	220	150	60	0	20	10	1	1.7	A648	//마녀의큰발표범																																																																																							
13	A	0	5413	0	0	0	400	160	80	0	20	10	1	1.0	A648	//청마_아디오스																																																																																							
14	D	0	5414	0	0	0	250	135	40	0	20	10	1	0.7	A648	//레드드레이크																																																																																							
15	D	0	5415	0	0	0	350	135	40	0	20	10	1	0.7	A648	//블루드레이크																																																																																							
16	D	0	5416	0	0	0	400	135	40	0	20	10	1	0.7	A648	//블랙드레이크																																																																																							
17	D	0	5417	0	0	0	350	135	50	0	20	10	1	0.7	A648	//블랙드레이크																																																																																							
18	D	1	5418	0	0	0	400	135	40	0	20	10	1	0.7	A648	//Black Kalbus																																																																																							
19	D	0	5419	0	0	0	300	135	40	0	20	10	1	1.0	A648	//Rudolph 2016																																																																																							
20	A	0	5420	0	0	0	400	160	80	0	20	10	1	1.0	A648	//Unicorn																																																																																							
21	A	0	5421	0	0	0	380	160	80	0	20	10	1	1.0	A648	//Mirage Unicorn																																																																																							
22	A	0	5422	0	0	0	400	160	80	0	20	10	1	1.0	A648	//Nemean White Lion																																																																																							
23	A	0	5423	0	0	0	400	160	80	0	20	10	1	1.0	A648	//Swift Nemean White Lion																																																																																							
24	D	1	5424	0	0	0	400	135	40	0	20	10	1	0.7	A648	//Golden Kalbus																																																																																							
25	A	0	5425	0	0	0	400	160	80	0	20	10	1	1.0	A648	//Knight Order Charger (Red)																																																																																							
26	D	0	5426	0	0	0	400	135	40	0	20	10	1	0.7	A648	//Golden Drake																																																																																							
36	A	0	5436	0	0	0	400	160	80	0	20	10	1	1.0	A648	//Cherry Blossom Unicorn (CN art)																																																																																							
37	A	0	5458	0	0	0	400	160	80	0	20	10	1	1.0	A648	//Cherry Blossom Unicorn (JP art)																																																																																							
39	A	0	5460	0	0	0	400	160	80	0	20	10	1	1.0	A648	//White Tiger (CN art)																																																																																							
40	A	0	50539	0	0	0	400	160	80	0	20	10	1	1.0	A648	//Violet Flame Charger																																																																																							
41	A	0	50540	0	0	0	400	160	80	0	20	10	1	1.0	A648	//Azure Flame Charger																																																																																							
42	A	0	50541	0	0	0	400	160	80	0	20	10	1	1.0	A648	//Legendary Charger																																																																																							
43	C	0	5461	0	0	0	400	135	40	0	20	10	1	0.7	A648	//Azure Dragon																																																																																							
44	D	0	55417	0	0	0	400	135	50	0	20	10	1	0.7	A648	//Albino Fimbulvetr																																																																																							
45	D	0	5411	0	0	0	360	135	40	0	20	10	1	1.0	A648	//Rudolph 2024																																																																																							
46	A	0	5483	0	0	0	400	160	80	0	20	10	1	1.0	A648	//Absolute Tiger																																																																																							
47	A	0	5484	0	0	0	400	160	80	0	20	10	1	1.0	A648	//White Tiger (paired art, F variant unused)																																																																																							
48	C	0	5487	0	0	0	400	160	80	0	20	10	1	1.0	A648	//Five-Colour Parrot																																																																																							
70	D	0	55417	0	0	0	400	135	50	0	20	10	1	0.7	A648	//Fimbulvetr (unlimited)																																																																																							
71	D	1	5851	0	0	0	400	135	40	0	20	10	1	0.7	A648	//Black Kalbus (Arkadia original)																																																																																							
72	A	0	5852	0	0	0	400	160	80	0	20	10	1	1.0	A648	//TrigeNew (Arkadia original)																																																																																							
73	A	0	5853	0	0	0	400	160	80	0	20	10	1	1.0	A648	//Cocobo (Arkadia original)																																																																																							
74	A	0	55919	0	0	0	400	160	80	0	20	10	1	1.0	A648	//Uniconio (Arkadia original)																																																																																							
75	A	0	55920	0	0	0	400	160	80	0	20	10	1	1.0	A648	//Blue (Arkadia original)																																																																																							
76	A	0	55922	0	0	0	400	160	80	0	20	10	1	1.0	A648	//80K (Arkadia original)																																																																																							
77	A	0	55924	0	0	0	400	160	80	0	20	10	1	1.0	A648	//WorldCup (Arkadia original)																																																																																							
