//	상점리스트	0	상점타입												1									2									3									4									5									6									7									8									9									10									11									12									13									14									15									16									17									18									19									20									21									22									23									24									25	
//			1101	1101						1101	1103	1103	1103	1103	1403				1101	1103	1103	1103	1103	1403				1101	1103	1103	1103	1103	1403				1101	1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403					1103	1103	1103	1103	1403	
//	아이디	상점이름	상점타입	화폐아이템	하임행운적용비율	상점탭	판매아이템1	아이템1수량	아이템1등급	아이템1가격	명성지역	명성등급	평판지역	평판등급	시간설정1	판매아이템2	아이템2수량	아이템2등급	아이템2가격	명성지역	명성등급	평판지역	평판등급	시간설정2	판매아이템3	아이템3수량	아이템3등급	아이템3가격	명성지역	명성등급	평판지역	평판등급	시간설정3	판매아이템4	아이템4수량	아이템4등급	아이템4가격	명성지역	명성등급	평판지역	평판등급	시간설정4	판매아이템5	아이템5수량	아이템5등급	아이템5가격	명성지역	명성등급	평판지역	평판등급	시간설정5	판매아이템6	아이템6수량	아이템6등급	아이템6가격	명성지역	명성등급	평판지역	평판등급	시간설정6	판매아이템7	아이템7수량	아이템7등급	아이템7가격	명성지역	명성등급	평판지역	평판등급	시간설정7	판매아이템8	아이템8수량	아이템8등급	아이템8가격	명성지역	명성등급	평판지역	평판등급	시간설정8	판매아이템9	아이템9수량	아이템9등급	아이템9가격	명성지역	명성등급	평판지역	평판등급	시간설정9	판매아이템10	아이템10수량	아이템10등급	아이템10가격	명성지역	명성등급	평판지역	평판등급	시간설정10	판매아이템11	아이템11수량	아이템11등급	아이템11가격	명성지역	명성등급	평판지역	평판등급	시간설정11	판매아이템12	아이템12수량	아이템12등급	아이템12가격	명성지역	명성등급	평판지역	평판등급	시간설정12	판매아이템13	아이템13수량	아이템13등급	아이템13가격	명성지역	명성등급	평판지역	평판등급	시간설정13	판매아이템14	아이템14수량	아이템14등급	아이템14가격	명성지역	명성등급	평판지역	평판등급	시간설정14	판매아이템15	아이템15수량	아이템15등급	아이템15가격	명성지역	명성등급	평판지역	평판등급	시간설정15	판매아이템16	아이템16수량	아이템16등급	아이템16가격	명성지역	명성등급	평판지역	평판등급	시간설정16	판매아이템17	아이템17수량	아이템17등급	아이템17가격	명성지역	명성등급	평판지역	평판등급	시간설정17	판매아이템18	아이템18수량	아이템18등급	아이템18가격	명성지역	명성등급	평판지역	평판등급	시간설정18	판매아이템19	아이템19수량	아이템19등급	아이템19가격	명성지역	명성등급	평판지역	평판등급	시간설정19	판매아이템20	아이템20수량	아이템20등급	아이템20가격	명성지역	명성등급	평판지역	평판등급	시간설정20	판매아이템21	아이템21수량	아이템21등급	아이템21가격	명성지역	명성등급	평판지역	평판등급	시간설정21	판매아이템22	아이템22수량	아이템22등급	아이템22가격	명성지역	명성등급	평판지역	평판등급	시간설정22	판매아이템23	아이템23수량	아이템23등급	아이템23가격	명성지역	명성등급	평판지역	평판등급	시간설정23	판매아이템24	아이템24수량	아이템24등급	아이템24가격	명성지역	명성등급	평판지역	평판등급	시간설정24	판매아이템25	아이템25수량	아이템25등급	아이템25가격	명성지역	명성등급	평판지역	평판등급	시간설정25	
	dwID	Name	Type	Currency	LottoRatio	iShopTab	wItemCode1	byItemNum1	IGType1	ItemCost1	FameArea1	FameRating1	ReputeArea1	ReputeRating1	TimeLimit1	wItemCode2	byItemNum2	IGType2	ItemCost2	FameArea2	FameRating2	ReputeArea2	ReputeRating2	TimeLimit2	wItemCode3	byItemNum3	IGType3	ItemCost3	FameArea3	FameRating3	ReputeArea3	ReputeRating3	TimeLimit3	wItemCode4	byItemNum4	IGType4	ItemCost4	FameArea4	FameRating4	ReputeArea4	ReputeRating4	TimeLimit4	wItemCode5	byItemNum5	IGType5	ItemCost5	FameArea5	FameRating5	ReputeArea5	ReputeRating5	TimeLimit5	wItemCode6	byItemNum6	IGType6	ItemCost6	FameArea6	FameRating6	ReputeArea6	ReputeRating6	TimeLimit6	wItemCode7	byItemNum7	IGType7	ItemCost7	FameArea7	FameRating7	ReputeArea7	ReputeRating7	TimeLimit7	wItemCode8	byItemNum8	IGType8	ItemCost8	FameArea8	FameRating8	ReputeArea8	ReputeRating8	TimeLimit8	wItemCode9	byItemNum9	IGType9	ItemCost9	FameArea9	FameRating9	ReputeArea9	ReputeRating9	TimeLimit9	wItemCode10	byItemNum10	IGType10	ItemCost10	FameArea10	FameRating10	ReputeArea10	ReputeRating10	TimeLimit10	wItemCode11	byItemNum11	IGType11	ItemCost11	FameArea11	FameRating11	ReputeArea11	ReputeRating11	TimeLimit11	wItemCode12	byItemNum12	IGType12	ItemCost12	FameArea12	FameRating12	ReputeArea12	ReputeRating12	TimeLimit12	wItemCode13	byItemNum13	IGType13	ItemCost13	FameArea13	FameRating13	ReputeArea13	ReputeRating13	TimeLimit13	wItemCode14	byItemNum14	IGType14	ItemCost14	FameArea14	FameRating14	ReputeArea14	ReputeRating14	TimeLimit14	wItemCode15	byItemNum15	IGType15	ItemCost15	FameArea15	FameRating15	ReputeArea15	ReputeRating15	TimeLimit15	wItemCode16	byItemNum16	IGType16	ItemCost16	FameArea16	FameRating16	ReputeArea16	ReputeRating16	TimeLimit16	wItemCode17	byItemNum17	IGType17	ItemCost17	FameArea17	FameRating17	ReputeArea17	ReputeRating17	TimeLimit17	wItemCode18	byItemNum18	IGType18	ItemCost18	FameArea18	FameRating18	ReputeArea18	ReputeRating18	TimeLimit18	wItemCode19	byItemNum19	IGType19	ItemCost19	FameArea19	FameRating19	ReputeArea19	ReputeRating19	TimeLimit19	wItemCode20	byItemNum20	IGType20	ItemCost20	FameArea20	FameRating20	ReputeArea20	ReputeRating20	TimeLimit20	wItemCode21	byItemNum21	IGType21	ItemCost21	FameArea21	FameRating21	ReputeArea21	ReputeRating21	TimeLimit21	wItemCode22	byItemNum22	IGType22	ItemCost22	FameArea22	FameRating22	ReputeArea22	ReputeRating22	TimeLimit22	wItemCode23	byItemNum23	IGType23	ItemCost23	FameArea23	FameRating23	ReputeArea23	ReputeRating23	TimeLimit23	wItemCode24	byItemNum24	IGType24	ItemCost24	FameArea24	FameRating24	ReputeArea24	ReputeRating24	TimeLimit24	wItemCode25	byItemNum25	IGType25	ItemCost25	FameArea25	FameRating25	ReputeArea25	ReputeRating25	TimeLimit25	FieldEnd
//	에소드상인																																																																																																																																																																																																																																							
	63863	버서커-루츠(에소드)	1	0	100	0	1	1	0	0	0	0	0	0	0	16	1	0	0	0	0	0	0	0	1001	1	0	0	0	0	0	0	0	1051	1	0	0	0	0	0	0	0	1101	1	0	0	0	0	0	0	0	1151	1	0	0	0	0	0	0	0	1201	1	0	0	0	0	0	0	0	1251	1	0	0	0	0	0	0	0	1301	1	0	0	0	0	0	0	0	1351	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	63864	드래곤-아비스(에소드)	1	0	100	0	31	1	0	0	0	0	0	0	0	46	1	0	0	0	0	0	0	0	1011	1	0	0	0	0	0	0	0	1061	1	0	0	0	0	0	0	0	1111	1	0	0	0	0	0	0	0	1161	1	0	0	0	0	0	0	0	1211	1	0	0	0	0	0	0	0	1261	1	0	0	0	0	0	0	0	1311	1	0	0	0	0	0	0	0	1361	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	63905	섀도우-데오도로(에소드)	1	0	100	0	61	1	0	0	0	0	0	0	0	76	1	0	0	0	0	0	0	0	1021	1	0	0	0	0	0	0	0	1071	1	0	0	0	0	0	0	0	1121	1	0	0	0	0	0	0	0	1171	1	0	0	0	0	0	0	0	1221	1	0	0	0	0	0	0	0	1271	1	0	0	0	0	0	0	0	1321	1	0	0	0	0	0	0	0	1371	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	63862	발키리-아나스(에소드)	1	0	100	0	91	1	0	0	0	0	0	0	0	106	1	0	0	0	0	0	0	0	1031	1	0	0	0	0	0	0	0	1081	1	0	0	0	0	0	0	0	1131	1	0	0	0	0	0	0	0	1181	1	0	0	0	0	0	0	0	1231	1	0	0	0	0	0	0	0	1281	1	0	0	0	0	0	0	0	1331	1	0	0	0	0	0	0	0	1381	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	63865	엘리-미스텔(에소드)	1	0	100	0	137	1	0	0	0	0	0	0	0	152	1	0	0	0	0	0	0	0	1041	1	0	0	0	0	0	0	0	1091	1	0	0	0	0	0	0	0	1141	1	0	0	0	0	0	0	0	1191	1	0	0	0	0	0	0	0	1241	1	0	0	0	0	0	0	0	1291	1	0	0	0	0	0	0	0	1341	1	0	0	0	0	0	0	0	1391	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	63878	미스틱-모리브(에소드)	1	0	100	0	176	1	0	0	0	0	0	0	0	191	1	0	0	0	0	0	0	0	1434	1	0	0	0	0	0	0	0	1444	1	0	0	0	0	0	0	0	1454	1	0	0	0	0	0	0	0	1464	1	0	0	0	0	0	0	0	1474	1	0	0	0	0	0	0	0	1484	1	0	0	0	0	0	0	0	1494	1	0	0	0	0	0	0	0	1504	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	63879	HER-K11(벨트헨)_본섭용	1	0	100	0	213	1	0	0	0	0	0	0	0	1515	1	0	0	0	0	0	0	0	1525	1	0	0	0	0	0	0	0	1535	1	0	0	0	0	0	0	0	1545	1	0	0	0	0	0	0	0	1555	1	0	0	0	0	0	0	0	1565	1	0	0	0	0	0	0	0	1575	1	0	0	0	0	0	0	0	1585	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	1	0	0	0	0	0	0	0	1516	1	0	0	0	0	0	0	0	1526	1	0	0	0	0	0	0	0	1536	1	0	0	0	0	0	0	0	1546	1	0	0	0	0	0	0	0	1556	1	0	0	0	0	0	0	0	1566	1	0	0	0	0	0	0	0	1576	1	0	0	0	0	0	0	0	1586	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	63866	우도(에소드)	1	0	100	0	4001	1	0	0	0	0	0	0	0	4002	1	0	0	0	0	0	0	0	6874	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3301	1	0	0	0	0	0	0	0	4195	1	0	0	0	0	0	0	0	4196	1	0	0	0	0	0	0	0	4197	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	62314	위블상인_에소드_본섭용	1	0	100	0	229	1	0	0	0	0	0	0	0	1594	1	0	0	0	0	0	0	0	1604	1	0	0	0	0	0	0	0	1614	1	0	0	0	0	0	0	0	1624	1	0	0	0	0	0	0	0	1634	1	0	0	0	0	0	0	0	1644	1	0	0	0	0	0	0	0	1654	1	0	0	0	0	0	0	0	1664	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	1	0	0	0	0	0	0	0	1595	1	0	0	0	0	0	0	0	1605	1	0	0	0	0	0	0	0	1615	1	0	0	0	0	0	0	0	1625	1	0	0	0	0	0	0	0	1635	1	0	0	0	0	0	0	0	1645	1	0	0	0	0	0	0	0	1655	1	0	0	0	0	0	0	0	1665	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
