	SkillClassCode	EventType	PositionType	EffectCode	LifeTime	ChaseTarget	StaticRotate	ActiveDelayTime	Comment
	2317	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	강철가시곰_양손후려치기
	2318	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	강철가시곰_물어뜯기
	2319	EVENT_1	CAMERA_A_2	NULL	300	0	0	0	만년설포자_독뿌리기
	2320	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	신의수행사제_스크류
	2321	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	신의수행사제_연타공격
	2322	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	얼음거인_한팔내려찍기
	2323	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	얼음거인_스핀공격
	2324	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	악의시종_점프어텍
	2325	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	악의시종_창찌르기
	2326	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	설인_포효공격
	2327	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	설인_점프내려찍기
	2328	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	차원의수호자_회전베기
	2329	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	차원의수호자_작은원기옥
	2330	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	나르시스_원기옥
	2331	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	나르시스_얼음비
	1133	EVENT_1	CAMERA_A_5	NULL	500	0	0	200	루튼포인트
	1132	EVENT_1	CAMERA_A_2	NULL	150	0	0	0	마그네틱그라비토
	1131	EVENT_1	CAMERA_A_2	NULL	200	0	0	0	멘딩마인드
	1130	EVENT_1	CAMERA_A_2	NULL	150	0	0	0	서먼_씨엘리스
	1129	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	디바인어설트
	1129	EVENT_2	CAMERA_A_3	NULL	300	0	0	0	디바인어설트
	1128	EVENT_1	CAMERA_A_2	NULL	800	0	0	0	프로즌윈드
	1127	EVENT_1	CAMERA_A_2	NULL	150	0	0	0	서먼_밴쉬
	1124	EVENT_1	CAMERA_A_2	NULL	150	0	0	0	서먼_티타니아
	1123	EVENT_1	CAMERA_A_4	NULL	300	0	0	0	블레이드커튼
	1120	EVENT_1	CAMERA_A_4	NULL	300	0	0	0	블레어팡
	1119	EVENT_1	CAMERA_A_2	NULL	200	0	0	0	다이브헬팡
	1118	EVENT_1	CAMERA_A_1	NULL	150	0	0	0	크로스콤비네이션
	1118	EVENT_2	CAMERA_A_2	NULL	200	0	0	0	크로스콤비네이션
	1117	EVENT_1	CAMERA_A_2	NULL	150	0	0	0	서먼_스컬제이크
	1115	EVENT_1	CAMERA_A_2	NULL	300	0	0	0	라이징포스 
	1114	EVENT_1	CAMERA_A_2	NULL	300	0	0	0	퓨리포메이션
	1113	EVENT_1	CAMERA_A_2	NULL	800	0	0	500	다크폴링그레이브
	1113	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	다크폴링그레이브
	1110	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	스피닝하츠
	1109	EVENT_1	CAMERA_A_1	NULL	150	0	0	0	드래곤댄스
	1109	EVENT_2	CAMERA_A_2	NULL	200	0	0	0	드래곤댄스
	1108	EVENT_1	CAMERA_A_2	NULL	200	0	0	0	데드폴
	1108	EVENT_2	CAMERA_A_3	NULL	300	0	0	0	데드폴
	1106	EVENT_1	CAMERA_A_2	NULL	150	0	0	0	네일스크래치
	1106	EVENT_2	CAMERA_A_2	NULL	300	0	0	0	네일스크래치
	1105	EVENT_1	CAMERA_A_1	NULL	300	0	0	0	바이올렛크로스
	1104	EVENT_1	CAMERA_A_3	NULL	100	0	0	0	트위스트플랩킥
	1104	EVENT_2	CAMERA_A_3	NULL	100	0	0	0	트위스트플랩킥
	1103	EVENT_1	CAMERA_A_3	NULL	200	0	0	0	스핀턴쓰러스트
	1101	EVENT_1	CAMERA_A_3	NULL	200	0	0	0	터닝킥
	1000	EVENT_1	CAMERA_A_1	NULL	200	0	0	0	블래스터펀치
	1001	EVENT_1	CAMERA_A_2	NULL	200	0	0	0	크래쉬암
	1003	EVENT_1	CAMERA_A_3	NULL	200	0	0	0	드롭킥
	1005	FIELD	CAMERA_A_3	NULL	300	0	0	200	드릴어택
	1005	DAMAGE	TARGET_ARROW	KC51	3000	0	0	0	드릴어택_피격이펙트
	1007	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	스핀블로우
	1008	FIELD	CAMERA_A_5	NULL	300	0	0	840	플라잉차징
	1009	FIELD	CAMERA_A_5	NULL	400	0	0	200	블래스터쇼크
	1010	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	하트브레이크
	1016	EVENT_1	CAMERA_A_2	NULL	300	0	0	0	헤드벗
	1017	FIELD	CAMERA_A_3	NULL	300	0	0	300	에테르차징
	1018	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	로우블로우
	1019	EVENT_1	CAMERA_A_6	NULL	300	0	0	0	스트레이트펀치
	1021	EVENT_1	TARGET_ARROW	NULL	3000	0	0	0	리바이브
	1023	FIELD	CAMERA_A_5	NULL	700	0	0	1250	블래스터붐
	1024	FIELD	FIELD	KD50	3000	0	0	380	블래스터파이어
	1024	FIELD	CAMERA_A_7	NULL	700	0	0	380	블래스터파이어
	1028	EVENT_1	CAMERA_A_7	NULL	500	0	0	0	에테르체인
	1026	FIELD	CAMERA_A_5	NULL	300	0	0	100	슬라이딩어택
	1030	EVENT_1	CAMERA_A_3	NULL	300	0	0	0	가디언쉴드
	1031	FIELD	CAMERA_A_7	NULL	700	0	0	500	브레이크어스
	901	EVENT_1	TARGET_ARROW	KA47	0	0	0	0	스매쉬
	902	EVENT_1	TARGET_ARROW	KA51	0	0	0	0	레그락
	903	EVENT_1	TARGET_ARROW	KA55	3000	0	0	0	플레임클러
	904	EVENT_1	TARGET_ARROW	KA51	0	0	0	0	플라잉비
	905	DAMAGE	USER_ARROW	KA67	5000	1	0	0	라이징서펀트
	906	EVENT_1	TARGET_ARROW	KA70	0	0	0	0	슬리프
	908	EVENT_1	TARGET_ARROW	KA80	0	0	0	0	롤링밤
	909	EVENT_1	TARGET_ARROW	KA86	0	0	0	0	템페스트블로우
	909	EVENT_2	TARGET_ARROW	KA86	0	0	0	0	템페스트블로우
	909	EVENT_3	TARGET_ARROW	KA86	0	0	0	0	템페스트블로우
