//스킬창관련스크립트															
//															
//	0:없음1:스킬2:퍽3:액션스킬4:감정표현			-1:붉은색화살표. '-2:파란색화살표. '-3:붉은색2칸화살표. '-4:파란색2칸화살표. '-5:붉은색꺽이는화살표. '-6:파란색꺽이는화살표											
//클래스아이디	스킬텝구분	스킬텝행구분	스킬사용개수	스킬아이디1	스킬아이디2	스킬아이디3	스킬아이디4	스킬아이디5	스킬아이디6	스킬아이디7	스킬아이디8	스킬아이디9	스킬아이디10		
bClassID	bSkillTab	bSkillInTab	wSkillNum	wSkillID1	wSkillID2	wSkillID3	wSkillID4	wSkillID5	wSkillID6	wSkillID7	wSkillID8	wSkillID9	wSkillID10		
0	3	1	6	35000	35001	35002	36000	36001	36004	0	0	0	0	//	액션
0	3	2	6	35003	35004	35005	36005	36006	36007	0	0	0	0	//	액션
0	3	3	6	35006	35007	35013	36008	36009	36010	0	0	0	0	//	액션
0	3	4	6	35014	35008	35009	36011	36012	36013	0	0	0	0	//	액션
0	3	5	6	35021	35023	35024	36014	36016	36018	0	0	0	0	//	액션
0	3	6	2	0	0	0	0	0	0	0	0	0	0	//	액션
0	3	7	0	0	0	0	0	0	0	0	0	0	0	//	액션
1	1	1	6	1301	2001	1061	2201	2121	2021	0	0	0	0	//	버서커
1	1	2	4	0	1021	1081	2161	2101	0	0	0	0	0	//	버서커
1	1	3	4	1041	0	1001	13501	0	2221	0	0	0	0	//	버서커
1	1	4	6	1161	1361	1121	2261	2341	1141	0	0	0	0	//	버서커
1	1	5	4	1181	0	1341	2081	0	2181	0	0	0	0	//	버서커
1	1	6	4	1101	0	1201	2041	0	2141	0	0	0	0	//	버서커
1	1	7	6	1261	1381	1281	2321	2361	2301	0	0	0	0	//	버서커
2	1	1	6	4021	4241	4121	5181	5001	4001	0	0	0	0	//	드래곤나이트
2	1	2	4	5021	0	4261	13511	0	5101	0	0	0	0	//	드래곤나이트
2	1	3	4	4081	0	4041	4281	0	5121	0	0	0	0	//	드래곤나이트
2	1	4	4	4201	4341	0	0	5441	5141	0	0	0	0	//	드래곤나이트
2	1	5	4	4061	0	5261	5201	0	5281	0	0	0	0	//	드래곤나이트
2	1	6	4	4301	0	5241	5041	0	5161	0	0	0	0	//	드래곤나이트
2	1	7	6	4101	4361	5401	4321	5461	5421	0	0	0	0	//	드래곤나이트
3	1	1	6	12001	13021	12041	13041	13001	13221	0	0	0	0	//	섀도우
3	1	2	4	12141	0	12121	13081	0	13201	0	0	0	0	//	섀도우
3	1	3	4	0	12081	12161	13101	13061	0	0	0	0	0	//	섀도우
3	1	4	4	12101	12331	0	0	13441	13161	0	0	0	0	//	섀도우
3	1	5	6	12231	12021	12251	13241	13181	13141	0	0	0	0	//	섀도우
3	1	6	4	0	12291	12271	13281	13301	0	0	0	0	0	//	섀도우
3	1	7	6	12311	12351	12211	13321	13461	13261	0	0	0	0	//	섀도우
4	1	1	6	7081	7001	7061	8061	7041	7261	0	0	0	0	//	발키리
4	1	2	4	0	7101	7221	8101	8141	0	0	0	0	0	//	발키리
4	1	3	4	7021	7301	0	0	8181	8201	0	0	0	0	//	발키리
4	1	4	6	7121	7361	7241	8121	8441	8221	0	0	0	0	//	발키리
4	1	5	4	0	7141	7181	8381	8161	0	0	0	0	0	//	발키리
4	1	6	4	7201	0	7281	7161	0	8241	0	0	0	0	//	발키리
4	1	7	6	7321	7381	7341	8401	8461	8421	0	0	0	0	//	발키리
5	1	1	6	10001	10221	0	0	11001	10041	0	0	0	0	//	엘리멘탈리스트
5	1	2	4	10141	10181	0	0	11481	10361	0	0	0	0	//	엘리멘탈리스트
5	1	3	6	10301	10281	11181	10101	11501	11401	0	0	0	0	//	엘리멘탈리스트
5	1	4	4	0	11221	10381	11441	11161	0	0	0	0	0	//	엘리멘탈리스트
5	1	5	6	10261	10121	10061	10081	11021	10341	0	0	0	0	//	엘리멘탈리스트
5	1	6	4	11321	0	11041	11361	0	11381	0	0	0	0	//	엘리멘탈리스트
5	1	7	6	11341	11541	10401	11461	11521	11581	0	0	0	0	//	엘리멘탈리스트
6	1	1	6	14041	14021	14081	14361	14381	14001	0	0	0	0	//	미스틱
6	1	2	4	0	14061	14121	14421	14441	0	0	0	0	0	//	미스틱
6	1	3	6	14101	14141	14401	14461	14481	14501	0	0	0	0	//	미스틱
6	1	4	4	14161	0	14181	14521	0	14541	0	0	0	0	//	미스틱
6	1	5	6	14201	14221	14241	14561	14581	14601	0	0	0	0	//	미스틱
6	1	6	6	14261	14281	14301	14621	14641	14661	0	0	0	0	//	미스틱
6	1	7	4	0	14321	14341	14681	14701	0	0	0	0	0	//	미스틱
7	1	1	4	14731	0	14741	14891	0	14901	0	0	0	0	//	헬로이드
7	1	2	4	14751	0	14761	14911	0	14921	0	0	0	0	//	헬로이드
7	1	3	6	14771	14781	14791	14931	14941	14951	0	0	0	0	//	헬로이드
7	1	4	4	14801	0	14811	14961	0	14971	0	0	0	0	//	헬로이드
7	1	5	4	14821	14831	0	0	14981	14991	0	0	0	0	//	헬로이드
7	1	6	6	14841	14851	14861	14011	14031	14051	0	0	0	0	//	헬로이드
7	1	7	4	14871	0	14881	14071	0	14091	0	0	0	0	//	헬로이드
8	1	1	4	9000	9010	9020	9170	9180	9190	0	0	0	0	//	위치블레이드
8	1	2	4	9030	9040	0	0	9200	9210	0	0	0	0	//	위치블레이드
8	1	3	6	9050	0	9060	9220	0	9230	0	0	0	0	//	위치블레이드
8	1	4	4	9070	9080	9090	9240	9250	9260	0	0	0	0	//	위치블레이드
8	1	5	4	9100	0	9110	9270	0	9280	0	0	0	0	//	위치블레이드
8	1	6	6	9120	0	9130	9290	0	9300	0	0	0	0	//	위치블레이드
8	1	7	4	9140	9150	9160	9310	9320	9330	0	0	0	0	//	위치블레이드
9	1	1	6	20000	20020	20040	20340	20360	20440	0	0	0	0	//	팔라딘
9	1	2	4	20060	0	20080	20400	0	20420	0	0	0	0	//	팔라딘
9	1	3	4	20100	0	20120	20380	0	20460	0	0	0	0	//	팔라딘
9	1	4	6	20140	20160	20180	20480	20500	20540	0	0	0	0	//	팔라딘
9	1	5	4	20200	0	20220	20640	0	20720	0	0	0	0	//	팔라딘
9	1	6	4	20240	0	20260	20620	0	20580	0	0	0	0	//	팔라딘
9	1	7	6	20280	20320	20300	20680	20700	20600	0	0	0	0	//	팔라딘
