// SkillLiberationAbilityInfo.txt													1 : 적단수											1 : 적단수																																										
//													2 : 아군단수											2 : 아군단수																																										
//													3 : 지정지점범위내적군											3 : 지정지점범위내적군																																										
//					1. 노멀								4 : 지정지점범위내아군											4 : 지정지점범위내아군																																										
//					2. 레어								5 : 자기 중심 범위내 적군											5 : 자기 중심 범위내 적군																																										
//			1. 첫번째		3. 엘리트								6 : 자기 중심 범위내 아군			"(특정합연산) 발키리&위치 소환수 어빌리티(221, 357, 358, 363, 364)는 Oprion1,2도 합연산 됩니다."								6 : 자기 중심 범위내 아군			"(특정합연산) 발키리&위치 소환수 어빌리티(221, 357, 358, 363, 364)는 Oprion1,2도 합연산 됩니다."																																							
//			2. 두번째	20104. 하급	4. 유니크								7 : 자기자신			↑								7 : 자기자신			↑																																							
//			3. 세번째	20105. 상급	5. 레전드			슬롯그룹내 1000분률	(합연산)	(합연산)	(합연산)			(합연산)		(특정합연산)	(특정합연산)	(합연산)	(합연산)	(합연산)	(합연산)		2번째 어빌리티는 '고유'인경우에만 동작		(합연산)		(특정합연산)	(특정합연산)	(합연산)	(합연산)	(합연산)	(합연산)																																		
//	고유번호	스킬코드	해방슬롯그룹	해방석 종류및계열	어빌리티등급	고유여부	해방이름	확률	추가스킬사거리	추가스킬범위	추가최대적용마리수	어빌리티ID	어빌리티적용범위타입	어빌리티성공확율	어빌리티성공확률평점보정	어빌리티옵션1	어빌리티옵션2	타입설정 or 수치입력	수치/비율값 입력	유지시간 설정	주기시간 설정	이상상태 설정	어빌리티ID	어빌리티적용범위타입	어빌리티성공확율	어빌리티성공확률평점보정	어빌리티옵션1	어빌리티옵션2	타입설정 or 수치입력	수치/비율값 입력	유지시간 설정	주기시간 설정	이상상태 설정																																	
	Index	SkillCode	SlotGroup	ItemType	Rarity	IsUnique	LiberationName	Probability	SkillRange	SkillArea	MaxTargetNo	AbilityID1	Ability1RangeType	Ability1SuccessRate	Ability1ItemScoreRate	Ability1Option1	Ability1Option2	Ability1Parameter1	Ability1Parameter2	Ability1Parameter3	Ability1Parameter4	Ability1Parameter5	AbilityID2	Ability2RangeType	Ability2SuccessRate	Ability2ItemScoreRate	Ability2Option1	Ability2Option2	Ability2Parameter1	Ability2Parameter2	Ability2Parameter3	Ability2Parameter4	Ability2Parameter5	FieldEnd																																
	1576	56	1	20104	1	0	404212	167	0	0	0	25	7	0	0	1	0	0	50	0	0	176	0	0	0	0	0	0	0	0	0	0	0		//	크리티컬 확률 +5%																														
	1577	56	1	20104	1	0	405995	167	0	0	0	25	7	0	0	1	0	0	100	0	0	176	0	0	0	0	0	0	0	0	0	0	0		//	크리티컬 확률 +10%																														
	1578	56	1	20104	1	0	405996	166	0	0	0	25	7	0	0	1	0	0	150	0	0	176	0	0	0	0	0	0	0	0	0	0	0		//	크리티컬 확률 +15%																														
	1579	56	1	20104	1	0	405997	167	0	0	0	25	7	0	0	1	0	0	200	0	0	176	0	0	0	0	0	0	0	0	0	0	0		//	크리티컬 확률 +20%																														
	1580	56	1	20104	1	0	404210	167	0	0	0	25	7	0	0	1	0	0	250	0	0	176	0	0	0	0	0	0	0	0	0	0	0		//	크리티컬 확률 +25%																														
	1581	56	1	20104	1	0	404211	166	0	0	0	25	7	0	0	1	0	0	300	0	0	176	0	0	0	0	0	0	0	0	0	0	0		//	크리티컬 확률 +30%																														
	1582	56	2	20104	1	0	404237	167	0	0	0	109	7	0	0	9	0	0	0	300	0	115	0	0	0	0	0	0	0	0	0	0	0		//	흡수 지속시간 +0.3초																														
	1583	56	2	20104	1	0	404238	167	0	0	0	109	7	0	0	9	0	0	0	600	0	115	0	0	0	0	0	0	0	0	0	0	0		//	흡수 지속시간 +0.6초																														
	1584	56	2	20104	1	0	404242	166	0	0	0	109	7	0	0	9	0	0	0	1000	0	115	0	0	0	0	0	0	0	0	0	0	0		//	흡수 지속시간 +1초																														
	1585	56	2	20104	1	0	404239	167	0	0	0	109	7	0	0	9	0	0	0	1300	0	115	0	0	0	0	0	0	0	0	0	0	0		//	흡수 지속시간 +1.3초																														
	1586	56	2	20104	1	0	404241	167	0	0	0	109	7	0	0	9	0	0	0	1600	0	115	0	0	0	0	0	0	0	0	0	0	0		//	흡수 지속시간 +1.6초																														
	1587	56	2	20104	1	0	404243	166	0	0	0	109	7	0	0	9	0	0	0	2000	0	115	0	0	0	0	0	0	0	0	0	0	0		//	흡수 지속시간 +2초																														
	1588	56	3	20104	1	0	404221	83	0	0	0	116	7	1000	0	100	0	0	3000	3000	5	119	0	0	0	0	0	0	0	0	0	0	0		//	피격 프로즌 : 3초동안 10% 피해 반사 (5회 피격 시 삭제)																														
	1589	56	3	20104	1	0	404219	83	0	0	0	116	7	1000	0	100	0	0	3000	3000	10	119	0	0	0	0	0	0	0	0	0	0	0		//	피격 프로즌 : 3초동안 10% 피해 반사 (10회 피격 시 삭제)																														
	1590	56	3	20104	1	0	404220	83	0	0	0	116	7	1000	0	100	0	0	3000	3000	15	119	0	0	0	0	0	0	0	0	0	0	0		//	피격 프로즌 : 3초동안 10% 피해 반사 (15회 피격 시 삭제)																														
	1591	56	3	20104	1	0	404224	83	0	0	0	116	7	1000	0	250	0	0	3000	3000	5	119	0	0	0	0	0	0	0	0	0	0	0		//	피격 프로즌 : 3초동안 25% 피해 반사 (5회 피격 시 삭제)																														
	1592	56	3	20104	1	0	404222	83	0	0	0	116	7	1000	0	250	0	0	3000	3000	10	119	0	0	0	0	0	0	0	0	0	0	0		//	피격 프로즌 : 3초동안 25% 피해 반사 (10회 피격 시 삭제)																														
	1593	56	3	20104	1	0	404223	83	0	0	0	116	7	1000	0	250	0	0	3000	3000	15	119	0	0	0	0	0	0	0	0	0	0	0		//	피격 프로즌 : 3초동안 25% 피해 반사 (15회 피격 시 삭제)																														
//중국선적용	1588	56	3	20104	1	0	404221	83	0	0	0	4	7	1000	0	0	0	1	300	3000	1000	1513	0	0	0	0	0	0	0	0	0	0	0		//	활기 : 3초동안 자신의 HP 회복 +300																														
//중국선적용	1589	56	3	20104	1	0	404219	83	0	0	0	4	7	1000	0	0	0	1	600	3000	1000	1513	0	0	0	0	0	0	0	0	0	0	0		//	활기 : 3초동안 자신의 HP 회복 +600																														
//중국선적용	1590	56	3	20104	1	0	404220	83	0	0	0	4	7	1000	0	0	0	1	1000	3000	1000	1513	0	0	0	0	0	0	0	0	0	0	0		//	활기 : 3초동안 자신의 HP 회복 +1000																														
//중국선적용	1591	56	3	20104	1	0	404224	83	0	0	0	4	7	1000	0	0	0	1	300	4000	1000	1513	0	0	0	0	0	0	0	0	0	0	0		//	활기 : 4초동안 자신의 HP 회복 +300																														
//중국선적용	1592	56	3	20104	1	0	404222	83	0	0	0	4	7	1000	0	0	0	1	600	4000	1000	1513	0	0	0	0	0	0	0	0	0	0	0		//	활기 : 4초동안 자신의 HP 회복 +600																														
//중국선적용	1593	56	3	20104	1	0	404223	87	0	0	0	4	7	1000	0	0	0	1	1000	4000	1000	1513	0	0	0	0	0	0	0	0	0	0	0		//	활기 : 4초동안 자신의 HP 회복 +1000																														
	1594	61	1	20104	1	0	405527	167	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		//	적용 개체 수 +1																														
	1595	61	1	20104	1	0	405528	167	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		//	적용 개체 수 +2																														
	1596	61	1	20104	1	0	405529	166	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		//	적용 개체 수 +3																														
	1597	61	1	20104	1	0	405501	167	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		//	사거리 +1미터																														
