//	스킬 설명 스크립트																																																																																								
//				1 : Ability1SuccessRate		6 : Ability2SuccessRate		11 : Ability3SuccessRate		16 : Ability4SuccessRate		21 : Ability5SuccessRate					1 : Ability1SuccessRate		6 : Ability2SuccessRate		11 : Ability3SuccessRate		16 : Ability4SuccessRate		21 : Ability5SuccessRate																																																																
//				2 : Ability1Option1		7 : Ability2Option1		12 : Ability3Option1		17 : Ability4Option1		22 : Ability5Option1					2 : Ability1Option1		7 : Ability2Option1		12 : Ability3Option1		17 : Ability4Option1		22 : Ability5Option1																																																																
//				3 : Ability1Option2		8 : Ability2Option2		13 : Ability3Option2		18 : Ability4Option2		23 : Ability5Option2					3 : Ability1Option2		8 : Ability2Option2		13 : Ability3Option2		18 : Ability4Option2		23 : Ability5Option2																																																																
//				4 : Ability1Parameter1		9 : Ability2Parameter1		14 : Ability3Parameter1		19 : Ability4Parameter1		24 : Ability5Parameter1					4 : AbilityParameter1		9 : Ability2Parameter1		14 : Ability3Parameter1		19 : Ability4Parameter1		24 : Ability5Parameter1																																																																
//				5 : Ability1Parameter2		10 : Ability2Parameter2		15 : Ability3Parameter2		20 : Ability4Parameter2		25 : Ability5Parameter2					5 : AbilityParameter2		10 : Ability2Parameter2		15 : Ability3Parameter2		20 : Ability4Parameter2		25 : Ability5Parameter2																																																																
//																																																																																									
//																																																																																									
//																																																																																									
//																																																																																									
//																																																																																									
//																																																																																									
//	설명인덱스	스킬이름	스킬설명코드	어빌리티코드1	파라미터1표시방식	파라미터타입번호1	어빌리티코드2	파라미터2표시방식	파라미터타입번호2	어빌리티코드3	파라미터3표시방식	파라미터타입번호3	어빌리티코드4	파라미터4표시방식	파라미터타입번호4	어빌리티코드5	파라미터5표시방식	파라미터타입번호5	어빌리티코드6	파라미터6표시방식	파라미터타입번호6	어빌리티코드7	파라미터7표시방식	파라미터타입번호7	어빌리티코드8	파라미터8표시방식	파라미터타입번호8																																																														
	Index	SkillName	Scode	AbilityIDCode1	Type1	AbilityParameterNo1	AbilityIDCode2	Type2	AbilityParameterNo2	AbilityIDCode3	Type3	AbilityParameterNo3	AbilityIDCode4	Type4	AbilityParameterNo4	AbilityIDCode5	Type5	AbilityParameterNo5	AbilityIDCode6	Type6	AbilityParameterNo6	AbilityIDCode7	Type7	AbilityParameterNo7	AbilityIDCode8	Type8	AbilityParameterNo8	FieldEnd																																																													
	66	SP리커버리	28302	4	2	5	8	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	100	배쉬	28301	1	1	4	27	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	53	슬래쉬	28204	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	51	스턴킥	28202	1	1	9	101	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	54	그라운드쇼크	28205	1	1	9	101	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	52	쏜즈스킨	28203	103	1	5	20	2	10	21	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	65	타운트	28214	14	2	10	27	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	58	스펙트랄가드	28209	302	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	67	하드스탠스	29001	14	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	56	더블슬래쉬	28207	1	1	4	1	1	9	100	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	59	데미지리플렉션	28210	113	2	2	113	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	50	스터닝태클	28201	1	1	9	101	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	55	데미지리커버리	28206	109	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	60	점핑크러쉬	28211	1	1	9	101	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	63	디펜드모드(체인지업)	26013	3	2	5	20	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	68	아이언스탠스	29002	14	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	64	아이언바디(체인지업)	26014	109	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	1	엑스마스터리	28001	205	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	2	투핸드소드마스터리	28002	205	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	3	하드스킨	28003	14	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	4	스피릿데미지	28004	209	2	3	209	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	5	리커버인헨스	28005	5	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	6	리미트포스	28006	105	2	3	105	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	110	어퍼블로우	28311	1	1	9	208	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	106	데들리스트라이크	28307	1	1	4	2	1	10	208	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	101	SP리차지	28316	4	2	5	8	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	108	스피닝블로우	28309	1	1	4	0	0	0	208	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
