//	캐릭터 상태					그래픽코드			아이콘 종류	삭제여부	분류	SD적용여부			부착위치																
//						status01.ds 파일에 위치로 배치			0. 이상상태	0. 사용안함	1. 상태이상	0: SD 적용 안 함			1. 머리위																
//						"그래픽코드는 필요 없음 ""38335""로 통일"			1. 강화	1. 사용함	2. 상태악화	1: SD 적용(SD:HP=99%:1%)			2. 몸통주위																
//							11393	강화	2. 캐시		3. 상태강화				3. 발밑																
//							11394	캐시	3. 특수상태		4. 특수				4. 손																
//							11395	특수	4. 중요						5.오른손																
//							11396	이상상태	5. 캐릭터스킬						6.무기																
//							11397	중요)							7.뼈대																
//							11400	스킬	아이콘 출력 순서 : 4 -> 2 -> 5 -> 1 -> 3 -> 0						8.왼손오른손																
//															9.바닥(지형충돌)																
//															10.타겟																
//															11.가슴																
//																															
//	806						1002	1002	816		806	904	905	806			1005														
//	NO	종류	영문이름	네임코드	설명 코드	그래픽 코드	행	열	아이콘 종류	삭제 여부	분류	SD적용여부	탈것적용여부	이펙트코드	부착위치	bStateGroup	본위치	x-축옵셋	y-축옵셋	z-축옵셋	부모회전방향적용	부모스케일적용			설명						
	Index	StateName	EnglishStateName	NameCode	DescriptionCode	IconCode	Row	Column	GKind	DelType	Type	SDApply	RidingApply	EffectCode	EffectPos	GroupCode	BoneIndex	OffsetX	OffsetY	OffsetZ	ApplyParentRotate	ApplyParentScale	FieldEnd								
//	상태이상&약화																														
	1	혼돈	eCHAR_STATE_CHAOS	23001	24001	38335	1	1	0	0	1	0	1	B010	1	0	0	0	0	0	0	0		//	대상은 피아식별할 수 없게 되어 아무나 공격 행동을 한다.	// 혼돈(아무나 공격)					
	2	블라인드	eCHAR_STATE_BLIND	23002	24002	38335	1	2	0	0	1	0	1	B011	1	0	0	0	0	0	0	0		//	대상의 시야가 1로 줄어 그 범위 이외의 사물을 구별할 수 없다	// 블라인드(장님)					
	3	다운	eCHAR_STATE_DOWN	23003	24003	38335	1	3	0	0	1	0	0	B012	3	0	0	0	0	0	0	0		//	대상은 넘어진 상태가 되어 행동을 할 수 없다. 대상이 해당 상태에서 적에게 공격을 받을 수 있으며 특정 공격에 대해서는 추가 데미지%d를 받는다.	// 다운(모든 행동 불능)					
	4	딜레이	eCHAR_STATE_DELAY	23004	24004	38335	1	4	0	0	1	0	1	B013	1	0	0	0	0	0	0	0		//	대상의 모든 행동이 취소되며 다음 행동을 하기 까지 특정시간이 소요된다.	// 딜레이					
	5	봉인	eCHAR_STATE_SEALING	23005	24005	38335	1	5	0	0	1	0	1	B014	1	0	0	0	0	0	0	0		//	대상은 마법관련 스킬을 사용할 수 없다.	// 봉인(마법스킬 봉인)					
	6	스턴	eCHAR_STATE_STUN	23006	24006	38335	1	6	0	0	1	0	1	B015	1	0	0	0	0	0	0	0		//	대상은 기절하여 모든 행동 불능 상태가 되며 공격을 받아도 해제되지 않는다.	// 스턴(모든 행동 불능)					
	7	석화	eCHAR_STATE_STONE	23007	24007	38335	1	7	0	0	1	0	1	B016	3	0	0	0	0	0	0	0		//	대상은 특정 시간동안 돌로 변한다. 해당 상태에서는 모든 행동이 불가능하며 적이 대상을 공격할 수 없다.	"// 석화(모든 행동 불능, 공격받지 않음)"					
	8	슬립	eCHAR_STATE_SLEEP	23008	24008	38335	1	8	0	0	1	0	1	B017	1	0	0	0	0	0	0	0		//	대상은 특정 시간동안 잠들어 행동 불능 상태가 된다. 적에게 공격 받으면 상태가 해제된다.	"// 슬립(모든 행동 불능, 공격을 받으면 해제)"					
	9	프로즌	eCHAR_STATE_FROZEN	23009	24009	38335	1	9	0	0	1	0	1	B018	3	0	0	0	0	0	0	0		//	대상의 특정 시간동안 몸이 얼어 움직이지 못한다	// 프로즌(모든 행동 불능)					
	10	후유증	eCHAR_STATE_SEQUELA	23010	24010	38335	1	10	0	0	1	0	1	B019	1	0	0	0	0	0	0	0		//	부활이후에 특정 시간동안 이동속도가 저하된다	// 후유증(부활이후 능력 저하)					
	11	어퍼다운	eCHAR_STATE_UPPERDOWN	23016	24016	38335	11	1	0	0	1	0	0	B012	3	0	0	0	0	0	0	0		//	"공중에 쳐올려진 후, 바닥에 내팽겨쳐져 넘어집니다."	// 어퍼다운					
	100	중독	eCHAR_STATE_POISON	23101	24101	38335	1	11	0	0	2	1	1	B002	2	0	0	0	0	0	0	0		//	대상이 특정 시간동안 독에 중독되어 지속적으로 %s 데미지를 받는다.	// 중독(지속적 데미지)					
	101	상처	eCHAR_STATE_WOUND	23102	24102	38335	1	12	0	0	2	1	1	B006	2	0	0	0	0	0	0	0		//	대상이 특정 시간동안 상처를 입어 지속적으로 %s 데미지를 받는다.	// 상처(지속적 데미지)					
	102	화상	eCHAR_STATE_FIRE_WOUND	23103	24103	38335	1	13	0	0	2	1	1	B000	2	0	0	0	0	0	0	0		//	대상이 특정 시간동안 화상을 입어 지속적으로 %s 데미지를 받는다.	// 화상(지속적 데미지)					
	103	공황	eCHAR_STATE_PANIC	23104	24104	38335	1	14	0	0	2	0	1	B103	1	0	0	0	0	0	0	0		//	대상에게 정신적 충격을 주어 MP/SP가 %s 만큼 감소한다.	// 공황(MP 감소)					
	104	무기력	eCHAR_STATE_LOW_SPIRIT	23105	24105	38335	1	15	0	0	2	0	1	B104	1	0	0	0	0	0	0	0		//	대상이 전투 의지가 저하되어 공격력이 만큼 감소한다	// 무기력(공격력 감소)					
