//스타일																클래스제한	무기제한	공격타입								528 	700 								3타범위형태	3타범위																							
//																										533 	533 																																
//																										500 	567 																																
//																																										814																	
//스킬ID	스킬종류ID	스타일이름	네임코드	스타일설명코드	스타일종류	이미지코드	요구레벨	스타일레벨	최고레벨	오버가능레벨	오버스탯1종류	오버스탯1요구치/스타일요구스탯	오버스탯1종류	오버스탯2요구치/스타일요구스탯	요구스킬포인트	클래스제한	무기제한	공격타입	사정거리	이동공격여부	스타일여부	1타코드	2타코드	3타코드	복귀코드	1타시간	2타시간	3타시간	1타추가데미지	1타추가데미지%	2타추가데미지	2타추가데미지%	3타추가데미지	3타추가데미지%	3타범위형태	3타범위	3타발동시간	공격성공증가	블록성공증가	공격속도증가	방어력증가	마법방어력증가	크리티컬보너스	3타방어력무시확률	3타관통발생확률	3타관통거리	3타스턴발생확률	3타스턴시간	3타녹백발생확률	3타녹백거리	3타다운발생확률	딜레이발생확률감소	3타딜레이발생확률	HP흡수	HP%흡수	MP흡수	MP%흡수	최대마리적용수	
StyleCode	StyleClassCode	StyleName	StyleNCode	StyleDescCode	SkillAttribute	StyleImage	RequireLV	StyleLV	MaxLV	OverLV	OverStat1Class	OverStat1	OverStat2Class	OverStat2	RequireSkillPoint	ClassDefine	WeaponDefine	AttType	AttRange	MoveAttack	StyleCheck	CodeFirst	CodeSecond	CodeThird	CodeBack	TimeFirst	TimeSecond	TimeThird	AddDamage1	DamagePercent1	AddDamage2	DamagePercent2	AddDamage3	DamagePercent3	AttRangeform	StyleArea	ThirdDelay	AttackRate	AvoidRate	AttSpeedIncrease	DefenceAdd	MagicDefenceAdd	CriticalBonus	DefenceIgnore	PierceRate	PierceRange	StunRate	StunTime	KnockBackRate	KnockBackRange	DownRate	DelayReduce	DelayOccur	HPAbsorb	HPAbsorbPer	MPAbsorb	MPAbsorbPer	MaxTargetNo	FieldEnd
60000	60000	주먹질	25154	0	0	0	0	0	0	0	0	0	0	0	0	1	13	3	2.5 	1 	0 	A001	A002	zzzz	zzzz	667 	667 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60001	60001	디펜더노멀_양손검	25100	28100	409	35100	0	0	0	0	0	0	0	0	0	1	2	2	2.5 	1 	1 	S201	S203	S205	S206	733 	767 	833 	0	0.00 	0	0.05 	0	0.10 	2	1.5	0.47	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	2	
60100	60100	버서크노멀_양손도끼	25150	28150	409	35150	0	0	0	0	0	0	0	0	0	1	1	3	2.5 	1 	1 	S107	S109	S111	S112	667 	667 	1000 	0	0.00 	0	0.05 	0	0.00 	2	1.5	0.62	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60199	60199	주먹질	25154	0	409	0	0	0	0	0	0	0	0	0	0	2	13	2	2.5 	1 	0 	A001	A002	zzzz	zzzz	528 	700 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60200	60200	이도류노멀	25600	28600	409	35600	0	0	0	0	0	0	0	0	0	2	3	2	2.5 	1 	1 	S207	S209	S211	S212	400 	467 	800 	0	0.00 	0	0.05 	0	0.10 	0	0	0.53	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60300	60300	창노멀_창	25650	28650	409	35650	0	0	0	0	0	0	0	0	0	2	4	1	2.5 	1 	1 	S307	S309	S311	S312	500 	500 	800 	0	0.00 	0	0.05 	0	0.10 	2	1	0.68	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	4	
60600	60600	주먹질	25154	0	0	0	0	0	0	0	0	0	0	0	0	4	13	3	2.5 	1 	0 	A001	A002	zzzz	zzzz	800 	667 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60601	60601	한손석궁노멀	26307	0	0	63009	0	0	0	0	0	0	0	0	0	4	7	1	12.0 	2 	0 	A201	A202	zzzz	zzzz	533 	533 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60702	60702	에테르노멀	26308	0	0	63009	0	0	0	0	0	0	0	0	0	4	8	1	12.0 	1 	0 	A301	A302	zzzz	zzzz	833 	833 	0 	0	0.00 	0	0.00 	0	0.00 	3	1.5	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60800	60800	주먹질	25154	0	0	0	0	0	0	0	0	0	0	0	0	5	13	3	2.5 	1 	0 	A001	A002	zzzz	zzzz	700 	700 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
