//			"    AB_NONE = 0,    "												
//			"    AB_ALPHA,           // 일반 Alpha ( Alpha 채널 사용)"												
//			"    AB_LIGHTING,        // 덧칠 Alpha ( Alpha 채널 사용, 기존 색에 더해주는 효과)"												
//			"    AB_ALPHA_COLOR,     // 색상별 Alpha"												
//			"    AB_SHADING,         // 쉐이딩"												
//			"    AB_INV_SHADING,     // 인버스 쉐이딩"												
//			"    AB_SUBTRACT,        // Src - Dest"												
//			"    AB_REVSUBTRACT,     // Dest - Src"												
//															
//				1	좌측	위		위	위						
//				2	우측	아래		아래	아래						
//				3	가운데	가운데		가운데	가운데						
//	1000 : 1초	0~1 사이												//TextureListInfo.txt 파일에 있는 index	
//번호	시간(밀리세컨드)	알파	랜더링타입			위치좌표								텍스쳐인덱스	
group_index	millisecond	alpha	blend_mode	align_x	align_y	dest_x	dest_y	dest_wide_x	dest_half_wide_x	dest_wide_y	dest_half_wide_y	dest_width	dest_height	texture_index	FieldEnd
1	1000	1	1	3	3	0	-2000	0	0	-2000	-2000	128	256	1	
1	1200	1	1	3	3	0	-2000	0	0	-2000	-2000	128	256	1	
1	1350	1	1	3	3	0	-2000	0	0	-2000	-2000	128	256	1	
1	1500	1	1	3	3	0	-2000	0	0	-2000	-2000	128	256	1	
1	1650	1	1	3	3	0	-2000	0	0	-2000	-2000	128	256	1	
1	1800	1	1	3	3	0	-2000	0	0	-2000	-2000	128	256	1	
1	1950	1	1	3	3	0	-2000	0	0	-2000	-2000	128	256	1	
1	2100	1	1	3	3	0	-2000	0	0	-2000	-2000	128	256	1	
															
															
2	1400	1	1	3	3	0	-240	0	0	-240	-240	512	128	2	
2	1440	1	1	3	3	0	-240	0	0	-240	-240	512	128	3	
2	1480	1	1	3	3	0	-240	0	0	-240	-240	512	128	4	
2	1520	1	1	3	3	0	-240	0	0	-240	-240	512	128	5	
2	1560	1	1	3	3	0	-240	0	0	-240	-240	512	128	6	
2	1600	1	1	3	3	0	-240	0	0	-240	-240	512	128	7	
2	1640	1	1	3	3	0	-240	0	0	-240	-240	512	128	8	
2	1680	1	1	3	3	0	-240	0	0	-240	-240	512	128	9	
2	1720	1	1	3	3	0	-240	0	0	-240	-240	512	128	10	
2	1760	1	1	3	3	0	-240	0	0	-240	-240	512	128	11	
2	1800	1	1	3	3	0	-240	0	0	-240	-240	512	128	12	
2	1840	1	1	3	3	0	-240	0	0	-240	-240	512	128	13	
2	1880	1	1	3	3	0	-240	0	0	-240	-240	512	128	14	
2	1920	1	1	3	3	0	-240	0	0	-240	-240	512	128	15	
2	1960	1	1	3	3	0	-240	0	0	-240	-240	512	128	16	
2	2000	1	1	3	3	0	-240	0	0	-240	-240	512	128	17	
2	2040	1	1	3	3	0	-240	0	0	-240	-240	512	128	18	
2	2080	1	1	3	3	0	-240	0	0	-240	-240	512	128	19	
2	2120	1	1	3	3	0	-240	0	0	-240	-240	512	128	20	
//에피소드															
3	2320	1	1	3	3	0	-143	0	0	-143	-143	512	64	30	
3	2370	1	1	3	3	0	-143	0	0	-143	-143	512	64	31	
3	2420	1	1	3	3	0	-143	0	0	-143	-143	512	64	32	
3	2470	1	1	3	3	0	-143	0	0	-143	-143	512	64	33	
3	2520	1	1	3	3	0	-143	0	0	-143	-143	512	64	34	
3	2570	1	1	3	3	0	-143	0	0	-143	-143	512	64	35	
3	2620	1	1	3	3	0	-143	0	0	-143	-143	512	64	36	
3	2670	1	1	3	3	0	-143	0	0	-143	-143	512	64	37	
3	2720	1	1	3	3	0	-143	0	0	-143	-143	512	64	38	
3	2770	1	1	3	3	0	-143	0	0	-143	-143	512	64	39	
3	2820	1	1	3	3	0	-143	0	0	-143	-143	512	64	40	
3	2870	1	1	3	3	0	-143	0	0	-143	-143	512	64	41	
															
//에피소드 효과															
4	2320	1	2	3	3	0	-143	0	0	-143	-143	512	128	50	
4	2370	1	2	3	3	0	-143	0	0	-143	-143	512	128	51	
4	2420	1	2	3	3	0	-143	0	0	-143	-143	512	128	52	
4	2470	1	2	3	3	0	-143	0	0	-143	-143	512	128	53	
4	2520	1	2	3	3	0	-143	0	0	-143	-143	512	128	54	
4	2570	1	2	3	3	0	-143	0	0	-143	-143	512	128	55	
4	2620	1	2	3	3	0	-143	0	0	-143	-143	512	128	56	
4	2670	1	2	3	3	0	-143	0	0	-143	-143	512	128	57	
4	2720	1	2	3	3	0	-143	0	0	-143	-143	512	128	58	
4	2770	1	2	3	3	0	-143	0	0	-143	-143	512	128	59	
4	2820	1	2	3	3	0	-143	0	0	-143	-143	512	128	60	
4	2870	1	2	3	3	0	-143	0	0	-143	-143	512	128	61	
4	2920	1	2	3	3	0	-143	0	0	-143	-143	512	128	62	
4	2970	1	2	3	3	0	-143	0	0	-143	-143	512	128	63	
4	3020	1	2	3	3	0	-143	0	0	-143	-143	512	128	64	
4	3070	1	2	3	3	0	-143	0	0	-143	-143	512	128	65	
4	3120	1	2	3	3	0	-143	0	0	-143	-143	512	128	66	
4	3170	1	2	3	3	0	-143	0	0	-143	-143	512	128	67	
4	3220	1	2	3	3	0	-143	0	0	-143	-143	512	128	68	
4	3270	1	2	3	3	0	-143	0	0	-143	-143	512	128	69	
4	3320	1	2	3	3	0	-143	0	0	-143	-143	512	128	70	
