//번호	파일명	위치좌표					
texture_index	file_name	x	y	width	height	FieldEnd	
1	Data\Interface\sword.tga	0	0	128	256		
//Soul ultimate nation							
2	Data\Interface\soul_0002.dds	0	0	512	128		
3	Data\Interface\soul_0003.dds	0	0	512	128		
4	Data\Interface\soul_0004.dds	0	0	512	128		
5	Data\Interface\soul_0005.dds	0	0	512	128		
6	Data\Interface\soul_0006.dds	0	0	512	128		
7	Data\Interface\soul_0007.dds	0	0	512	128		
8	Data\Interface\soul_0008.dds	0	0	512	128		
9	Data\Interface\soul_0009.dds	0	0	512	128		
10	Data\Interface\soul_0010.dds	0	0	512	128		
11	Data\Interface\soul_0011.dds	0	0	512	128		
12	Data\Interface\soul_0012.dds	0	0	512	128		
13	Data\Interface\soul_0013.dds	0	0	512	128		
14	Data\Interface\soul_0014.dds	0	0	512	128		
15	Data\Interface\soul_0015.dds	0	0	512	128		
16	Data\Interface\soul_0016.dds	0	0	512	128		
17	Data\Interface\soul_0017.dds	0	0	512	128		
18	Data\Interface\soul_0018.dds	0	0	512	128		
19	Data\Interface\soul_0019.dds	0	0	512	128		
20	Data\Interface\soul_0020.dds	0	0	512	128		
// 에피소드							
30	Data\Interface\reborn_0000.tga	0	0	512	64		
31	Data\Interface\reborn_0001.tga	0	0	512	64		
32	Data\Interface\reborn_0002.tga	0	0	512	64		
33	Data\Interface\reborn_0003.tga	0	0	512	64		
34	Data\Interface\reborn_0004.tga	0	0	512	64		
35	Data\Interface\reborn_0005.tga	0	0	512	64		
36	Data\Interface\reborn_0006.tga	0	0	512	64		
37	Data\Interface\reborn_0007.tga	0	0	512	64		
38	Data\Interface\reborn_0008.tga	0	0	512	64		
39	Data\Interface\reborn_0009.tga	0	0	512	64		
40	Data\Interface\reborn_0010.tga	0	0	512	64		
41	Data\Interface\reborn_0011.tga	0	0	512	64		
							
50	Data\Interface\reborn_add_0000.tga	0	0	256	64		
51	Data\Interface\reborn_add_0001.tga	0	0	256	64		
52	Data\Interface\reborn_add_0002.tga	0	0	256	64		
53	Data\Interface\reborn_add_0003.tga	0	0	256	64		
54	Data\Interface\reborn_add_0004.tga	0	0	256	64		
55	Data\Interface\reborn_add_0005.tga	0	0	256	64		
56	Data\Interface\reborn_add_0006.tga	0	0	256	64		
57	Data\Interface\reborn_add_0007.tga	0	0	256	64		
58	Data\Interface\reborn_add_0008.tga	0	0	256	64		
59	Data\Interface\reborn_add_0009.tga	0	0	256	64		
60	Data\Interface\reborn_add_0010.tga	0	0	256	64		
61	Data\Interface\reborn_add_0011.tga	0	0	256	64		
62	Data\Interface\reborn_add_0012.tga	0	0	256	64		
63	Data\Interface\reborn_add_0013.tga	0	0	256	64		
64	Data\Interface\reborn_add_0014.tga	0	0	256	64		
65	Data\Interface\reborn_add_0015.tga	0	0	256	64		
66	Data\Interface\reborn_add_0016.tga	0	0	256	64		
67	Data\Interface\reborn_add_0017.tga	0	0	256	64		
68	Data\Interface\reborn_add_0018.tga	0	0	256	64		
69	Data\Interface\reborn_add_0019.tga	0	0	256	64		
70	Data\Interface\reborn_add_0020.tga	0	0	256	64		
							
// 트리메뉴 아이콘은 10000 부터 시작							
10000	Data\Interface\Tree_Icon.tga	0	0	20	20		// 큰 체크버튼 Off
10001	Data\Interface\Tree_Icon.tga	20	0	20	20		// 큰 체크버튼 On
10002	Data\Interface\Tree_Icon.tga	40	0	20	20		// 폴더 +
10003	Data\Interface\Tree_Icon.tga	60	0	20	20		// 폴더 -
10004	Data\Interface\Tree_Icon.tga	80	0	20	20		// 없음
10005	Data\Interface\Tree_Icon.tga	100	0	20	20		// 작은 체크크버튼 Off
10006	Data\Interface\Tree_Icon.tga	120	0	20	20		// 작음 체크버튼 On
10007	Data\Interface\Tree_Icon.tga	140	0	20	20		// disable 자물쇄
10008	Data\Interface\Tree_Icon.tga	80	40	72	20		// 선택 커서
10009	Data\Interface\Tree_Icon.tga	0	62	112	11		// 옵션 아이템 게이지
10010	Data\Interface\Tree_Icon.tga	80	40	72	20		// 옵션 카테고리 배경
// 명예시스템							
10021	Data\Interface\40_6_List_popup.tga	0	0	462	32		// 명성/평판수치 - 기본
10022	Data\Interface\40_6_List_popup.tga	0	32	462	32		// 명성/평판수치 - 오버
10023	Data\Interface\40_6_List_popup.tga	0	64	462	32		// 명성/평판수치 - 선택
10024	Data\Interface\40_6_List_popup.tga	0	96	166	16		// 명성/평판수치 - 게이지
//트리메뉴아이콘2							
10030	Data\Interface\Common_bg02.tga	0	709	237	32		//base background
10031	Data\Interface\Common_bg02.tga	0	741	237	32		//over background
10032	Data\Interface\Common_bg02.tga	0	773	237	32		//select background
10033	Data\Interface\Common_bg02.tga	237	691	221	16		//gauge1
10034	Data\Interface\Common_bg02.tga	237	707	221	16		//gauge2
10035	Data\Interface\Common_bg02.tga	0	684	42	20		//gauge2
//몬스터북							
6100	Data\Icon\MonsterBook\1004.tga	0	0	48	48		
6101	Data\Icon\MonsterBook\1016.tga	0	0	48	48		
6102	Data\Icon\MonsterBook\1036.tga	0	0	48	48		
6103	Data\Icon\MonsterBook\1167.tga	0	0	48	48		
6104	Data\Icon\MonsterBook\34702.tga	0	0	48	48		
6105	Data\Icon\MonsterBook\38301.tga	0	0	48	48		
6106	Data\Icon\MonsterBook\38306.tga	0	0	48	48		
6107	Data\Icon\MonsterBook\25701.tga	0	0	48	48		
6108	Data\Icon\MonsterBook\64169.tga	0	0	48	48		
6109	Data\Icon\MonsterBook\2004.tga	0	0	48	48		
6110	Data\Icon\MonsterBook\2001.tga	0	0	48	48		
6111	Data\Icon\MonsterBook\2132.tga	0	0	48	48		
6112	Data\Icon\MonsterBook\2141.tga	0	0	48	48		
6113	Data\Icon\MonsterBook\1254.tga	0	0	48	48		
6114	Data\Icon\MonsterBook\1258.tga	0	0	48	48		
6115	Data\Icon\MonsterBook\1263.tga	0	0	48	48		
6116	Data\Icon\MonsterBook\1272.tga	0	0	48	48		
6117	Data\Icon\MonsterBook\1454.tga	0	0	48	48		
6118	Data\Icon\MonsterBook\1459.tga	0	0	48	48		
6119	Data\Icon\MonsterBook\1513.tga	0	0	48	48		
6120	Data\Icon\MonsterBook\36551.tga	0	0	48	48		
6121	Data\Icon\MonsterBook\38326.tga	0	0	48	48		
6122	Data\Icon\MonsterBook\38316.tga	0	0	48	48		
6123	Data\Icon\MonsterBook\1455.tga	0	0	48	48		
6124	Data\Icon\MonsterBook\36532.tga	0	0	48	48		
6125	Data\Icon\MonsterBook\36533.tga	0	0	48	48		
6126	Data\Icon\MonsterBook\36534.tga	0	0	48	48		
6127	Data\Icon\MonsterBook\36535.tga	0	0	48	48		
6128	Data\Icon\MonsterBook\25111.tga	0	0	48	48		
6129	Data\Icon\MonsterBook\25112.tga	0	0	48	48		
6130	Data\Icon\MonsterBook\25721.tga	0	0	48	48		
6131	Data\Icon\MonsterBook\36681.tga	0	0	48	48		
6132	Data\Icon\MonsterBook\36684.tga	0	0	48	48		
6133	Data\Icon\MonsterBook\2007.tga	0	0	48	48		
6134	Data\Icon\MonsterBook\2006.tga	0	0	48	48		
6135	Data\Icon\MonsterBook\1604.tga	0	0	48	48		
6136	Data\Icon\MonsterBook\2111.tga	0	0	48	48		
6137	Data\Icon\MonsterBook\2112.tga	0	0	48	48		
6138	Data\Icon\MonsterBook\1612.tga	0	0	48	48		
6139	Data\Icon\MonsterBook\1616.tga	0	0	48	48		
6140	Data\Icon\MonsterBook\1808.tga	0	0	48	48		
6141	Data\Icon\MonsterBook\38331.tga	0	0	48	48		
6142	Data\Icon\MonsterBook\34761.tga	0	0	48	48		
6143	Data\Icon\MonsterBook\38335.tga	0	0	48	48		
6144	Data\Icon\MonsterBook\32100.tga	0	0	48	48		
6145	Data\Icon\MonsterBook\38337.tga	0	0	48	48		
6146	Data\Icon\MonsterBook\34774.tga	0	0	48	48		
6147	Data\Icon\MonsterBook\34775.tga	0	0	48	48		
6148	Data\Icon\MonsterBook\34776.tga	0	0	48	48		
6149	Data\Icon\MonsterBook\34777.tga	0	0	48	48		
6150	Data\Icon\MonsterBook\34780.tga	0	0	48	48		
6151	Data\Icon\MonsterBook\34787.tga	0	0	48	48		
6152	Data\Icon\MonsterBook\34789.tga	0	0	48	48		
6153	Data\Icon\MonsterBook\32126.tga	0	0	48	48		
6154	Data\Icon\MonsterBook\26829.tga	0	0	48	48		
6155	Data\Icon\MonsterBook\25711.tga	0	0	48	48		
6156	Data\Icon\MonsterBook\2008.tga	0	0	48	48		
6157	Data\Icon\MonsterBook\2009.tga	0	0	48	48		
6158	Data\Icon\MonsterBook\2172.tga	0	0	48	48		
6159	Data\Icon\MonsterBook\2003.tga	0	0	48	48		
6160	Data\Icon\MonsterBook\26890.tga	0	0	48	48		
6161	Data\Icon\MonsterBook\36602.tga	0	0	48	48		
6162	Data\Icon\MonsterBook\36604.tga	0	0	48	48		
6163	Data\Icon\MonsterBook\36605.tga	0	0	48	48		
6164	Data\Icon\MonsterBook\38356.tga	0	0	48	48		
6165	Data\Icon\MonsterBook\38357.tga	0	0	48	48		
6166	Data\Icon\MonsterBook\963.tga	0	0	48	48		
6167	Data\Icon\MonsterBook\964.tga	0	0	48	48		
6168	Data\Icon\MonsterBook\25137.tga	0	0	48	48		
