//WasteItemInfo					6																														거래및판매여부	각종가능여부																																																																																																																																					
//	WasteItemInfo 사용가능대역				12																																																																																																																																																																				
//	4001~10000				24																																																																																																																																																																				
//	40001~45000				48																																																																																																																																																																				
//	47001~49989				72																																																																																																																																																																				
//	55001~57000		//12 : 습득시 즉시사용 사용 실패시 보존																																																														0 모두																																																																																																								
//11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111			//13 : 습득시 즉시사용 사용 실패시 삭제							남	여																																																						2 여자	버서커	드나	섀도	발키리	엘리	미스틱	헬로이드	위치블레이드		 < 기본옵션 >																				< 가맹PC방 전용 옵션 >																					남	여																							디바인 구역															엘리트 구역						유니크 구역								
//파라메타 업데이트 버전 정보						814	814				1102			1102		819	814			809	812	812		810					816		816	1103					820	1005		904																								905	1102						1204	1304			811				811				811				812	812	812	812	812	812	812	812	811				811				811				812	812	812	812	812	812	812	812			1102		1102			812	818	818				815																																								810	
//설명	아이템코드	판매종류	소멸방식	이름	네임코드	아이템색사용여부	아이템색상코드	네임코드2	설명코드	장착이미지코드	장착이미지코드2	인벤이미지코드	드랍이미지코드	베타키구분코드	종류및계열	이벤트타입	아이템Drop사운드인덱스	효과발동위치	효과코드	본위치	특수액세서리본위치	특수액세서리장착타입	아이템계열	세트옵션적용	세트계열	레벨	내구도	내구감소력	내구도패널티인덱스	아이템가격	아이템가격_최대값	주사위획득방식	팝업창출력여부	"장비,사용여부"	거래및판매여부	각종가능여부	귀속여부	에테리아추출가능여부	장비제한레벨	아이템사용제한레벨	힘제한	민첩제한	체력제한	지력제한	정신력제한	숙련도1	숙련도2	최소데미지	최대데미지	물리공격성공률	물리공격속도	물리방어력	물리공격회피율	기본공격타입	공격속성	공격타입	공격거리	방어타입	마법최소공격력	마법최대공격력	마법공격속도	마법방어력	이동속도	탈것장비클래스	성별타입	장비클래스1	장비클래스2	장비클래스3	장비클래스4	장비클래스5	장비클래스6	장비클래스7	장비클래스8	장비위치	옵션발동조건1	옵션종류1	수치타입	기본옵션1	옵션발동조건2	옵션종류2	수치타입	기본옵션2	옵션발동조건3	옵션종류3	수치타입	기본옵션3	옵션발동조건4	옵션종류4	수치타입	기본옵션4	옵션발동조건5	옵션종류5	수치타입	기본옵션5	옵션발동조건1	옵션종류1	수치타입	PC방옵션1	옵션발동조건2	옵션종류2	수치타입	PC방옵션2	옵션발동조건3	옵션종류3	수치타입	PC방옵션3	옵션발동조건4	옵션종류4	수치타입	PC방옵션4	옵션발동조건5	옵션종류5	수치타입	PC방옵션5	발사체	머리형태	머리형태2	커스터마이즈	커스터마이즈2	중복개수	장착중복가능개수(Index)	장착중복가능개수(Type)-인벤토리	장착중복그룹	장착개수	포션기능	쿨타임타입	상승수치	경험치물약필드	지속시간	횟수	쿨타임	카오시간감소	퀘스트ID	재료특성	스킬정보	쟈드등급	쟈드옵션종류	쟈드합성추가성공률	교환아이템정보	디바인힘제한	디바인민첩제한	디바인체력제한	디바인지력제한	디바인정신력제한	디바인숙련도1	디바인숙련도2	디바인물리최소데미지	디바인물리최대데미지	디바인마법최소데미지	디바인마법최대데미지	디바인물리방어력	디바인마법방어력	AC코드	AC참조타입	엘리트물리최소데미지	엘리트물리최대데미지	엘리트마법최소데미지	엘리트마법최대데미지	엘리트물리방어력	엘리트마법방어력	유니크물리최소데미지	유니크물리최대데미지	유니크마법최소데미지	유니크마법최대데미지	유니크물리방어력	유니크마법방어력	아이템종류선정	배틀존아이템분배적용	
	Code	ChargeType	ChargeSubType	Name	NameCode	NameColorType	NameColorCode	NameCode2	DNCode3	WearImageCode	WearImageCode2	InvenImageCode	DropImageCode	BetaKeyCode	Type	Etype	ItemSoundIndex	EffectPosition	EffectCode	RotBone	BoneName	SABoneType	SubType	SetOptionType	SetType	Level	Dura	DuraStrenth	StrengthPenaltyIndex	ItemSellMoney	ItemSellMoney_Max	DiceCast	Popup	MaterialType	TradeSellType	Mixture	ReversionType	ExtractType	LimitEqLevel	LimitUseLevel	LimitStr	LimitDex	LimitVit	LimitInt	LimitSpr	LimitSkill1	LimitSkill2	MinDamage	MaxDamage	PhyAttRate	PhyAttSpeed	PhyDef	PhyAvoid	BaseAttType	MagicalAttType	MeleeType	AttRange	ArmorType	MagicAttMinDamgage	MagicAttMaxDamgage	MagicAttSpeed	MagicDef	Speed	EqRidingClass	GenderType	EqClass1	EqClass2	EqClass3	EqClass4	EqClass5	EqClass6	EqClass7	EqClass8	EqPos	ExerciseEffect1	OptionKind1	OptionType1	OptionValue1	ExerciseEffect2	OptionKind2	OptionType2	OptionValue2	ExerciseEffect3	OptionKind3	OptionType3	OptionValue3	ExerciseEffect4	OptionKind4	OptionType4	OptionValue4	ExerciseEffect5	OptionKind5	OptionType5	OptionValue5	PCExerciseEffect1	PCOptionKind1	PCOptionType1	PCOptionValue1	PCExerciseEffect2	PCOptionKind2	PCOptionType2	PCOptionValue2	PCExerciseEffect3	PCOptionKind3	PCOptionType3	PCOptionValue3	PCExerciseEffect4	PCOptionKind4	PCOptionType4	PCOptionValue4	PCExerciseEffect5	PCOptionKind5	PCOptionType5	PCOptionValue5	Missile	HeadType	HeadType2	Customize	Customize2	DupNum	DupEquipNum	DupEquipTypeNum	DupEquipGroup	DupEquipGroupNum	WasteType	CoolTimeType	HealHP	ExpHP	HealTime	Times	CoolTime	ChaoTimeDec	QuestCode	MaterialCode	SkillCode	ZardGrade	ZardOptionKind	ZardSuccesPer	ExchangedItem	DivLimitStr	DivLimitDex	DivLimitVit	DivLimitInt	DivLimitSpr	DivLimitSkill1	DivLimitSkill2	DivPhyMinDamage	DivPhyMaxDamage	DivMagicMinDamage	DivMagicMaxDamage	DivPhyDef	DivMagicDef	ACCode	ACReferenceID	ElitePhyMinDamage	ElitePhyMaxDamage	EliteMagicMinDamage	EliteMagicMaxDamage	ElitePhyDef	EliteMagicDef	UniPhyMinDamage	UniPhyMaxDamage	UniMagicMinDamage	UniMagicMaxDamage	UniPhyDef	UniMagicDef	ItemListType	UseItemDistribution	EqClass9	FieldEnd
//보호아이템관련회복강화아이템관련1[ID4000부터]																																						0																																																																																																																																	0		
	4001	0	0	회복물약Lv1	40121	0	0	9456	41121	0	0	32001	39918	0	911	0	911	2	A016	0	Null	0	0	0	0	1	0	0	0	120	120	0	0	2	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	1	1	200	0	8000	4	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	4002	0	0	회복물약Lv2	40122	0	0	9456	41122	0	0	86317	39918	0	911	0	911	2	A016	0	Null	0	0	0	0	1	0	0	0	240	240	0	0	2	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	1	1	400	0	8000	4	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	4003	0	0	회복물약Lv3	40123	0	0	9456	41123	0	0	32002	39918	0	911	0	911	2	A016	0	Null	0	0	0	0	1	0	0	0	960	960	0	0	2	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	1	1	600	0	8000	4	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	4004	0	0	회복물약Lv4	40124	0	0	9456	41124	0	0	32003	39918	0	911	0	911	2	A016	0	Null	0	0	0	0	1	0	0	0	1680	1680	0	0	2	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	1	1	800	0	8000	4	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
//	4005	0	0	none	40011	0	0	9165	41011	0	0	32061	39999	0	951	0	951	0	Null	0	Null	0	0	0	0	1	0	0	0	250	250	0	0	2	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	3	3	0	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
//	4006	0	0	none	40011	0	0	9165	41011	0	0	32061	39999	0	951	0	951	0	Null	0	Null	0	0	0	0	1	0	0	0	250	250	0	0	2	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	3	3	0	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	4007	0	0	해독제	40311	0	0	2207	41311	0	0	33101	39918	0	911	0	911	0	Null	0	Null	0	0	0	0	1	0	0	0	7680	7680	0	0	2	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	3	3	0	0	0	1	5000	0	0	0	40041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	4008	0	0	안정제	40312	0	0	2207	41312	0	0	33102	39918	0	911	0	911	0	Null	0	Null	0	0	0	0	1	0	0	0	7680	7680	0	0	2	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	3	3	0	0	0	1	5000	0	0	0	40051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	4009	0	0	소멸제	40313	0	0	2207	41313	0	0	33103	39918	0	911	0	911	0	Null	0	Null	0	0	0	0	1	0	0	0	7680	7680	0	0	2	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	3	3	0	0	0	1	5000	0	0	0	40061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
